,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-25.699999999999818,-22.199999999999818,-16.899999999999864,-11.5,-6.399999999999864,6.2000000000000455,12.900000000000091,19.90000000000009,26.90000000000009,32.40000000000009,-31.30000000000001,-35.19999999999999,-36.099999999999966,-35.19999999999999,-32.89999999999998,-33.30000000000001,-36.0,-36.89999999999998,-35.89999999999998,-32.099999999999966,1071.6,294.2
1,2,0,0.033,0.98,1,-25.59999999999991,-22.0,-16.700000000000045,-11.200000000000045,-6.2000000000000455,5.600000000000136,12.400000000000091,19.600000000000136,26.700000000000045,32.40000000000009,-31.399999999999977,-35.19999999999999,-36.0,-35.099999999999966,-32.599999999999966,-33.19999999999999,-36.0,-37.0,-35.89999999999998,-32.19999999999999,1068.8,294.4
2,3,0,0.067,0.98,1,-25.5,-21.799999999999955,-16.5,-11.099999999999909,-6.0,5.600000000000136,12.400000000000091,19.600000000000136,26.700000000000045,32.40000000000009,-31.600000000000023,-35.30000000000001,-36.10000000000002,-35.10000000000002,-32.69999999999999,-33.19999999999999,-35.900000000000034,-36.900000000000034,-35.900000000000034,-32.19999999999999,1065.8,294.3
3,4,0,0.1,0.98,1,-25.09999999999991,-21.59999999999991,-16.299999999999955,-11.0,-6.099999999999909,5.7999999999999545,12.5,19.59999999999991,26.59999999999991,32.200000000000045,-31.599999999999966,-35.299999999999955,-36.0,-35.0,-32.69999999999999,-33.19999999999999,-36.0,-37.0,-36.0,-32.299999999999955,1063.0,294.4
4,5,0,0.133,0.98,1,-25.40000000000009,-21.800000000000182,-16.600000000000136,-11.300000000000182,-6.300000000000182,5.599999999999909,12.399999999999864,19.5,26.5,32.09999999999991,-31.899999999999977,-35.5,-36.30000000000001,-35.30000000000001,-32.89999999999998,-33.5,-36.19999999999999,-37.19999999999999,-36.19999999999999,-32.599999999999966,1060.4,294.7
5,6,0,0.167,0.98,1,-25.09999999999991,-21.700000000000045,-16.5,-11.299999999999955,-6.400000000000091,5.599999999999909,12.299999999999955,19.40000000000009,26.40000000000009,32.0,-32.10000000000002,-35.700000000000045,-36.400000000000034,-35.30000000000001,-32.900000000000034,-33.400000000000034,-36.10000000000002,-37.10000000000002,-36.10000000000002,-32.5,1057.5,295.1
6,7,0,0.2,0.98,1,-25.40000000000009,-22.0,-16.799999999999955,-11.5,-6.599999999999909,5.400000000000091,12.099999999999909,19.09999999999991,26.200000000000045,31.799999999999955,-32.19999999999999,-35.599999999999966,-36.19999999999999,-35.19999999999999,-32.799999999999955,-33.39999999999998,-36.099999999999966,-37.299999999999955,-36.39999999999998,-32.89999999999998,1055.0,295.4
7,8,0,0.233,0.98,1,-25.5,-22.0,-16.799999999999955,-11.599999999999909,-6.7000000000000455,5.5,12.200000000000045,19.200000000000045,26.09999999999991,31.700000000000045,-32.19999999999999,-35.599999999999966,-36.19999999999999,-35.099999999999966,-32.799999999999955,-33.39999999999998,-36.099999999999966,-37.19999999999999,-36.299999999999955,-32.799999999999955,1052.5,295.4
8,9,0,0.267,0.98,1,-25.600000000000136,-22.200000000000045,-17.0,-11.700000000000045,-6.800000000000182,5.2999999999999545,12.0,19.0,26.0,31.699999999999818,-32.39999999999998,-35.80000000000001,-36.30000000000001,-35.10000000000002,-32.69999999999999,-33.30000000000001,-36.10000000000002,-37.30000000000001,-36.39999999999998,-33.0,1049.9,295.5
9,10,0,0.3,0.98,1,-25.600000000000136,-22.200000000000045,-17.0,-11.700000000000045,-6.800000000000182,5.2999999999999545,12.0,19.0,26.0,31.59999999999991,-32.19999999999999,-35.60000000000002,-36.10000000000002,-35.0,-32.60000000000002,-33.19999999999999,-36.0,-37.19999999999999,-36.39999999999998,-32.89999999999998,1047.4,295.5
