,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-34.100000000000136,-30.100000000000136,-23.800000000000182,-17.100000000000136,-10.700000000000045,2.8999999999998636,9.699999999999818,16.699999999999818,23.799999999999955,29.59999999999991,-29.599999999999994,-34.29999999999998,-36.19999999999999,-35.89999999999998,-34.19999999999999,-36.099999999999994,-39.5,-41.29999999999998,-41.0,-37.599999999999994,1092.4,230.2
1,2,0,0.033,0.98,1,-34.200000000000045,-30.200000000000045,-24.0,-17.600000000000136,-11.400000000000091,3.199999999999818,10.0,16.899999999999864,23.799999999999955,29.5,-30.0,-34.5,-36.19999999999999,-35.900000000000006,-34.30000000000001,-36.400000000000006,-39.599999999999994,-41.400000000000006,-41.19999999999999,-38.099999999999994,1093.4,230.5
2,3,0,0.067,0.98,1,-34.59999999999991,-30.5,-24.299999999999955,-17.799999999999955,-11.599999999999909,3.2000000000000455,10.0,16.799999999999955,23.799999999999955,29.40000000000009,-29.900000000000006,-34.5,-36.20000000000002,-35.900000000000006,-34.30000000000001,-36.400000000000006,-39.599999999999994,-41.400000000000006,-41.20000000000002,-38.099999999999994,1094.5,230.9
3,4,0,0.1,0.98,1,-34.5,-30.5,-24.200000000000045,-17.600000000000136,-11.300000000000182,3.3999999999998636,10.199999999999818,17.09999999999991,24.0,29.59999999999991,-30.299999999999983,-34.900000000000006,-36.599999999999994,-36.19999999999999,-34.5,-36.400000000000006,-39.5,-41.29999999999998,-41.0,-37.69999999999999,1095.4,231.6
4,5,0,0.133,0.98,1,-34.600000000000136,-30.5,-24.300000000000182,-17.600000000000136,-11.200000000000045,3.599999999999909,10.5,17.299999999999955,24.299999999999955,29.799999999999955,-30.5,-35.099999999999994,-36.900000000000006,-36.400000000000006,-34.70000000000002,-36.5,-39.599999999999994,-41.30000000000001,-41.0,-37.80000000000001,1095.9,232.4
5,6,0,0.167,0.98,1,-34.5,-30.399999999999864,-24.200000000000045,-17.5,-11.099999999999909,3.7999999999999545,10.700000000000045,17.5,24.40000000000009,29.799999999999955,-30.799999999999983,-35.400000000000006,-37.099999999999994,-36.599999999999994,-34.79999999999998,-36.69999999999999,-39.69999999999999,-41.400000000000006,-41.099999999999994,-37.69999999999999,1096.3,233.1
6,7,0,0.2,0.98,1,-34.600000000000136,-30.5,-24.200000000000045,-17.600000000000136,-11.299999999999955,4.0,10.799999999999955,17.59999999999991,24.399999999999864,29.799999999999955,-31.099999999999994,-35.5,-37.099999999999994,-36.599999999999994,-34.79999999999998,-36.69999999999999,-39.69999999999999,-41.400000000000006,-41.19999999999999,-38.0,1096.2,233.6
7,8,0,0.233,0.98,1,-34.59999999999991,-30.40000000000009,-24.09999999999991,-17.5,-11.099999999999909,4.0,10.900000000000091,17.700000000000045,24.59999999999991,30.0,-31.099999999999994,-35.5,-37.099999999999994,-36.5,-34.80000000000001,-36.5,-39.5,-41.20000000000002,-40.900000000000006,-37.599999999999994,1096.0,233.9
8,9,0,0.267,0.98,1,-34.40000000000009,-30.200000000000045,-23.90000000000009,-17.299999999999955,-11.099999999999909,4.099999999999909,10.900000000000091,17.700000000000045,24.59999999999991,30.0,-31.0,-35.400000000000006,-37.0,-36.5,-34.70000000000002,-36.5,-39.5,-41.099999999999994,-40.80000000000001,-37.5,1095.5,233.9
9,10,0,0.3,0.98,1,-34.200000000000045,-29.90000000000009,-23.700000000000045,-17.100000000000136,-10.900000000000091,4.199999999999818,11.0,17.799999999999955,24.699999999999818,30.09999999999991,-31.0,-35.400000000000006,-36.900000000000006,-36.400000000000006,-34.599999999999994,-36.30000000000001,-39.30000000000001,-41.0,-40.70000000000002,-37.400000000000006,1094.9,233.9
