,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-32.200000000000045,-27.90000000000009,-21.600000000000136,-14.900000000000091,-8.799999999999955,4.599999999999909,10.799999999999955,17.200000000000045,23.299999999999955,27.59999999999991,-31.399999999999977,-35.39999999999998,-36.60000000000002,-35.69999999999999,-33.39999999999998,-34.30000000000001,-37.30000000000001,-38.69999999999999,-38.0,-34.5,1046.2,294.0
1,2,0,0.033,0.98,1,-32.60000000000002,-28.300000000000068,-21.90000000000009,-15.100000000000136,-9.0,4.7000000000000455,10.899999999999864,17.200000000000045,23.299999999999955,27.59999999999991,-31.899999999999977,-35.89999999999998,-37.0,-36.0,-33.5,-34.39999999999998,-37.599999999999966,-39.099999999999966,-38.49999999999997,-35.0,1046.7,294.4
2,3,0,0.067,0.93,1,-32.799999999999955,-28.299999999999955,-21.799999999999955,-15.099999999999909,-9.0,4.900000000000091,11.099999999999909,17.5,23.700000000000045,27.90000000000009,-32.19999999999999,-36.10000000000002,-37.10000000000002,-36.0,-33.5,-34.400000000000034,-37.5,-39.0,-38.5,-35.10000000000002,1047.0,294.3
3,4,0,0.1,0.98,1,-32.700000000000045,-28.299999999999955,-21.799999999999955,-15.099999999999909,-9.0,5.0,11.200000000000045,17.59999999999991,23.700000000000045,27.90000000000009,-32.19999999999999,-36.10000000000002,-37.19999999999999,-36.10000000000002,-33.60000000000002,-34.400000000000034,-37.5,-39.0,-38.400000000000006,-35.0,1047.5,294.3
4,5,0,0.133,0.93,1,-32.80000000000007,-28.300000000000068,-21.799999999999955,-15.100000000000136,-8.799999999999955,5.2000000000000455,11.5,17.899999999999864,24.09999999999991,28.399999999999864,-32.400000000000034,-36.30000000000001,-37.400000000000034,-36.30000000000001,-33.69999999999999,-34.5,-37.60000000000002,-39.10000000000002,-38.5,-35.0,1047.7,294.3
5,6,0,0.167,0.93,1,-32.500000000000114,-28.100000000000136,-21.600000000000136,-14.800000000000182,-8.600000000000136,5.199999999999818,11.599999999999909,18.0,24.299999999999955,28.5,-32.30000000000001,-36.30000000000001,-37.400000000000034,-36.30000000000001,-33.60000000000002,-34.400000000000034,-37.5,-39.0,-38.30000000000001,-34.69999999999999,1047.9,294.3
6,7,0,0.2,0.93,1,-32.69999999999993,-28.299999999999955,-21.799999999999955,-15.0,-8.799999999999955,5.2000000000000455,11.5,18.0,24.200000000000045,28.40000000000009,-32.5,-36.5,-37.599999999999966,-36.5,-33.89999999999998,-34.599999999999966,-37.69999999999999,-39.19999999999999,-38.49999999999997,-34.89999999999998,1048.1,294.4
7,8,0,0.233,0.93,1,-32.5,-28.100000000000023,-21.600000000000136,-14.900000000000091,-8.700000000000045,5.399999999999864,11.700000000000045,18.200000000000045,24.399999999999864,28.5,-32.69999999999999,-36.60000000000002,-37.69999999999999,-36.5,-33.89999999999998,-34.60000000000002,-37.60000000000002,-39.099999999999994,-38.39999999999998,-34.89999999999998,1048.2,294.5
8,9,0,0.267,0.93,1,-32.299999999999955,-27.899999999999977,-21.5,-14.799999999999955,-8.700000000000045,5.400000000000091,11.700000000000045,18.200000000000045,24.299999999999955,28.5,-32.5,-36.5,-37.5,-36.39999999999998,-33.799999999999955,-34.39999999999998,-37.5,-38.89999999999998,-38.19999999999999,-34.599999999999966,1048.3,294.4
9,10,0,0.3,0.93,1,-32.200000000000045,-27.899999999999977,-21.5,-14.799999999999955,-8.700000000000045,5.400000000000091,11.700000000000045,18.09999999999991,24.299999999999955,28.40000000000009,-32.60000000000002,-36.60000000000002,-37.60000000000002,-36.5,-33.80000000000001,-34.5,-37.60000000000002,-39.10000000000002,-38.400000000000034,-34.900000000000034,1048.5,294.6
10,11,0,0.333,0.93,1,-32.299999999999955,-27.999999999999886,-21.59999999999991,-15.0,-8.899999999999864,5.300000000000182,11.600000000000136,18.0,24.200000000000045,28.40000000000009,-32.60000000000002,-36.5,-37.60000000000002,-36.400000000000034,-33.80000000000001,-34.5,-37.60000000000002,-39.10000000000002,-38.400000000000034,-34.900000000000034,1048.6,294.6
11,12,0,0.367,0.93,1,-32.19999999999993,-27.899999999999977,-21.59999999999991,-15.0,-8.899999999999864,5.2000000000000455,11.400000000000091,17.90000000000009,24.0,28.299999999999955,-32.5,-36.5,-37.5,-36.39999999999998,-33.80000000000001,-34.599999999999966,-37.69999999999999,-39.19999999999999,-38.5,-35.099999999999966,1048.8,294.7
12,13,0,0.4,0.93,1,-32.19999999999993,-27.899999999999864,-21.5,-14.899999999999864,-8.799999999999955,5.0,11.300000000000182,17.800000000000182,24.0,28.40000000000009,-32.39999999999998,-36.39999999999998,-37.39999999999998,-36.19999999999999,-33.599999999999966,-34.39999999999998,-37.5,-39.0,-38.39999999999998,-35.0,1049.1,294.7
13,14,0,0.433,0.93,1,-32.09999999999991,-27.799999999999955,-21.399999999999864,-14.700000000000045,-8.599999999999909,5.0,11.299999999999955,17.799999999999955,24.200000000000045,28.5,-32.400000000000034,-36.30000000000001,-37.30000000000001,-36.200000000000045,-33.60000000000002,-34.30000000000001,-37.5,-39.00000000000003,-38.30000000000001,-34.80000000000001,1049.3,294.6
14,15,0,0.467,0.98,1,-32.19999999999993,-27.899999999999864,-21.399999999999864,-14.699999999999818,-8.599999999999909,4.900000000000091,11.200000000000045,17.800000000000182,24.100000000000136,28.5,-32.60000000000002,-36.5,-37.5,-36.400000000000034,-33.700000000000045,-34.400000000000034,-37.60000000000002,-39.10000000000002,-38.5,-35.0,1049.6,294.6
15,16,0,0.5,0.98,1,-32.299999999999955,-27.899999999999977,-21.5,-14.700000000000045,-8.599999999999909,5.0,11.299999999999955,17.799999999999955,24.200000000000045,28.5,-32.69999999999999,-36.69999999999999,-37.60000000000002,-36.39999999999998,-33.69999999999999,-34.39999999999998,-37.60000000000002,-39.099999999999994,-38.5,-34.89999999999998,1050.0,294.5
16,17,0,0.533,0.98,1,-32.200000000000045,-27.90000000000009,-21.5,-14.799999999999955,-8.700000000000045,5.2000000000000455,11.5,18.09999999999991,24.299999999999955,28.700000000000045,-32.700000000000045,-36.60000000000002,-37.60000000000002,-36.5,-33.900000000000034,-34.5,-37.60000000000002,-39.10000000000002,-38.400000000000034,-34.80000000000001,1050.2,294.1
17,18,0,0.567,0.93,1,-31.799999999999955,-27.5,-21.09999999999991,-14.5,-8.399999999999864,5.2000000000000455,11.600000000000136,18.100000000000136,24.40000000000009,28.700000000000045,-32.30000000000001,-36.30000000000001,-37.400000000000034,-36.30000000000001,-33.60000000000002,-34.30000000000001,-37.30000000000001,-38.70000000000002,-37.900000000000006,-34.30000000000001,1050.3,293.8
18,19,0,0.6,0.98,1,-31.899999999999977,-27.700000000000045,-21.299999999999955,-14.5,-8.400000000000091,5.2999999999999545,11.700000000000045,18.200000000000045,24.59999999999991,28.799999999999955,-32.5,-36.599999999999966,-37.69999999999999,-36.599999999999966,-33.89999999999998,-34.5,-37.599999999999966,-39.0,-38.099999999999994,-34.39999999999998,1050.5,293.7
19,20,0,0.633,0.93,1,-31.90000000000009,-27.700000000000045,-21.299999999999955,-14.5,-8.299999999999955,5.2999999999999545,11.700000000000045,18.299999999999955,24.700000000000045,28.899999999999864,-32.60000000000002,-36.80000000000001,-37.900000000000034,-36.80000000000001,-34.10000000000002,-34.60000000000002,-37.70000000000002,-39.10000000000002,-38.20000000000002,-34.5,1050.7,293.6
