,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-35.799999999999955,-31.200000000000045,-24.700000000000045,-17.899999999999977,-11.600000000000023,-0.7999999999999545,4.100000000000023,9.100000000000023,14.399999999999977,18.399999999999977,-21.899999999999977,-26.30000000000001,-28.30000000000001,-28.599999999999966,-27.5,-30.0,-33.30000000000001,-35.30000000000001,-35.5,-32.80000000000001,989.5,380.2
1,2,0,0.033,0.98,1,-36.200000000000045,-31.5,-25.100000000000023,-18.5,-12.100000000000023,-0.900000000000091,4.0,9.0,14.099999999999909,18.09999999999991,-21.099999999999966,-25.5,-27.69999999999999,-28.0,-27.099999999999966,-29.69999999999999,-33.0,-34.89999999999998,-35.299999999999955,-32.799999999999955,988.7,379.9
2,3,0,0.067,0.98,1,-36.10000000000002,-31.399999999999977,-25.0,-18.399999999999977,-12.0,-0.7000000000000455,4.199999999999932,9.199999999999932,14.299999999999955,18.199999999999932,-21.399999999999977,-25.69999999999999,-27.899999999999977,-28.19999999999999,-27.299999999999955,-29.899999999999977,-33.099999999999966,-35.0,-35.299999999999955,-32.89999999999998,987.6,379.9
3,4,0,0.1,0.98,1,-36.10000000000002,-31.300000000000068,-25.0,-18.300000000000068,-12.0,-0.7000000000000455,4.2999999999999545,9.299999999999955,14.5,18.399999999999977,-21.5,-25.80000000000001,-28.0,-28.30000000000001,-27.400000000000034,-30.0,-33.19999999999999,-35.19999999999999,-35.5,-33.0,986.6,379.8
4,5,0,0.133,0.98,1,-36.10000000000002,-31.399999999999977,-25.0,-18.399999999999977,-12.0,-0.6000000000000227,4.399999999999977,9.399999999999977,14.600000000000023,18.5,-21.30000000000001,-25.700000000000045,-27.900000000000034,-28.200000000000045,-27.30000000000001,-29.900000000000034,-33.10000000000002,-35.0,-35.30000000000001,-32.900000000000034,985.4,379.6
5,6,0,0.167,0.98,1,-36.19999999999993,-31.5,-25.199999999999932,-18.399999999999977,-11.899999999999977,-0.6000000000000227,4.300000000000068,9.399999999999977,14.700000000000045,18.600000000000023,-21.399999999999977,-25.899999999999977,-28.099999999999966,-28.399999999999977,-27.5,-30.0,-33.099999999999966,-35.099999999999966,-35.299999999999955,-32.69999999999999,984.4,379.4
6,7,0,0.2,0.98,1,-36.200000000000045,-31.5,-25.100000000000023,-18.40000000000009,-11.900000000000091,-0.6000000000000227,4.399999999999977,9.5,14.699999999999932,18.59999999999991,-21.399999999999977,-25.80000000000001,-28.0,-28.30000000000001,-27.399999999999977,-29.899999999999977,-33.0,-34.89999999999998,-35.19999999999999,-32.599999999999966,983.2,379.2
7,8,0,0.233,0.98,1,-36.39999999999998,-31.600000000000023,-25.200000000000045,-18.5,-12.0,-0.6000000000000227,4.2999999999999545,9.299999999999955,14.5,18.399999999999977,-21.30000000000001,-25.80000000000001,-28.0,-28.30000000000001,-27.30000000000001,-29.900000000000034,-33.0,-35.0,-35.19999999999999,-32.69999999999999,982.1,378.8
8,9,0,0.267,0.98,1,-36.39999999999998,-31.699999999999932,-25.199999999999932,-18.5,-12.0,-0.599999999999909,4.300000000000068,9.300000000000068,14.5,18.40000000000009,-21.30000000000001,-25.80000000000001,-28.0,-28.30000000000001,-27.399999999999977,-29.899999999999977,-33.099999999999966,-35.0,-35.19999999999999,-32.599999999999966,980.8,378.7
9,10,0,0.3,0.98,1,-36.39999999999998,-31.600000000000023,-25.200000000000045,-18.5,-12.0,-0.7000000000000455,4.2000000000000455,9.200000000000045,14.299999999999955,18.200000000000045,-21.30000000000001,-25.80000000000001,-28.0,-28.30000000000001,-27.400000000000034,-29.900000000000034,-33.0,-34.900000000000034,-35.19999999999999,-32.60000000000002,979.5,378.3
10,11,0,0.333,0.93,1,-36.200000000000045,-31.399999999999977,-25.100000000000023,-18.399999999999977,-12.0,-0.6000000000000227,4.2000000000000455,9.200000000000045,14.299999999999955,18.200000000000045,-21.30000000000001,-25.80000000000001,-28.0,-28.30000000000001,-27.399999999999977,-29.899999999999977,-33.0,-34.89999999999998,-35.099999999999966,-32.599999999999966,978.0,378.2
11,12,0,0.367,0.98,1,-36.39999999999998,-31.700000000000045,-25.299999999999955,-18.600000000000023,-12.200000000000045,-0.7999999999999545,4.100000000000023,9.0,14.200000000000045,18.100000000000023,-21.0,-25.5,-27.69999999999999,-28.100000000000023,-27.19999999999999,-29.80000000000001,-32.89999999999998,-34.80000000000001,-35.0,-32.5,976.5,378.0
12,13,0,0.4,0.98,1,-36.700000000000045,-31.899999999999977,-25.5,-18.800000000000068,-12.300000000000068,-0.8999999999999773,4.0,8.899999999999977,14.100000000000023,18.0,-21.100000000000023,-25.600000000000023,-27.80000000000001,-28.19999999999999,-27.30000000000001,-29.899999999999977,-33.0,-34.89999999999998,-35.19999999999999,-32.60000000000002,975.1,378.0
13,14,0,0.433,0.98,1,-36.60000000000002,-31.899999999999977,-25.5,-18.800000000000068,-12.300000000000068,-0.8999999999999773,4.0,9.0,14.100000000000023,18.100000000000023,-21.0,-25.5,-27.799999999999955,-28.099999999999966,-27.19999999999999,-29.799999999999955,-32.89999999999998,-34.89999999999998,-35.099999999999966,-32.5,973.6,377.9
14,15,0,0.467,0.98,1,-36.5,-31.700000000000045,-25.399999999999977,-18.700000000000045,-12.299999999999955,-0.7999999999999545,4.100000000000023,9.100000000000023,14.200000000000045,18.100000000000023,-21.19999999999999,-25.600000000000023,-27.80000000000001,-28.19999999999999,-27.30000000000001,-29.899999999999977,-33.0,-34.89999999999998,-35.10000000000002,-32.60000000000002,972.0,378.0
15,16,0,0.5,0.98,1,-36.39999999999998,-31.600000000000023,-25.299999999999955,-18.600000000000023,-12.200000000000045,-0.8999999999999773,4.100000000000023,9.0,14.200000000000045,18.100000000000023,-21.19999999999999,-25.600000000000023,-27.899999999999977,-28.19999999999999,-27.30000000000001,-29.899999999999977,-33.0,-34.89999999999998,-35.19999999999999,-32.69999999999999,970.5,378.0
16,17,0,0.533,0.98,1,-36.40000000000009,-31.600000000000023,-25.300000000000068,-18.600000000000023,-12.200000000000045,-0.900000000000091,4.0,9.0,14.199999999999932,18.09999999999991,-21.19999999999999,-25.599999999999966,-27.899999999999977,-28.19999999999999,-27.30000000000001,-29.899999999999977,-33.099999999999966,-35.0,-35.19999999999999,-32.599999999999966,969.2,378.2
17,18,0,0.567,0.98,1,-36.5,-31.700000000000045,-25.300000000000068,-18.600000000000023,-12.100000000000023,-0.8000000000000682,4.199999999999932,9.199999999999932,14.399999999999977,18.199999999999932,-21.30000000000001,-25.69999999999999,-28.0,-28.399999999999977,-27.399999999999977,-30.0,-33.099999999999966,-35.099999999999966,-35.30000000000001,-32.69999999999999,967.7,378.7
18,19,0,0.6,0.98,1,-36.30000000000007,-31.5,-25.200000000000045,-18.40000000000009,-12.0,-0.7000000000000455,4.199999999999932,9.299999999999955,14.399999999999977,18.299999999999955,-21.5,-26.0,-28.19999999999999,-28.5,-27.5,-30.0,-33.19999999999999,-35.099999999999966,-35.299999999999955,-32.69999999999999,966.2,378.9
19,20,0,0.633,0.98,1,-36.10000000000002,-31.399999999999977,-25.100000000000023,-18.399999999999977,-11.899999999999977,-0.5,4.399999999999977,9.299999999999955,14.5,18.199999999999932,-21.69999999999999,-26.19999999999999,-28.400000000000034,-28.600000000000023,-27.5,-29.900000000000034,-33.10000000000002,-35.0,-35.30000000000001,-32.69999999999999,964.6,379.3
20,21,0,0.667,0.93,1,-36.5,-31.700000000000045,-25.300000000000068,-18.600000000000023,-12.100000000000023,-0.7000000000000455,4.199999999999932,9.199999999999932,14.399999999999977,18.199999999999932,-21.5,-25.899999999999977,-28.099999999999966,-28.299999999999955,-27.299999999999955,-29.799999999999955,-33.0,-34.89999999999998,-35.19999999999999,-32.599999999999966,963.2,379.4
