,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.200000000000045,-27.09999999999991,-20.899999999999864,-14.399999999999864,-8.399999999999864,4.7999999999999545,11.100000000000136,17.799999999999955,24.299999999999955,28.799999999999955,-31.5,-35.69999999999999,-36.900000000000006,-36.099999999999994,-33.60000000000002,-34.30000000000001,-37.30000000000001,-38.599999999999994,-37.80000000000001,-34.099999999999994,1058.8,290.0
1,2,0,0.033,0.98,1,-31.40000000000009,-27.5,-21.40000000000009,-14.900000000000091,-8.900000000000091,4.7000000000000455,11.200000000000045,17.799999999999955,24.299999999999955,28.899999999999864,-31.30000000000001,-35.5,-36.80000000000001,-35.900000000000006,-33.39999999999998,-34.19999999999999,-37.400000000000006,-38.69999999999999,-37.900000000000006,-34.099999999999994,1058.7,290.0
2,3,0,0.067,0.98,1,-31.399999999999864,-27.5,-21.299999999999955,-14.899999999999864,-8.899999999999864,4.900000000000091,11.300000000000182,18.0,24.40000000000009,28.90000000000009,-31.30000000000001,-35.5,-36.80000000000001,-35.900000000000006,-33.39999999999998,-34.19999999999999,-37.400000000000006,-38.69999999999999,-37.80000000000001,-34.099999999999994,1058.6,290.0
3,4,0,0.1,0.98,1,-31.40000000000009,-27.59999999999991,-21.5,-15.0,-9.0,4.900000000000091,11.299999999999955,18.0,24.40000000000009,28.90000000000009,-31.19999999999999,-35.5,-36.80000000000001,-36.0,-33.5,-34.30000000000001,-37.400000000000006,-38.69999999999999,-37.80000000000001,-34.099999999999994,1058.5,290.0
4,5,0,0.133,0.98,1,-31.5,-27.700000000000045,-21.5,-15.0,-9.0,4.7999999999999545,11.200000000000045,17.799999999999955,24.299999999999955,28.799999999999955,-31.19999999999999,-35.5,-36.80000000000001,-35.900000000000006,-33.39999999999998,-34.099999999999994,-37.30000000000001,-38.599999999999994,-37.80000000000001,-34.0,1058.5,290.0
5,6,0,0.167,0.98,1,-31.40000000000009,-27.5,-21.40000000000009,-14.900000000000091,-8.800000000000182,4.7999999999999545,11.199999999999818,17.899999999999864,24.299999999999955,28.799999999999955,-31.0,-35.29999999999998,-36.69999999999999,-35.79999999999998,-33.19999999999999,-33.99999999999997,-37.19999999999999,-38.49999999999997,-37.599999999999966,-33.799999999999955,1058.4,289.9
6,7,0,0.2,0.98,1,-31.600000000000136,-27.600000000000136,-21.5,-14.900000000000091,-8.900000000000091,4.7999999999999545,11.199999999999818,17.899999999999864,24.299999999999955,28.899999999999864,-31.19999999999999,-35.400000000000006,-36.599999999999994,-35.69999999999999,-33.19999999999999,-34.0,-37.099999999999994,-38.5,-37.599999999999994,-33.89999999999998,1058.4,290.0
7,8,0,0.233,0.98,1,-31.799999999999955,-27.90000000000009,-21.700000000000045,-15.299999999999955,-9.299999999999955,4.900000000000091,11.299999999999955,17.90000000000009,24.299999999999955,28.90000000000009,-31.19999999999999,-35.39999999999998,-36.69999999999999,-35.79999999999998,-33.30000000000001,-34.099999999999966,-37.19999999999999,-38.599999999999994,-37.79999999999998,-34.19999999999999,1058.0,290.2
8,9,0,0.267,0.98,1,-31.700000000000045,-27.700000000000045,-21.600000000000136,-15.200000000000045,-9.200000000000045,4.899999999999864,11.299999999999955,17.899999999999864,24.299999999999955,28.899999999999864,-31.399999999999977,-35.599999999999966,-36.79999999999998,-35.89999999999998,-33.39999999999998,-34.19999999999999,-37.39999999999998,-38.69999999999999,-37.99999999999997,-34.39999999999998,1057.7,290.4
9,10,0,0.3,0.98,1,-31.799999999999955,-27.90000000000009,-21.799999999999955,-15.400000000000091,-9.299999999999955,4.7999999999999545,11.200000000000045,17.90000000000009,24.299999999999955,28.90000000000009,-31.30000000000001,-35.50000000000003,-36.80000000000001,-35.900000000000034,-33.400000000000034,-34.30000000000001,-37.50000000000003,-38.900000000000034,-38.10000000000002,-34.5,1057.5,290.6
10,11,0,0.333,0.98,1,-31.700000000000045,-27.799999999999955,-21.700000000000045,-15.299999999999955,-9.299999999999955,4.7000000000000455,11.099999999999909,17.700000000000045,24.09999999999991,28.700000000000045,-31.399999999999977,-35.5,-36.79999999999998,-35.89999999999998,-33.39999999999998,-34.30000000000001,-37.39999999999998,-38.79999999999998,-38.099999999999994,-34.599999999999966,1057.5,290.7
11,12,0,0.367,0.98,1,-31.59999999999991,-27.59999999999991,-21.59999999999991,-15.200000000000045,-9.299999999999955,4.7000000000000455,11.099999999999909,17.59999999999991,24.0,28.59999999999991,-31.5,-35.5,-36.70000000000002,-35.80000000000001,-33.30000000000001,-34.19999999999999,-37.30000000000001,-38.80000000000001,-38.10000000000002,-34.60000000000002,1057.5,290.8
