,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-34.5,-29.100000000000023,-22.0,-14.700000000000045,-8.0,5.0,11.5,17.799999999999955,24.09999999999991,28.59999999999991,-29.099999999999966,-33.39999999999998,-34.79999999999998,-34.19999999999999,-32.19999999999999,-33.099999999999966,-35.69999999999999,-36.69999999999999,-35.79999999999998,-32.0,1040.5,290.4
1,2,0,0.033,0.98,1,-34.5,-29.09999999999991,-22.199999999999932,-15.0,-8.399999999999864,5.400000000000091,11.900000000000091,18.100000000000136,24.200000000000045,28.90000000000009,-28.69999999999999,-32.89999999999998,-34.29999999999998,-33.79999999999998,-32.099999999999966,-33.0,-35.5,-36.39999999999998,-35.5,-32.0,1040.8,289.7
2,3,0,0.067,0.98,1,-34.60000000000002,-29.200000000000045,-22.200000000000045,-15.0,-8.200000000000045,5.400000000000091,11.900000000000091,18.09999999999991,24.40000000000009,29.0,-28.700000000000045,-32.900000000000034,-34.30000000000001,-33.80000000000001,-32.10000000000002,-33.0,-35.400000000000034,-36.400000000000034,-35.50000000000003,-31.80000000000001,1041.0,289.1
3,4,0,0.1,0.98,1,-34.30000000000007,-29.100000000000136,-22.100000000000136,-14.900000000000091,-8.200000000000045,5.2999999999999545,11.799999999999955,18.0,24.199999999999818,28.799999999999955,-28.700000000000045,-33.00000000000003,-34.400000000000034,-33.900000000000034,-32.200000000000045,-33.00000000000003,-35.50000000000003,-36.400000000000034,-35.50000000000003,-31.80000000000001,1041.4,288.6
4,5,0,0.133,0.98,1,-34.500000000000114,-29.200000000000045,-22.200000000000045,-15.0,-8.300000000000182,5.199999999999818,11.599999999999909,17.899999999999864,24.09999999999991,28.59999999999991,-28.5,-32.80000000000001,-34.30000000000001,-33.70000000000002,-32.0,-32.900000000000006,-35.400000000000006,-36.30000000000001,-35.400000000000006,-31.80000000000001,1041.9,288.3
5,6,0,0.167,0.98,1,-34.299999999999955,-29.09999999999991,-22.09999999999991,-14.899999999999864,-8.199999999999818,5.2000000000000455,11.700000000000045,18.0,24.200000000000045,28.700000000000045,-28.69999999999999,-33.0,-34.400000000000006,-33.80000000000001,-32.10000000000002,-33.0,-35.5,-36.5,-35.599999999999994,-32.0,1042.1,288.5
6,7,0,0.2,0.98,1,-34.399999999999864,-29.09999999999991,-22.09999999999991,-15.0,-8.199999999999818,5.2000000000000455,11.700000000000045,17.90000000000009,24.100000000000136,28.600000000000136,-28.80000000000001,-33.0,-34.39999999999998,-33.79999999999998,-32.099999999999966,-33.099999999999966,-35.599999999999994,-36.69999999999999,-35.79999999999998,-32.19999999999999,1042.6,289.2
7,8,0,0.233,0.98,1,-34.80000000000007,-29.5,-22.5,-15.299999999999955,-8.5,5.0,11.399999999999864,17.700000000000045,23.899999999999864,28.399999999999864,-28.69999999999999,-33.0,-34.400000000000006,-33.80000000000001,-32.10000000000002,-33.10000000000002,-35.69999999999999,-36.900000000000006,-36.0,-32.5,1043.2,290.0
8,9,0,0.267,0.98,1,-34.69999999999993,-29.5,-22.5,-15.299999999999955,-8.599999999999909,4.7999999999999545,11.299999999999955,17.600000000000136,23.799999999999955,28.40000000000009,-28.600000000000023,-32.80000000000001,-34.19999999999999,-33.69999999999999,-32.0,-33.19999999999999,-35.80000000000001,-37.10000000000002,-36.30000000000001,-32.69999999999999,1043.3,290.8
9,10,0,0.3,0.98,1,-34.60000000000002,-29.5,-22.600000000000023,-15.400000000000091,-8.700000000000045,4.7000000000000455,11.099999999999909,17.40000000000009,23.59999999999991,28.09999999999991,-28.600000000000023,-32.80000000000001,-34.200000000000045,-33.60000000000002,-32.0,-33.10000000000002,-35.900000000000034,-37.10000000000002,-36.400000000000034,-33.0,1043.5,291.6
10,11,0,0.333,0.98,1,-34.500000000000114,-29.500000000000114,-22.600000000000136,-15.400000000000091,-8.800000000000182,4.599999999999909,11.099999999999909,17.399999999999864,23.699999999999818,28.299999999999955,-28.5,-32.69999999999999,-34.0,-33.5,-31.899999999999977,-33.10000000000002,-35.89999999999998,-37.19999999999999,-36.5,-33.10000000000002,1043.4,292.0
11,12,0,0.367,0.98,1,-34.700000000000045,-29.600000000000023,-22.600000000000023,-15.5,-8.799999999999955,4.7000000000000455,11.200000000000045,17.5,23.700000000000045,28.40000000000009,-28.69999999999999,-32.80000000000001,-34.10000000000002,-33.60000000000002,-31.900000000000034,-33.19999999999999,-35.900000000000034,-37.30000000000001,-36.60000000000002,-33.30000000000001,1043.5,292.3
12,13,0,0.4,0.98,1,-34.39999999999998,-29.299999999999955,-22.399999999999977,-15.299999999999955,-8.700000000000045,4.7999999999999545,11.299999999999955,17.600000000000136,23.90000000000009,28.5,-28.69999999999999,-32.89999999999998,-34.19999999999999,-33.599999999999966,-31.899999999999977,-33.19999999999999,-35.89999999999998,-37.19999999999999,-36.49999999999997,-33.099999999999966,1043.3,292.4
13,14,0,0.433,0.98,1,-34.200000000000045,-29.100000000000023,-22.200000000000045,-15.099999999999909,-8.400000000000091,5.0,11.5,17.799999999999955,24.0,28.59999999999991,-29.0,-33.099999999999966,-34.39999999999998,-33.799999999999955,-32.099999999999966,-33.19999999999999,-35.89999999999998,-37.099999999999966,-36.39999999999998,-33.0,1043.0,292.4
14,15,0,0.467,0.98,1,-34.200000000000045,-29.0,-22.100000000000023,-15.0,-8.400000000000091,5.099999999999909,11.599999999999909,17.90000000000009,24.200000000000045,28.799999999999955,-29.200000000000045,-33.30000000000001,-34.5,-33.900000000000034,-32.200000000000045,-33.200000000000045,-35.900000000000034,-37.10000000000002,-36.400000000000034,-32.900000000000034,1042.5,292.1
15,16,0,0.5,0.98,1,-34.100000000000136,-28.90000000000009,-21.90000000000009,-14.900000000000091,-8.200000000000045,5.2999999999999545,11.899999999999864,18.199999999999818,24.5,29.0,-29.400000000000034,-33.5,-34.69999999999999,-34.0,-32.19999999999999,-33.19999999999999,-35.80000000000001,-37.0,-36.20000000000002,-32.69999999999999,1041.9,291.8
16,17,0,0.533,0.98,1,-34.09999999999991,-28.899999999999977,-22.0,-14.899999999999864,-8.200000000000045,5.2000000000000455,11.799999999999955,18.200000000000045,24.40000000000009,29.0,-29.399999999999977,-33.5,-34.599999999999966,-33.89999999999998,-32.19999999999999,-33.099999999999966,-35.79999999999998,-37.0,-36.099999999999994,-32.69999999999999,1041.3,291.7
17,18,0,0.567,0.98,1,-33.89999999999998,-28.700000000000045,-21.799999999999955,-14.700000000000045,-8.099999999999909,5.400000000000091,12.0,18.299999999999955,24.59999999999991,29.200000000000045,-29.5,-33.5,-34.69999999999999,-34.0,-32.19999999999999,-33.099999999999966,-35.79999999999998,-36.89999999999998,-36.099999999999994,-32.599999999999966,1040.5,291.7
18,19,0,0.6,0.98,1,-33.700000000000045,-28.600000000000136,-21.700000000000045,-14.700000000000045,-8.200000000000045,5.2999999999999545,11.899999999999864,18.299999999999955,24.5,29.199999999999818,-29.399999999999977,-33.39999999999998,-34.5,-33.80000000000001,-32.0,-33.0,-35.60000000000002,-36.69999999999999,-36.0,-32.60000000000002,1039.4,292.0
