,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-29.100000000000023,-24.100000000000023,-17.700000000000045,-11.200000000000045,-5.600000000000023,6.600000000000023,12.0,17.299999999999955,22.200000000000045,25.299999999999955,-29.600000000000023,-33.0,-33.80000000000001,-32.69999999999999,-30.19999999999999,-30.19999999999999,-32.30000000000001,-33.0,-31.899999999999977,-28.30000000000001,933.5,385.0
1,2,0,0.033,0.98,1,-29.0,-24.0,-17.699999999999932,-11.299999999999955,-5.600000000000023,7.100000000000023,12.5,17.600000000000023,22.399999999999977,25.5,-30.200000000000045,-33.5,-34.10000000000002,-32.900000000000034,-30.400000000000034,-30.30000000000001,-32.5,-33.200000000000045,-32.10000000000002,-28.700000000000045,933.4,385.1
2,3,0,0.067,0.98,1,-30.600000000000023,-25.5,-18.799999999999955,-12.0,-6.0,6.0,11.300000000000068,16.600000000000023,21.5,24.5,-29.600000000000023,-33.19999999999999,-34.0,-32.80000000000001,-30.100000000000023,-30.19999999999999,-32.60000000000002,-33.60000000000002,-32.69999999999999,-29.19999999999999,933.9,385.3
3,4,0,0.1,0.98,1,-30.800000000000068,-25.700000000000045,-19.0,-12.200000000000045,-6.100000000000023,5.699999999999932,11.0,16.199999999999932,21.100000000000023,24.100000000000023,-29.400000000000034,-33.0,-34.0,-32.80000000000001,-30.100000000000023,-30.19999999999999,-32.60000000000002,-33.5,-32.69999999999999,-29.19999999999999,934.1,385.3
4,5,0,0.133,0.98,1,-30.90000000000009,-25.700000000000045,-19.0,-12.300000000000068,-6.2000000000000455,5.699999999999932,11.0,16.199999999999932,21.09999999999991,24.09999999999991,-29.400000000000034,-33.0,-34.0,-32.80000000000001,-30.19999999999999,-30.30000000000001,-32.69999999999999,-33.69999999999999,-32.80000000000001,-29.400000000000034,934.2,385.3
5,6,0,0.167,0.98,1,-31.0,-25.799999999999955,-19.100000000000023,-12.299999999999955,-6.2999999999999545,5.600000000000023,10.800000000000068,16.0,20.899999999999977,24.100000000000023,-29.400000000000034,-33.0,-33.900000000000034,-32.80000000000001,-30.100000000000023,-30.30000000000001,-32.69999999999999,-33.80000000000001,-33.0,-29.600000000000023,934.4,385.3
6,7,0,0.2,0.98,1,-31.200000000000045,-26.100000000000023,-19.300000000000068,-12.5,-6.399999999999977,5.399999999999977,10.600000000000023,15.799999999999955,20.799999999999955,23.799999999999955,-29.19999999999999,-32.900000000000034,-33.80000000000001,-32.69999999999999,-30.100000000000023,-30.30000000000001,-32.69999999999999,-33.80000000000001,-33.0,-29.600000000000023,934.6,385.3
7,8,0,0.233,0.98,1,-30.800000000000068,-25.800000000000068,-19.200000000000045,-12.400000000000091,-6.2000000000000455,5.599999999999909,10.799999999999955,15.899999999999977,20.799999999999955,23.799999999999955,-28.80000000000001,-32.60000000000002,-33.69999999999999,-32.60000000000002,-30.0,-30.19999999999999,-32.60000000000002,-33.60000000000002,-32.80000000000001,-29.400000000000034,934.7,385.3
8,9,0,0.267,0.98,1,-30.40000000000009,-25.600000000000023,-19.0,-12.300000000000068,-6.2000000000000455,5.399999999999977,10.599999999999909,15.599999999999909,20.399999999999977,23.399999999999977,-27.899999999999977,-31.799999999999955,-33.0,-32.099999999999966,-29.69999999999999,-30.099999999999966,-32.39999999999998,-33.299999999999955,-32.299999999999955,-28.69999999999999,934.7,385.4
9,10,0,0.3,0.93,1,-30.200000000000045,-25.40000000000009,-18.90000000000009,-12.200000000000045,-6.2000000000000455,5.5,10.599999999999909,15.699999999999932,20.399999999999977,23.399999999999977,-27.80000000000001,-31.69999999999999,-33.0,-32.10000000000002,-29.69999999999999,-30.100000000000023,-32.39999999999998,-33.19999999999999,-32.19999999999999,-28.600000000000023,934.7,385.5
10,11,0,0.333,0.93,1,-30.299999999999955,-25.5,-18.899999999999977,-12.199999999999932,-6.099999999999909,5.5,10.700000000000045,15.800000000000068,20.5,23.40000000000009,-27.799999999999955,-31.69999999999999,-33.0,-32.099999999999966,-29.69999999999999,-30.0,-32.299999999999955,-33.099999999999966,-32.0,-28.399999999999977,934.8,385.4
11,12,0,0.367,0.93,1,-30.299999999999955,-25.5,-18.899999999999977,-12.199999999999932,-6.100000000000023,5.600000000000023,10.700000000000045,15.800000000000068,20.600000000000023,23.399999999999977,-27.799999999999955,-31.69999999999999,-33.0,-32.19999999999999,-29.69999999999999,-30.0,-32.19999999999999,-33.099999999999966,-31.899999999999977,-28.299999999999955,934.9,385.4
12,13,0,0.4,0.88,1,-30.600000000000023,-25.700000000000045,-19.100000000000023,-12.200000000000045,-6.100000000000023,5.600000000000023,10.799999999999955,16.0,20.799999999999955,23.799999999999955,-28.5,-32.30000000000001,-33.5,-32.60000000000002,-30.0,-30.30000000000001,-32.60000000000002,-33.5,-32.5,-28.899999999999977,935.1,385.5
13,14,0,0.433,0.88,1,-30.700000000000045,-25.800000000000068,-19.100000000000023,-12.200000000000045,-6.100000000000023,5.699999999999932,11.0,16.199999999999932,21.100000000000023,24.0,-28.80000000000001,-32.60000000000002,-33.89999999999998,-32.80000000000001,-30.19999999999999,-30.30000000000001,-32.69999999999999,-33.60000000000002,-32.60000000000002,-29.0,935.1,385.5
14,15,0,0.467,0.88,1,-30.800000000000068,-25.800000000000068,-19.0,-12.200000000000045,-6.100000000000023,5.7999999999999545,11.0,16.199999999999932,21.09999999999991,24.0,-29.099999999999966,-32.89999999999998,-34.0,-32.89999999999998,-30.19999999999999,-30.399999999999977,-32.69999999999999,-33.69999999999999,-32.799999999999955,-29.299999999999955,935.2,385.4
15,16,0,0.5,0.88,1,-31.0,-25.899999999999977,-19.199999999999932,-12.399999999999977,-6.199999999999932,5.600000000000023,10.800000000000068,16.0,20.899999999999977,23.800000000000068,-29.100000000000023,-32.900000000000034,-34.10000000000002,-32.900000000000034,-30.19999999999999,-30.400000000000034,-32.69999999999999,-33.69999999999999,-32.80000000000001,-29.30000000000001,935.4,385.3
16,17,0,0.533,0.88,1,-31.0,-26.0,-19.200000000000045,-12.299999999999955,-6.2000000000000455,5.600000000000023,10.799999999999955,16.0,20.899999999999977,23.899999999999977,-29.19999999999999,-33.10000000000002,-34.19999999999999,-33.0,-30.30000000000001,-30.400000000000034,-32.80000000000001,-33.69999999999999,-32.80000000000001,-29.30000000000001,935.5,385.3
17,18,0,0.567,0.98,1,-30.299999999999955,-25.399999999999977,-18.899999999999977,-12.299999999999955,-6.2999999999999545,6.2000000000000455,11.5,16.700000000000045,21.600000000000023,24.5,-29.600000000000023,-33.30000000000001,-34.30000000000001,-33.30000000000001,-30.69999999999999,-30.69999999999999,-33.0,-33.80000000000001,-32.69999999999999,-29.19999999999999,935.3,385.3
18,19,0,0.6,0.98,1,-29.600000000000023,-24.800000000000068,-18.300000000000068,-11.700000000000045,-5.800000000000068,6.600000000000023,12.100000000000023,17.399999999999977,22.199999999999932,25.199999999999932,-30.0,-33.599999999999966,-34.5,-33.30000000000001,-30.69999999999999,-30.599999999999966,-32.80000000000001,-33.599999999999966,-32.39999999999998,-28.80000000000001,935.1,385.2
19,20,0,0.633,0.88,1,-29.100000000000023,-24.300000000000068,-17.800000000000068,-11.200000000000045,-5.399999999999977,6.899999999999977,12.399999999999977,17.699999999999932,22.5,25.399999999999977,-30.30000000000001,-33.80000000000001,-34.599999999999966,-33.30000000000001,-30.69999999999999,-30.599999999999966,-32.80000000000001,-33.5,-32.30000000000001,-28.69999999999999,935.1,385.2
20,21,0,0.667,0.98,1,-30.100000000000023,-25.0,-18.200000000000045,-11.399999999999977,-5.399999999999977,6.2000000000000455,11.600000000000023,16.899999999999977,21.700000000000045,24.600000000000023,-29.80000000000001,-33.39999999999998,-34.30000000000001,-33.099999999999966,-30.30000000000001,-30.399999999999977,-32.69999999999999,-33.599999999999966,-32.599999999999966,-29.0,935.5,385.2
21,22,0,0.7,0.98,1,-30.399999999999977,-25.299999999999955,-18.5,-11.599999999999909,-5.599999999999909,6.100000000000023,11.5,16.800000000000068,21.700000000000045,24.600000000000023,-29.900000000000034,-33.5,-34.400000000000034,-33.200000000000045,-30.5,-30.5,-32.900000000000034,-33.80000000000001,-32.900000000000034,-29.400000000000034,935.8,385.1
22,23,0,0.733,0.98,1,-30.600000000000023,-25.5,-18.700000000000045,-11.899999999999977,-5.7999999999999545,5.899999999999977,11.200000000000045,16.5,21.399999999999977,24.299999999999955,-29.600000000000023,-33.30000000000001,-34.30000000000001,-33.10000000000002,-30.400000000000034,-30.5,-32.80000000000001,-33.69999999999999,-32.80000000000001,-29.19999999999999,936.0,384.8
23,24,0,0.767,0.98,1,-31.09999999999991,-26.0,-19.199999999999932,-12.299999999999955,-6.099999999999909,5.600000000000023,10.900000000000091,16.100000000000023,21.0,24.0,-29.69999999999999,-33.5,-34.599999999999966,-33.39999999999998,-30.69999999999999,-30.80000000000001,-33.30000000000001,-34.19999999999999,-33.19999999999999,-29.599999999999966,936.3,384.7
24,25,0,0.8,0.98,1,-31.09999999999991,-26.09999999999991,-19.299999999999955,-12.399999999999977,-6.2999999999999545,5.600000000000023,10.900000000000091,16.100000000000023,21.0,23.90000000000009,-29.599999999999966,-33.5,-34.599999999999966,-33.39999999999998,-30.69999999999999,-30.799999999999955,-33.19999999999999,-34.19999999999999,-33.099999999999966,-29.5,936.3,384.4
25,26,0,0.833,0.98,1,-31.200000000000045,-26.100000000000023,-19.300000000000068,-12.399999999999977,-6.2000000000000455,5.7999999999999545,11.100000000000023,16.299999999999955,21.199999999999932,24.100000000000023,-29.600000000000023,-33.400000000000034,-34.5,-33.30000000000001,-30.600000000000023,-30.69999999999999,-33.0,-34.0,-33.0,-29.5,936.1,383.8
26,27,0,0.867,0.98,1,-31.100000000000023,-26.0,-19.200000000000045,-12.399999999999977,-6.2000000000000455,5.699999999999932,10.899999999999977,16.100000000000023,21.0,23.799999999999955,-29.599999999999966,-33.39999999999998,-34.599999999999966,-33.39999999999998,-30.599999999999966,-30.69999999999999,-33.099999999999966,-34.0,-33.0,-29.399999999999977,936.1,383.4
