,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-30.40000000000009,-26.000000000000114,-19.700000000000045,-13.200000000000045,-7.100000000000136,4.899999999999864,11.399999999999864,18.0,24.5,29.399999999999864,-27.100000000000023,-31.19999999999999,-32.60000000000002,-32.10000000000002,-30.19999999999999,-31.100000000000023,-33.60000000000002,-34.60000000000002,-33.60000000000002,-29.900000000000034,1037.4,329.8
1,2,0,0.033,0.98,1,-30.399999999999977,-26.0,-19.799999999999955,-13.399999999999977,-7.400000000000091,5.2999999999999545,11.900000000000091,18.40000000000009,24.799999999999955,29.799999999999955,-26.69999999999999,-30.69999999999999,-32.10000000000002,-31.69999999999999,-30.100000000000023,-31.100000000000023,-33.39999999999998,-34.39999999999998,-33.5,-30.0,1037.0,329.5
2,3,0,0.067,0.98,1,-30.499999999999886,-26.09999999999991,-19.999999999999886,-13.599999999999909,-7.599999999999909,5.0,11.700000000000045,18.200000000000045,24.800000000000182,29.700000000000045,-26.399999999999977,-30.5,-31.899999999999977,-31.5,-30.0,-31.0,-33.39999999999998,-34.39999999999998,-33.39999999999998,-29.899999999999977,1036.6,329.2
3,4,0,0.1,0.98,1,-30.5,-26.0,-19.90000000000009,-13.600000000000023,-7.600000000000136,5.0,11.599999999999909,18.200000000000045,24.700000000000045,29.799999999999955,-26.30000000000001,-30.400000000000034,-31.80000000000001,-31.5,-30.0,-31.0,-33.400000000000034,-34.400000000000034,-33.5,-30.100000000000023,1036.2,329.1
4,5,0,0.133,0.98,1,-30.5,-26.100000000000023,-20.0,-13.700000000000045,-7.7000000000000455,5.0,11.599999999999909,18.200000000000045,24.700000000000045,29.799999999999955,-26.100000000000023,-30.19999999999999,-31.69999999999999,-31.399999999999977,-29.899999999999977,-31.100000000000023,-33.39999999999998,-34.39999999999998,-33.60000000000002,-30.19999999999999,1035.5,329.0
5,6,0,0.167,0.98,1,-30.500000000000114,-26.100000000000136,-20.100000000000136,-13.800000000000068,-7.800000000000182,4.7999999999999545,11.399999999999864,18.0,24.5,29.699999999999818,-25.899999999999977,-30.0,-31.5,-31.299999999999955,-29.799999999999955,-31.0,-33.39999999999998,-34.5,-33.69999999999999,-30.299999999999955,1034.9,328.9
6,7,0,0.2,0.98,1,-30.5,-26.200000000000045,-20.200000000000045,-13.899999999999977,-8.0,4.7000000000000455,11.400000000000091,18.0,24.59999999999991,29.90000000000009,-25.599999999999966,-29.799999999999955,-31.399999999999977,-31.19999999999999,-29.799999999999955,-31.099999999999966,-33.5,-34.599999999999966,-33.89999999999998,-30.5,1034.0,328.9
7,8,0,0.233,0.98,1,-30.699999999999932,-26.5,-20.5,-14.199999999999932,-8.299999999999955,4.400000000000091,11.0,17.600000000000136,24.299999999999955,29.5,-25.30000000000001,-29.5,-31.100000000000023,-31.0,-29.69999999999999,-31.100000000000023,-33.60000000000002,-34.69999999999999,-34.0,-30.69999999999999,1033.3,329.0
8,9,0,0.267,0.98,1,-30.5,-26.399999999999977,-20.399999999999977,-14.299999999999955,-8.299999999999955,4.2000000000000455,10.799999999999955,17.5,24.200000000000045,29.5,-25.0,-29.30000000000001,-31.0,-31.0,-29.69999999999999,-31.19999999999999,-33.69999999999999,-34.89999999999998,-34.19999999999999,-30.80000000000001,1032.3,329.2
9,10,0,0.3,0.98,1,-30.59999999999991,-26.499999999999886,-20.59999999999991,-14.399999999999864,-8.499999999999886,3.900000000000091,10.600000000000136,17.200000000000045,23.90000000000009,29.200000000000045,-24.69999999999999,-29.099999999999966,-30.899999999999977,-30.899999999999977,-29.69999999999999,-31.19999999999999,-33.799999999999955,-35.0,-34.299999999999955,-30.899999999999977,1031.6,329.4
10,11,0,0.333,0.98,1,-30.600000000000136,-26.500000000000114,-20.600000000000136,-14.500000000000114,-8.600000000000136,3.7999999999999545,10.399999999999864,17.09999999999991,23.799999999999955,29.199999999999818,-24.69999999999999,-29.100000000000023,-30.80000000000001,-30.80000000000001,-29.600000000000023,-31.19999999999999,-33.80000000000001,-35.0,-34.39999999999998,-31.0,1030.9,329.5
11,12,0,0.367,0.98,1,-30.5,-26.40000000000009,-20.600000000000023,-14.400000000000091,-8.5,3.8999999999998636,10.599999999999909,17.200000000000045,24.0,29.299999999999955,-24.700000000000045,-29.100000000000023,-30.900000000000034,-30.900000000000034,-29.600000000000023,-31.200000000000045,-33.80000000000001,-35.10000000000002,-34.5,-31.100000000000023,1030.2,329.6
12,13,0,0.4,0.98,1,-30.300000000000068,-26.300000000000068,-20.5,-14.400000000000091,-8.5,3.7999999999999545,10.5,17.09999999999991,23.899999999999864,29.200000000000045,-24.700000000000045,-29.0,-30.80000000000001,-30.80000000000001,-29.600000000000023,-31.200000000000045,-33.80000000000001,-35.10000000000002,-34.5,-31.200000000000045,1029.7,329.6
13,14,0,0.433,0.98,1,-30.300000000000068,-26.300000000000068,-20.500000000000114,-14.400000000000091,-8.500000000000114,3.7999999999999545,10.5,17.09999999999991,23.899999999999864,29.299999999999955,-24.600000000000023,-29.0,-30.700000000000045,-30.80000000000001,-29.5,-31.200000000000045,-33.80000000000001,-35.10000000000002,-34.400000000000034,-31.200000000000045,1029.4,329.6
14,15,0,0.467,0.98,1,-30.299999999999955,-26.299999999999955,-20.499999999999886,-14.399999999999864,-8.499999999999886,3.900000000000091,10.600000000000136,17.300000000000182,24.0,29.40000000000009,-24.80000000000001,-29.100000000000023,-30.80000000000001,-30.80000000000001,-29.600000000000023,-31.200000000000045,-33.80000000000001,-35.0,-34.400000000000034,-31.100000000000023,1029.1,329.6
15,16,0,0.5,0.98,1,-30.200000000000045,-26.200000000000045,-20.300000000000068,-14.200000000000045,-8.400000000000091,4.0,10.599999999999909,17.299999999999955,24.0,29.399999999999864,-24.80000000000001,-29.100000000000023,-30.80000000000001,-30.80000000000001,-29.600000000000023,-31.100000000000023,-33.80000000000001,-35.0,-34.400000000000034,-31.100000000000023,1028.9,329.6
16,17,0,0.533,0.98,1,-30.200000000000045,-26.200000000000045,-20.300000000000068,-14.200000000000045,-8.400000000000091,4.0,10.599999999999909,17.299999999999955,24.0,29.399999999999864,-24.900000000000034,-29.200000000000045,-30.900000000000034,-30.900000000000034,-29.600000000000023,-31.200000000000045,-33.80000000000001,-35.0,-34.30000000000001,-31.0,1028.7,329.6
17,18,0,0.567,0.98,1,-30.200000000000045,-26.100000000000023,-20.299999999999955,-14.200000000000045,-8.299999999999955,4.0,10.700000000000045,17.299999999999955,24.09999999999991,29.40000000000009,-24.900000000000034,-29.200000000000045,-30.900000000000034,-30.900000000000034,-29.600000000000023,-31.100000000000023,-33.700000000000045,-35.0,-34.30000000000001,-30.900000000000034,1028.5,329.6
18,19,0,0.6,0.98,1,-30.100000000000136,-26.100000000000136,-20.300000000000068,-14.100000000000136,-8.300000000000068,4.099999999999909,10.699999999999818,17.399999999999864,24.09999999999991,29.399999999999864,-25.0,-29.30000000000001,-31.0,-31.0,-29.69999999999999,-31.19999999999999,-33.69999999999999,-35.0,-34.30000000000001,-30.899999999999977,1028.4,329.7
19,20,0,0.633,0.98,1,-30.0,-26.0,-20.100000000000023,-14.0,-8.100000000000023,4.2000000000000455,10.799999999999955,17.5,24.200000000000045,29.5,-25.0,-29.30000000000001,-31.0,-30.899999999999977,-29.599999999999966,-31.099999999999966,-33.599999999999966,-34.80000000000001,-34.099999999999966,-30.80000000000001,1028.2,329.7
20,21,0,0.667,0.98,1,-30.199999999999932,-26.09999999999991,-20.199999999999932,-14.099999999999909,-8.199999999999932,4.2000000000000455,10.900000000000091,17.5,24.300000000000182,29.5,-25.19999999999999,-29.399999999999977,-31.099999999999966,-31.0,-29.69999999999999,-31.099999999999966,-33.69999999999999,-34.80000000000001,-34.099999999999966,-30.80000000000001,1028.1,329.7
21,22,0,0.7,0.98,1,-30.000000000000114,-26.000000000000114,-20.100000000000136,-13.900000000000091,-8.000000000000114,4.399999999999864,11.099999999999909,17.699999999999818,24.5,29.699999999999818,-25.399999999999977,-29.69999999999999,-31.30000000000001,-31.19999999999999,-29.80000000000001,-31.19999999999999,-33.69999999999999,-34.80000000000001,-34.099999999999966,-30.69999999999999,1027.9,329.7
22,23,0,0.733,0.98,1,-30.0,-25.90000000000009,-20.0,-13.800000000000068,-8.0,4.5,11.099999999999909,17.799999999999955,24.5,29.700000000000045,-25.399999999999977,-29.69999999999999,-31.30000000000001,-31.19999999999999,-29.80000000000001,-31.100000000000023,-33.60000000000002,-34.69999999999999,-33.89999999999998,-30.5,1027.7,329.5
23,24,0,0.767,0.98,1,-30.000000000000114,-25.800000000000068,-20.000000000000114,-13.800000000000068,-7.900000000000091,4.699999999999818,11.399999999999864,18.0,24.59999999999991,29.899999999999864,-25.299999999999955,-29.599999999999966,-31.19999999999999,-31.099999999999966,-29.69999999999999,-31.099999999999966,-33.5,-34.599999999999966,-33.799999999999955,-30.399999999999977,1027.4,329.4
24,25,0,0.8,0.98,1,-30.0,-25.90000000000009,-20.0,-13.800000000000068,-7.900000000000091,4.7000000000000455,11.399999999999864,18.0,24.700000000000045,29.899999999999864,-25.5,-29.799999999999955,-31.399999999999977,-31.299999999999955,-29.899999999999977,-31.099999999999966,-33.599999999999966,-34.599999999999966,-33.799999999999955,-30.399999999999977,1027.2,329.4
25,26,0,0.833,0.98,1,-29.90000000000009,-25.800000000000068,-19.90000000000009,-13.700000000000045,-7.800000000000068,4.7000000000000455,11.399999999999864,18.09999999999991,24.700000000000045,29.899999999999864,-25.599999999999966,-29.799999999999955,-31.5,-31.299999999999955,-30.0,-31.19999999999999,-33.599999999999966,-34.69999999999999,-33.799999999999955,-30.399999999999977,1026.7,329.4
