,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.90000000000009,-29.200000000000045,-23.40000000000009,-17.100000000000023,-11.200000000000045,0.8999999999999773,6.399999999999977,12.299999999999955,18.299999999999955,22.899999999999977,-23.5,-28.100000000000023,-30.100000000000023,-30.400000000000034,-29.0,-31.19999999999999,-34.69999999999999,-36.30000000000001,-35.80000000000001,-32.60000000000002,927.2,373.3
1,2,0,0.033,0.98,1,-33.30000000000007,-29.800000000000068,-24.100000000000023,-17.800000000000068,-11.800000000000068,0.6000000000000227,6.100000000000023,11.899999999999977,17.799999999999955,22.299999999999955,-23.100000000000023,-27.700000000000045,-29.900000000000034,-30.200000000000045,-28.80000000000001,-31.30000000000001,-34.700000000000045,-36.400000000000034,-35.900000000000034,-32.80000000000001,928.1,372.1
2,3,0,0.067,0.98,1,-33.799999999999955,-30.299999999999955,-24.5,-18.100000000000023,-12.0,0.6000000000000227,6.100000000000023,11.899999999999977,17.800000000000068,22.200000000000045,-23.099999999999966,-27.80000000000001,-30.099999999999966,-30.399999999999977,-29.0,-31.399999999999977,-34.89999999999998,-36.5,-36.099999999999966,-33.0,928.9,371.2
3,4,0,0.1,0.98,1,-33.799999999999955,-30.200000000000045,-24.399999999999977,-17.899999999999977,-11.799999999999955,0.7000000000000455,6.2000000000000455,12.0,17.899999999999977,22.299999999999955,-23.100000000000023,-27.80000000000001,-30.100000000000023,-30.400000000000034,-29.0,-31.400000000000034,-34.80000000000001,-36.400000000000034,-35.900000000000034,-32.700000000000045,929.5,370.1
4,5,0,0.133,0.98,1,-33.80000000000007,-30.100000000000023,-24.300000000000068,-17.800000000000068,-11.600000000000023,0.8999999999999773,6.399999999999977,12.199999999999932,18.100000000000023,22.399999999999977,-23.19999999999999,-27.899999999999977,-30.19999999999999,-30.5,-29.0,-31.30000000000001,-34.599999999999966,-36.099999999999966,-35.599999999999966,-32.30000000000001,930.1,369.2
5,6,0,0.167,0.98,1,-33.59999999999991,-29.799999999999955,-23.899999999999977,-17.399999999999977,-11.199999999999932,1.2000000000000455,6.7000000000000455,12.600000000000023,18.5,22.700000000000045,-23.69999999999999,-28.30000000000001,-30.600000000000023,-30.80000000000001,-29.19999999999999,-31.30000000000001,-34.5,-36.0,-35.400000000000034,-32.10000000000002,930.3,368.3
6,7,0,0.2,0.98,1,-33.0,-29.299999999999955,-23.399999999999977,-16.899999999999977,-10.799999999999955,1.6000000000000227,7.2000000000000455,13.100000000000023,18.90000000000009,23.100000000000023,-24.30000000000001,-28.80000000000001,-30.899999999999977,-31.0,-29.30000000000001,-31.30000000000001,-34.5,-35.89999999999998,-35.30000000000001,-31.899999999999977,930.3,367.7
7,8,0,0.233,0.98,1,-33.39999999999998,-29.5,-23.600000000000023,-17.100000000000023,-11.0,1.5,7.100000000000023,13.0,18.799999999999955,23.0,-24.399999999999977,-28.899999999999977,-31.0,-31.100000000000023,-29.399999999999977,-31.30000000000001,-34.5,-35.89999999999998,-35.19999999999999,-31.80000000000001,930.6,367.0
8,9,0,0.267,0.98,1,-33.10000000000002,-29.199999999999932,-23.199999999999932,-16.799999999999955,-10.699999999999932,1.8000000000000682,7.5,13.399999999999977,19.200000000000045,23.399999999999977,-24.69999999999999,-29.099999999999966,-31.099999999999966,-31.19999999999999,-29.5,-31.30000000000001,-34.5,-35.89999999999998,-35.099999999999966,-31.80000000000001,930.4,366.7
9,10,0,0.3,0.98,1,-33.0,-29.09999999999991,-23.199999999999932,-16.699999999999932,-10.699999999999932,1.900000000000091,7.600000000000023,13.5,19.40000000000009,23.5,-24.80000000000001,-29.30000000000001,-31.30000000000001,-31.30000000000001,-29.600000000000023,-31.30000000000001,-34.5,-35.80000000000001,-35.10000000000002,-31.700000000000045,930.3,366.6
