,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.19999999999993,-27.699999999999932,-21.199999999999932,-14.5,-8.399999999999977,3.7000000000000455,9.200000000000045,14.800000000000068,20.100000000000023,23.800000000000068,-28.19999999999999,-32.19999999999999,-33.60000000000002,-32.89999999999998,-30.899999999999977,-31.80000000000001,-34.60000000000002,-35.80000000000001,-35.10000000000002,-31.69999999999999,946.3,383.0
1,2,0,0.033,0.98,1,-32.19999999999993,-27.699999999999932,-21.299999999999955,-14.699999999999932,-8.699999999999932,4.399999999999977,9.899999999999977,15.5,20.800000000000068,24.399999999999977,-28.900000000000034,-32.80000000000001,-34.0,-33.19999999999999,-31.100000000000023,-32.0,-34.80000000000001,-36.10000000000002,-35.400000000000034,-32.10000000000002,945.9,383.3
2,3,0,0.067,0.98,1,-32.0,-27.40000000000009,-21.100000000000023,-14.600000000000023,-8.600000000000023,4.599999999999909,10.199999999999932,15.699999999999932,20.899999999999977,24.5,-29.19999999999999,-33.0,-34.19999999999999,-33.39999999999998,-31.19999999999999,-32.0,-34.80000000000001,-36.0,-35.30000000000001,-32.0,945.7,383.5
3,4,0,0.1,0.98,1,-31.59999999999991,-27.09999999999991,-20.799999999999955,-14.399999999999977,-8.399999999999977,4.7000000000000455,10.300000000000068,15.800000000000068,21.100000000000023,24.600000000000023,-29.30000000000001,-33.10000000000002,-34.200000000000045,-33.400000000000034,-31.200000000000045,-32.0,-34.700000000000045,-35.900000000000034,-35.200000000000045,-31.900000000000034,945.3,383.6
4,5,0,0.133,0.98,1,-31.600000000000023,-27.100000000000023,-20.800000000000068,-14.300000000000068,-8.399999999999977,4.699999999999932,10.299999999999955,15.799999999999955,21.100000000000023,24.699999999999932,-29.400000000000034,-33.19999999999999,-34.30000000000001,-33.400000000000034,-31.19999999999999,-32.10000000000002,-34.80000000000001,-36.10000000000002,-35.400000000000034,-32.10000000000002,945.1,383.8
5,6,0,0.167,0.98,1,-31.59999999999991,-27.0,-20.799999999999955,-14.299999999999955,-8.399999999999977,4.7000000000000455,10.300000000000068,15.900000000000091,21.300000000000068,24.90000000000009,-29.700000000000045,-33.5,-34.60000000000002,-33.700000000000045,-31.5,-32.30000000000001,-35.10000000000002,-36.30000000000001,-35.700000000000045,-32.400000000000034,944.8,384.1
6,7,0,0.2,0.98,1,-31.699999999999932,-27.100000000000023,-20.899999999999977,-14.399999999999977,-8.5,4.800000000000068,10.399999999999977,16.100000000000023,21.399999999999977,25.100000000000023,-29.80000000000001,-33.5,-34.599999999999966,-33.80000000000001,-31.599999999999966,-32.39999999999998,-35.19999999999999,-36.5,-35.80000000000001,-32.5,944.4,384.2
7,8,0,0.233,0.93,1,-31.5,-27.0,-20.799999999999955,-14.399999999999977,-8.5,4.7999999999999545,10.5,16.200000000000045,21.600000000000023,25.200000000000045,-30.0,-33.69999999999999,-34.799999999999955,-33.89999999999998,-31.69999999999999,-32.599999999999966,-35.299999999999955,-36.599999999999966,-35.89999999999998,-32.599999999999966,944.0,384.4
8,9,0,0.267,0.93,1,-31.5,-27.0,-20.800000000000068,-14.399999999999977,-8.5,4.699999999999932,10.399999999999977,16.100000000000023,21.5,25.199999999999932,-30.100000000000023,-33.80000000000001,-34.89999999999998,-34.10000000000002,-31.80000000000001,-32.69999999999999,-35.5,-36.80000000000001,-36.10000000000002,-32.80000000000001,943.6,384.5
9,10,0,0.3,0.93,1,-31.600000000000023,-27.100000000000023,-20.90000000000009,-14.5,-8.700000000000045,4.699999999999932,10.299999999999955,15.899999999999977,21.299999999999955,24.899999999999977,-30.19999999999999,-33.80000000000001,-34.89999999999998,-34.0,-31.80000000000001,-32.60000000000002,-35.5,-36.80000000000001,-36.19999999999999,-32.89999999999998,943.2,384.5
10,11,0,0.333,0.93,1,-31.59999999999991,-27.09999999999991,-20.899999999999977,-14.5,-8.699999999999932,4.7000000000000455,10.300000000000068,15.900000000000091,21.300000000000068,24.90000000000009,-30.0,-33.69999999999999,-34.799999999999955,-33.89999999999998,-31.69999999999999,-32.599999999999966,-35.39999999999998,-36.69999999999999,-36.099999999999966,-32.89999999999998,942.8,384.4
11,12,0,0.367,0.98,1,-31.899999999999977,-27.399999999999977,-21.199999999999932,-14.699999999999932,-8.799999999999955,4.5,10.100000000000023,15.700000000000045,21.100000000000023,24.800000000000068,-29.80000000000001,-33.60000000000002,-34.69999999999999,-33.80000000000001,-31.600000000000023,-32.5,-35.400000000000034,-36.69999999999999,-36.10000000000002,-32.900000000000034,942.4,384.3
