,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.5,-27.700000000000045,-21.0,-14.200000000000045,-7.900000000000091,5.7000000000000455,12.0,18.40000000000009,24.59999999999991,28.90000000000009,-32.099999999999966,-36.099999999999966,-37.19999999999999,-36.19999999999999,-33.69999999999999,-34.39999999999998,-37.299999999999955,-38.5,-37.599999999999966,-33.89999999999998,1106.5,342.4
1,2,0,0.033,0.98,1,-32.299999999999955,-27.700000000000045,-21.0,-14.099999999999909,-7.900000000000091,5.599999999999909,12.0,18.5,24.799999999999955,29.09999999999991,-32.39999999999998,-36.5,-37.5,-36.39999999999998,-33.69999999999999,-34.299999999999955,-37.299999999999955,-38.599999999999966,-37.69999999999999,-33.89999999999998,1105.5,342.4
2,3,0,0.067,0.98,1,-32.200000000000045,-27.700000000000045,-21.100000000000136,-14.299999999999955,-8.100000000000136,5.899999999999864,12.299999999999955,18.899999999999864,25.299999999999955,29.59999999999991,-32.80000000000001,-36.89999999999998,-37.89999999999998,-36.80000000000001,-34.099999999999966,-34.599999999999966,-37.599999999999966,-38.89999999999998,-38.0,-34.19999999999999,1104.2,342.2
3,4,0,0.1,0.98,1,-31.700000000000045,-27.200000000000045,-20.800000000000182,-14.100000000000136,-8.0,5.699999999999818,12.199999999999818,18.899999999999864,25.299999999999955,29.799999999999955,-32.60000000000002,-36.60000000000002,-37.60000000000002,-36.5,-33.80000000000001,-34.30000000000001,-37.30000000000001,-38.60000000000002,-37.700000000000045,-34.0,1102.9,342.1
4,5,0,0.133,0.98,1,-31.5,-27.200000000000045,-20.799999999999955,-14.200000000000045,-8.200000000000045,5.7000000000000455,12.299999999999955,18.90000000000009,25.40000000000009,30.0,-32.80000000000001,-36.69999999999999,-37.69999999999999,-36.60000000000002,-33.900000000000034,-34.400000000000034,-37.400000000000034,-38.69999999999999,-37.900000000000034,-34.30000000000001,1101.5,342.3
5,6,0,0.167,0.98,1,-31.199999999999818,-27.0,-20.59999999999991,-14.099999999999909,-8.0,5.7000000000000455,12.300000000000182,19.0,25.5,30.0,-32.60000000000002,-36.700000000000045,-37.80000000000001,-36.700000000000045,-34.0,-34.5,-37.5,-38.700000000000045,-37.80000000000001,-34.0,1100.6,342.6
6,7,0,0.2,0.98,1,-30.799999999999955,-26.59999999999991,-20.399999999999864,-13.899999999999864,-8.0,5.900000000000091,12.5,19.200000000000045,25.700000000000045,30.200000000000045,-32.89999999999998,-36.89999999999998,-37.89999999999998,-36.799999999999955,-34.099999999999966,-34.599999999999966,-37.5,-38.69999999999999,-37.69999999999999,-33.89999999999998,1099.8,342.9
7,8,0,0.233,0.98,1,-30.40000000000009,-26.40000000000009,-20.40000000000009,-14.099999999999909,-8.200000000000045,6.0,12.599999999999909,19.299999999999955,25.700000000000045,30.09999999999991,-32.60000000000002,-36.60000000000002,-37.80000000000001,-36.700000000000045,-34.10000000000002,-34.700000000000045,-37.5,-38.700000000000045,-37.700000000000045,-33.80000000000001,1099.0,343.1
8,9,0,0.267,0.98,1,-30.100000000000136,-26.200000000000045,-20.200000000000045,-13.900000000000091,-8.0,6.0,12.700000000000045,19.399999999999864,26.0,30.5,-32.69999999999999,-36.80000000000001,-38.0,-36.900000000000034,-34.19999999999999,-34.5,-37.400000000000034,-38.5,-37.400000000000034,-33.5,1098.2,343.3
9,10,0,0.3,0.98,1,-30.0,-26.0,-20.0,-13.700000000000045,-7.900000000000091,6.099999999999909,12.700000000000045,19.399999999999864,25.899999999999864,30.5,-32.799999999999955,-36.799999999999955,-37.89999999999998,-36.799999999999955,-34.099999999999966,-34.39999999999998,-37.19999999999999,-38.299999999999955,-37.299999999999955,-33.39999999999998,1097.7,343.4
