,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.100000000000023,-26.5,-20.299999999999955,-13.700000000000045,-7.899999999999977,4.0,9.600000000000023,15.200000000000045,20.700000000000045,24.5,-27.19999999999999,-31.099999999999966,-32.5,-31.899999999999977,-29.799999999999955,-30.69999999999999,-33.39999999999998,-34.5,-33.599999999999966,-30.19999999999999,948.0,374.9
1,2,0,0.033,0.98,1,-31.399999999999977,-27.0,-20.800000000000068,-14.200000000000045,-8.300000000000068,4.0,9.5,15.0,20.399999999999977,24.100000000000023,-27.399999999999977,-31.30000000000001,-32.69999999999999,-32.099999999999966,-30.0,-30.899999999999977,-33.69999999999999,-34.89999999999998,-34.099999999999966,-30.80000000000001,948.6,374.7
2,3,0,0.067,0.98,1,-31.40000000000009,-26.90000000000009,-20.800000000000068,-14.300000000000068,-8.5,3.7999999999999545,9.199999999999932,14.599999999999909,19.799999999999955,23.59999999999991,-27.30000000000001,-31.19999999999999,-32.5,-31.899999999999977,-29.80000000000001,-30.80000000000001,-33.60000000000002,-34.80000000000001,-34.0,-30.80000000000001,949.2,374.5
3,4,0,0.1,0.98,1,-31.600000000000023,-27.100000000000023,-20.90000000000009,-14.400000000000091,-8.600000000000023,3.7999999999999545,9.199999999999932,14.599999999999909,19.799999999999955,23.5,-27.30000000000001,-31.100000000000023,-32.5,-32.0,-29.80000000000001,-30.80000000000001,-33.69999999999999,-34.80000000000001,-34.0,-30.69999999999999,949.7,374.5
4,5,0,0.133,0.98,1,-31.600000000000023,-27.100000000000023,-20.899999999999977,-14.299999999999955,-8.5,3.800000000000068,9.200000000000045,14.600000000000023,19.800000000000068,23.399999999999977,-27.100000000000023,-31.0,-32.5,-32.0,-29.80000000000001,-30.700000000000045,-33.5,-34.5,-33.60000000000002,-30.30000000000001,950.4,375.1
5,6,0,0.167,0.98,1,-31.600000000000023,-27.200000000000045,-21.0,-14.299999999999955,-8.399999999999977,3.7999999999999545,9.200000000000045,14.600000000000023,19.799999999999955,23.299999999999955,-27.30000000000001,-31.30000000000001,-32.80000000000001,-32.19999999999999,-30.0,-30.80000000000001,-33.60000000000002,-34.60000000000002,-33.60000000000002,-30.19999999999999,951.0,376.0
6,7,0,0.2,0.98,1,-31.5,-26.899999999999977,-20.699999999999932,-14.100000000000023,-8.199999999999932,4.2000000000000455,9.600000000000023,14.899999999999977,20.100000000000023,23.600000000000023,-27.600000000000023,-31.5,-32.900000000000034,-32.30000000000001,-30.100000000000023,-30.80000000000001,-33.5,-34.5,-33.5,-30.100000000000023,951.4,377.1
7,8,0,0.233,0.98,1,-31.200000000000045,-26.600000000000023,-20.40000000000009,-13.900000000000091,-8.0,4.399999999999977,9.799999999999955,15.199999999999932,20.299999999999955,23.799999999999955,-27.80000000000001,-31.69999999999999,-33.0,-32.39999999999998,-30.100000000000023,-30.69999999999999,-33.39999999999998,-34.30000000000001,-33.30000000000001,-29.899999999999977,951.7,377.5
8,9,0,0.267,0.98,1,-31.100000000000023,-26.399999999999977,-20.100000000000023,-13.5,-7.600000000000023,4.800000000000068,10.200000000000045,15.600000000000023,20.700000000000045,24.100000000000023,-28.19999999999999,-32.10000000000002,-33.30000000000001,-32.60000000000002,-30.19999999999999,-30.69999999999999,-33.30000000000001,-34.19999999999999,-33.19999999999999,-29.69999999999999,951.9,378.0
9,10,0,0.3,0.98,1,-31.0,-26.299999999999955,-20.0,-13.399999999999977,-7.5,5.0,10.5,15.899999999999977,21.100000000000023,24.399999999999977,-28.399999999999977,-32.30000000000001,-33.5,-32.69999999999999,-30.30000000000001,-30.69999999999999,-33.30000000000001,-34.10000000000002,-33.0,-29.399999999999977,951.9,378.0
