,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-30.899999999999977,-26.5,-20.200000000000045,-13.599999999999909,-7.599999999999909,5.0,11.799999999999955,18.700000000000045,25.5,30.5,-28.099999999999966,-32.5,-33.89999999999998,-33.49999999999997,-31.599999999999966,-32.599999999999966,-35.29999999999998,-36.39999999999998,-35.39999999999998,-31.599999999999966,1041.0,288.9
1,2,0,0.033,0.98,1,-30.90000000000009,-26.40000000000009,-20.200000000000045,-13.800000000000182,-7.800000000000182,5.399999999999864,12.199999999999818,19.0,25.699999999999818,30.699999999999818,-28.0,-32.099999999999966,-33.39999999999998,-33.0,-31.30000000000001,-32.39999999999998,-35.0,-36.0,-35.099999999999994,-31.5,1040.9,288.7
2,3,0,0.067,0.98,1,-31.0,-26.5,-20.299999999999955,-13.899999999999864,-7.7999999999999545,5.400000000000091,12.299999999999955,19.0,25.700000000000045,30.799999999999955,-27.899999999999977,-32.099999999999966,-33.5,-33.099999999999994,-31.399999999999977,-32.5,-35.0,-36.0,-35.099999999999994,-31.5,1040.8,288.7
3,4,0,0.1,0.98,1,-31.100000000000023,-26.5,-20.300000000000068,-13.900000000000091,-7.7999999999999545,5.399999999999864,12.200000000000045,19.0,25.700000000000045,30.700000000000045,-28.0,-32.10000000000002,-33.50000000000003,-33.10000000000002,-31.400000000000034,-32.400000000000034,-34.900000000000034,-36.00000000000003,-35.00000000000003,-31.5,1040.7,288.6
4,5,0,0.133,0.98,1,-31.100000000000023,-26.5,-20.299999999999955,-13.900000000000091,-7.7999999999999545,5.599999999999909,12.400000000000091,19.09999999999991,25.799999999999955,30.799999999999955,-28.0,-32.10000000000002,-33.5,-33.099999999999994,-31.399999999999977,-32.39999999999998,-34.900000000000006,-35.900000000000006,-34.900000000000006,-31.399999999999977,1040.5,288.5
5,6,0,0.167,0.98,1,-31.200000000000045,-26.700000000000045,-20.399999999999977,-14.0,-7.900000000000091,5.5,12.299999999999955,19.0,25.700000000000045,30.59999999999991,-28.0,-32.10000000000002,-33.5,-33.19999999999999,-31.399999999999977,-32.39999999999998,-34.900000000000006,-35.900000000000006,-35.0,-31.399999999999977,1040.5,288.5
6,7,0,0.2,0.98,1,-31.300000000000068,-26.700000000000045,-20.500000000000114,-14.0,-7.900000000000091,5.399999999999864,12.299999999999955,18.899999999999864,25.59999999999991,30.5,-27.899999999999977,-32.10000000000002,-33.5,-33.099999999999994,-31.399999999999977,-32.39999999999998,-34.80000000000001,-35.80000000000001,-34.900000000000006,-31.30000000000001,1040.4,288.5
7,8,0,0.233,0.98,1,-31.40000000000009,-26.800000000000068,-20.5,-14.0,-7.900000000000091,5.5,12.299999999999955,19.0,25.59999999999991,30.59999999999991,-28.0,-32.19999999999999,-33.599999999999994,-33.19999999999999,-31.5,-32.5,-35.0,-36.0,-35.099999999999994,-31.5,1040.2,288.7
8,9,0,0.267,0.98,1,-31.499999999999886,-26.899999999999864,-20.59999999999991,-14.099999999999909,-7.899999999999864,5.400000000000091,12.300000000000182,19.0,25.600000000000136,30.5,-28.100000000000023,-32.19999999999999,-33.60000000000002,-33.20000000000002,-31.5,-32.5,-35.0,-36.10000000000002,-35.10000000000002,-31.5,1040.1,288.8
9,10,0,0.3,0.98,1,-31.600000000000023,-27.0,-20.700000000000045,-14.200000000000045,-8.0,5.2999999999999545,12.099999999999909,18.799999999999955,25.5,30.5,-28.099999999999966,-32.299999999999955,-33.599999999999966,-33.19999999999999,-31.5,-32.5,-35.099999999999966,-36.099999999999966,-35.19999999999999,-31.599999999999966,1040.0,288.9
