,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.0,-27.399999999999977,-21.0,-14.299999999999955,-8.199999999999932,4.100000000000023,9.700000000000045,15.200000000000045,20.5,24.200000000000045,-28.30000000000001,-32.200000000000045,-33.5,-32.900000000000034,-30.80000000000001,-31.80000000000001,-34.60000000000002,-35.900000000000034,-35.10000000000002,-31.80000000000001,943.3,380.6
1,2,0,0.033,0.98,1,-32.19999999999993,-27.899999999999977,-21.600000000000023,-14.899999999999977,-8.899999999999977,4.399999999999977,9.899999999999977,15.399999999999977,20.600000000000023,24.200000000000045,-28.599999999999966,-32.5,-33.89999999999998,-33.299999999999955,-31.19999999999999,-32.19999999999999,-35.099999999999966,-36.39999999999998,-35.599999999999966,-32.299999999999955,942.9,380.9
2,3,0,0.067,0.98,1,-32.30000000000007,-27.90000000000009,-21.600000000000023,-14.900000000000091,-8.900000000000091,4.199999999999932,9.799999999999955,15.199999999999932,20.5,24.199999999999932,-28.400000000000034,-32.30000000000001,-33.700000000000045,-33.0,-30.900000000000034,-32.0,-34.900000000000034,-36.30000000000001,-35.60000000000002,-32.400000000000034,942.7,381.1
3,4,0,0.1,0.98,1,-32.299999999999955,-27.899999999999977,-21.5,-14.899999999999977,-8.799999999999955,4.2999999999999545,9.799999999999955,15.200000000000045,20.5,24.100000000000023,-28.400000000000034,-32.30000000000001,-33.60000000000002,-33.0,-30.900000000000034,-32.0,-34.900000000000034,-36.30000000000001,-35.60000000000002,-32.400000000000034,942.5,381.1
4,5,0,0.133,0.98,1,-32.299999999999955,-27.899999999999977,-21.59999999999991,-15.0,-8.899999999999977,4.2000000000000455,9.700000000000045,15.200000000000045,20.40000000000009,24.100000000000023,-28.19999999999999,-32.19999999999999,-33.5,-32.89999999999998,-30.80000000000001,-32.0,-34.80000000000001,-36.19999999999999,-35.5,-32.30000000000001,942.3,381.0
5,6,0,0.167,0.98,1,-32.39999999999998,-28.0,-21.59999999999991,-14.899999999999977,-8.799999999999955,3.900000000000091,9.400000000000091,14.900000000000091,20.200000000000045,23.90000000000009,-27.80000000000001,-31.80000000000001,-33.200000000000045,-32.60000000000002,-30.5,-31.600000000000023,-34.400000000000034,-35.80000000000001,-35.10000000000002,-31.700000000000045,942.3,380.6
6,7,0,0.2,0.98,1,-32.5,-28.100000000000023,-21.700000000000045,-15.0,-8.900000000000091,4.099999999999909,9.5,15.0,20.299999999999955,24.0,-28.100000000000023,-32.0,-33.39999999999998,-32.80000000000001,-30.69999999999999,-31.80000000000001,-34.69999999999999,-36.10000000000002,-35.39999999999998,-32.10000000000002,942.2,380.5
7,8,0,0.233,0.98,1,-32.5,-28.0,-21.700000000000045,-15.0,-8.900000000000091,4.099999999999909,9.599999999999909,15.0,20.299999999999955,24.0,-28.19999999999999,-32.0,-33.39999999999998,-32.69999999999999,-30.69999999999999,-31.799999999999955,-34.69999999999999,-36.099999999999966,-35.5,-32.299999999999955,942.2,380.4
8,9,0,0.267,0.98,1,-32.19999999999993,-27.799999999999955,-21.5,-14.899999999999977,-8.799999999999955,4.2000000000000455,9.700000000000045,15.100000000000023,20.399999999999977,24.100000000000023,-28.299999999999955,-32.099999999999966,-33.39999999999998,-32.799999999999955,-30.69999999999999,-31.799999999999955,-34.69999999999999,-36.0,-35.39999999999998,-32.19999999999999,941.9,380.4
9,10,0,0.3,0.98,1,-32.30000000000007,-27.899999999999977,-21.5,-14.899999999999977,-8.800000000000068,4.100000000000023,9.600000000000023,15.100000000000023,20.399999999999977,24.100000000000023,-28.30000000000001,-32.19999999999999,-33.5,-32.80000000000001,-30.69999999999999,-31.80000000000001,-34.69999999999999,-36.10000000000002,-35.39999999999998,-32.19999999999999,941.6,380.5
