,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-29.600000000000023,-25.0,-18.800000000000068,-12.5,-6.800000000000068,5.100000000000023,10.600000000000023,16.199999999999932,21.5,25.100000000000023,-29.299999999999955,-32.89999999999998,-33.89999999999998,-32.89999999999998,-30.599999999999966,-31.099999999999966,-33.69999999999999,-34.69999999999999,-33.89999999999998,-30.5,933.1,384.4
1,2,0,0.033,0.98,1,-29.40000000000009,-24.90000000000009,-18.800000000000068,-12.600000000000023,-7.100000000000023,5.5,11.099999999999909,16.59999999999991,21.799999999999955,25.199999999999932,-29.69999999999999,-33.10000000000002,-34.0,-33.0,-30.69999999999999,-31.30000000000001,-33.80000000000001,-34.89999999999998,-34.10000000000002,-30.80000000000001,933.2,384.5
2,3,0,0.067,0.98,1,-29.399999999999977,-24.899999999999977,-18.799999999999955,-12.600000000000023,-7.0,5.5,11.100000000000023,16.600000000000023,21.800000000000068,25.200000000000045,-29.80000000000001,-33.19999999999999,-34.0,-33.0,-30.69999999999999,-31.19999999999999,-33.80000000000001,-35.0,-34.10000000000002,-30.899999999999977,933.4,384.5
3,4,0,0.1,0.98,1,-29.300000000000068,-24.800000000000068,-18.700000000000045,-12.5,-7.0,5.399999999999977,11.0,16.399999999999977,21.699999999999932,25.100000000000023,-29.69999999999999,-33.19999999999999,-34.0,-33.0,-30.69999999999999,-31.19999999999999,-33.80000000000001,-34.89999999999998,-34.10000000000002,-30.899999999999977,933.6,384.5
4,5,0,0.133,0.98,1,-29.5,-25.0,-18.899999999999977,-12.699999999999932,-7.100000000000023,5.399999999999977,11.0,16.399999999999977,21.700000000000045,25.100000000000023,-29.69999999999999,-33.10000000000002,-34.0,-33.0,-30.69999999999999,-31.19999999999999,-33.80000000000001,-35.0,-34.19999999999999,-31.0,933.9,384.5
5,6,0,0.167,0.98,1,-29.799999999999955,-25.199999999999932,-19.0,-12.799999999999955,-7.199999999999932,5.400000000000091,10.900000000000091,16.40000000000009,21.600000000000023,25.100000000000023,-29.80000000000001,-33.200000000000045,-34.10000000000002,-33.10000000000002,-30.700000000000045,-31.30000000000001,-33.900000000000034,-35.10000000000002,-34.400000000000034,-31.200000000000045,934.3,384.6
6,7,0,0.2,0.98,1,-29.799999999999955,-25.299999999999955,-19.199999999999932,-13.0,-7.2999999999999545,5.300000000000068,10.800000000000068,16.200000000000045,21.399999999999977,24.800000000000068,-29.600000000000023,-33.10000000000002,-34.0,-33.0,-30.700000000000045,-31.30000000000001,-33.900000000000034,-35.10000000000002,-34.400000000000034,-31.200000000000045,934.4,384.6
7,8,0,0.233,0.98,1,-30.100000000000023,-25.5,-19.40000000000009,-13.100000000000023,-7.5,5.099999999999909,10.5,15.899999999999977,21.0,24.5,-29.399999999999977,-32.89999999999998,-33.80000000000001,-32.80000000000001,-30.5,-31.19999999999999,-33.80000000000001,-35.0,-34.30000000000001,-31.19999999999999,934.7,384.5
8,9,0,0.267,0.98,1,-29.799999999999955,-25.299999999999955,-19.199999999999932,-13.0,-7.399999999999977,5.2000000000000455,10.600000000000023,15.900000000000091,21.100000000000023,24.5,-29.299999999999955,-32.799999999999955,-33.69999999999999,-32.69999999999999,-30.5,-31.099999999999966,-33.69999999999999,-34.89999999999998,-34.19999999999999,-31.099999999999966,934.8,384.4
9,10,0,0.3,0.98,1,-30.0,-25.5,-19.399999999999977,-13.100000000000023,-7.399999999999977,5.100000000000023,10.600000000000023,16.0,21.200000000000045,24.700000000000045,-29.19999999999999,-32.69999999999999,-33.599999999999966,-32.599999999999966,-30.399999999999977,-31.099999999999966,-33.69999999999999,-34.89999999999998,-34.19999999999999,-31.0,935.0,384.4
10,11,0,0.333,0.98,1,-29.899999999999977,-25.399999999999977,-19.300000000000068,-13.100000000000023,-7.5,5.100000000000023,10.600000000000023,16.0,21.199999999999932,24.699999999999932,-29.100000000000023,-32.60000000000002,-33.5,-32.5,-30.30000000000001,-30.900000000000034,-33.60000000000002,-34.80000000000001,-34.10000000000002,-31.0,935.1,384.3
11,12,0,0.367,0.98,1,-30.0,-25.5,-19.40000000000009,-13.100000000000023,-7.5,5.0,10.5,15.899999999999977,21.199999999999932,24.699999999999932,-29.100000000000023,-32.5,-33.400000000000034,-32.400000000000034,-30.19999999999999,-30.900000000000034,-33.60000000000002,-34.80000000000001,-34.19999999999999,-31.100000000000023,935.2,384.3
12,13,0,0.4,0.98,1,-30.100000000000023,-25.600000000000023,-19.5,-13.299999999999955,-7.600000000000023,5.0,10.5,15.899999999999977,21.100000000000023,24.600000000000023,-29.099999999999966,-32.5,-33.39999999999998,-32.5,-30.19999999999999,-30.80000000000001,-33.5,-34.69999999999999,-34.0,-30.899999999999977,935.5,384.2
13,14,0,0.433,0.98,1,-30.100000000000023,-25.600000000000023,-19.600000000000023,-13.399999999999977,-7.800000000000068,4.899999999999977,10.299999999999955,15.699999999999932,20.799999999999955,24.399999999999977,-29.0,-32.400000000000034,-33.200000000000045,-32.30000000000001,-30.100000000000023,-30.80000000000001,-33.400000000000034,-34.60000000000002,-34.0,-31.0,935.6,384.1
14,15,0,0.467,0.98,1,-30.100000000000023,-25.600000000000023,-19.600000000000023,-13.400000000000091,-7.7000000000000455,4.899999999999977,10.399999999999977,15.799999999999955,21.0,24.5,-29.0,-32.400000000000034,-33.30000000000001,-32.30000000000001,-30.100000000000023,-30.80000000000001,-33.400000000000034,-34.700000000000045,-34.0,-30.900000000000034,935.7,384.1
15,16,0,0.5,0.98,1,-30.100000000000023,-25.600000000000023,-19.600000000000023,-13.399999999999977,-7.699999999999932,4.899999999999977,10.300000000000068,15.800000000000068,20.899999999999977,24.5,-28.899999999999977,-32.19999999999999,-33.10000000000002,-32.19999999999999,-30.0,-30.69999999999999,-33.30000000000001,-34.5,-33.89999999999998,-30.80000000000001,935.9,384.0
16,17,0,0.533,0.98,1,-30.199999999999932,-25.699999999999932,-19.699999999999932,-13.5,-7.7999999999999545,4.900000000000091,10.400000000000091,15.800000000000068,21.100000000000023,24.700000000000045,-28.80000000000001,-32.19999999999999,-33.10000000000002,-32.10000000000002,-29.899999999999977,-30.69999999999999,-33.30000000000001,-34.60000000000002,-34.0,-30.899999999999977,935.8,384.0
17,18,0,0.567,0.98,1,-30.5,-26.0,-19.899999999999977,-13.700000000000045,-8.0,4.7000000000000455,10.200000000000045,15.600000000000023,20.899999999999977,24.5,-28.5,-32.0,-32.900000000000034,-32.0,-29.900000000000034,-30.600000000000023,-33.30000000000001,-34.5,-33.900000000000034,-30.900000000000034,936.0,383.8
18,19,0,0.6,0.98,1,-30.5,-26.0,-19.899999999999977,-13.700000000000045,-8.0,4.7000000000000455,10.200000000000045,15.600000000000023,20.799999999999955,24.399999999999977,-28.69999999999999,-32.10000000000002,-33.0,-32.10000000000002,-29.900000000000034,-30.69999999999999,-33.400000000000034,-34.60000000000002,-34.0,-31.0,936.0,383.8
