,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.10000000000002,-26.600000000000023,-19.899999999999977,-13.0,-6.7999999999999545,4.2000000000000455,9.299999999999955,14.399999999999977,19.200000000000045,22.399999999999977,-26.69999999999999,-30.5,-31.69999999999999,-30.899999999999977,-28.69999999999999,-28.899999999999977,-31.0,-31.69999999999999,-30.599999999999966,-27.099999999999966,956.0,376.4
1,2,0,0.033,0.98,1,-32.30000000000007,-26.600000000000023,-20.0,-13.300000000000068,-7.100000000000023,4.2999999999999545,9.299999999999955,14.199999999999932,19.0,22.09999999999991,-26.399999999999977,-30.099999999999966,-31.299999999999955,-30.5,-28.399999999999977,-28.5,-30.399999999999977,-31.0,-30.099999999999966,-26.69999999999999,956.2,375.9
2,3,0,0.067,0.98,1,-32.09999999999991,-26.399999999999977,-19.799999999999955,-13.099999999999909,-6.899999999999977,4.5,9.5,14.400000000000091,19.200000000000045,22.40000000000009,-26.400000000000034,-30.100000000000023,-31.30000000000001,-30.5,-28.400000000000034,-28.5,-30.400000000000034,-31.0,-30.0,-26.600000000000023,955.8,375.8
3,4,0,0.1,0.98,1,-32.09999999999991,-26.5,-19.799999999999955,-13.099999999999909,-6.899999999999977,4.5,9.5,14.400000000000091,19.200000000000045,22.300000000000068,-26.400000000000034,-30.100000000000023,-31.30000000000001,-30.5,-28.5,-28.600000000000023,-30.5,-31.100000000000023,-30.100000000000023,-26.69999999999999,955.8,375.8
4,5,0,0.133,0.98,1,-32.0,-26.5,-19.800000000000068,-13.100000000000023,-6.899999999999977,4.5,9.5,14.5,19.299999999999955,22.399999999999977,-26.399999999999977,-30.099999999999966,-31.30000000000001,-30.5,-28.399999999999977,-28.599999999999966,-30.399999999999977,-31.0,-30.0,-26.599999999999966,955.6,375.7
5,6,0,0.167,0.98,1,-32.0,-26.399999999999977,-19.799999999999955,-13.100000000000023,-6.899999999999977,4.399999999999977,9.5,14.5,19.299999999999955,22.399999999999977,-26.30000000000001,-30.100000000000023,-31.30000000000001,-30.5,-28.400000000000034,-28.600000000000023,-30.400000000000034,-31.0,-30.0,-26.5,955.5,375.6
6,7,0,0.2,0.98,1,-32.10000000000002,-26.5,-19.799999999999955,-13.100000000000023,-6.899999999999977,4.5,9.600000000000023,14.5,19.300000000000068,22.5,-26.400000000000034,-30.100000000000023,-31.30000000000001,-30.5,-28.5,-28.700000000000045,-30.5,-31.100000000000023,-30.100000000000023,-26.700000000000045,955.4,375.6
7,8,0,0.233,0.98,1,-32.09999999999991,-26.5,-19.799999999999955,-13.099999999999909,-7.0,4.5,9.600000000000023,14.5,19.300000000000068,22.5,-26.399999999999977,-30.100000000000023,-31.30000000000001,-30.5,-28.5,-28.69999999999999,-30.5,-31.100000000000023,-30.19999999999999,-26.80000000000001,955.3,375.5
8,9,0,0.267,0.98,1,-32.0,-26.40000000000009,-19.700000000000045,-13.100000000000023,-6.900000000000091,4.5,9.599999999999909,14.5,19.399999999999977,22.59999999999991,-26.5,-30.100000000000023,-31.30000000000001,-30.5,-28.5,-28.69999999999999,-30.5,-31.100000000000023,-30.19999999999999,-26.80000000000001,955.2,375.5
9,10,0,0.3,0.98,1,-32.10000000000002,-26.5,-19.800000000000068,-13.100000000000023,-7.0,4.5,9.5,14.5,19.299999999999955,22.5,-26.399999999999977,-30.099999999999966,-31.299999999999955,-30.5,-28.5,-28.69999999999999,-30.399999999999977,-31.099999999999966,-30.099999999999966,-26.69999999999999,955.1,375.4
