,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.88,1,-28.799999999999955,-24.399999999999864,-18.299999999999955,-12.099999999999909,-6.399999999999864,7.2000000000000455,13.700000000000045,20.300000000000182,26.600000000000136,31.100000000000136,-34.0,-37.099999999999966,-37.5,-35.799999999999955,-32.69999999999999,-32.39999999999998,-35.0,-36.0,-35.099999999999966,-31.799999999999955,1079.6,308.9
1,2,0,0.033,0.98,1,-29.299999999999955,-24.90000000000009,-18.799999999999955,-12.5,-6.7999999999999545,7.099999999999909,13.599999999999909,20.200000000000045,26.59999999999991,31.0,-34.5,-37.5,-37.80000000000001,-36.19999999999999,-33.10000000000002,-32.80000000000001,-35.5,-36.5,-35.60000000000002,-32.30000000000001,1078.7,309.0
2,3,0,0.067,0.88,1,-29.700000000000045,-25.299999999999955,-19.09999999999991,-12.700000000000045,-6.7999999999999545,7.2999999999999545,14.0,20.799999999999955,27.299999999999955,31.799999999999955,-35.099999999999966,-38.299999999999955,-38.599999999999966,-36.799999999999955,-33.599999999999966,-33.19999999999999,-36.0,-37.099999999999966,-36.19999999999999,-32.69999999999999,1077.5,308.9
3,4,0,0.1,0.98,1,-30.0,-25.59999999999991,-19.399999999999864,-13.0,-7.099999999999909,7.400000000000091,14.100000000000136,20.800000000000182,27.300000000000182,31.700000000000045,-34.900000000000034,-38.10000000000002,-38.400000000000034,-36.700000000000045,-33.5,-33.200000000000045,-36.0,-37.10000000000002,-36.200000000000045,-32.80000000000001,1076.6,308.6
4,5,0,0.133,0.98,1,-30.0,-25.600000000000136,-19.5,-13.100000000000136,-7.300000000000182,7.099999999999909,13.799999999999955,20.5,26.899999999999864,31.399999999999864,-34.60000000000002,-37.80000000000001,-38.10000000000002,-36.5,-33.39999999999998,-33.30000000000001,-36.10000000000002,-37.19999999999999,-36.30000000000001,-32.89999999999998,1075.4,308.5
5,6,0,0.167,0.98,1,-30.09999999999991,-25.799999999999955,-19.59999999999991,-13.199999999999818,-7.2999999999999545,7.0,13.600000000000136,20.300000000000182,26.800000000000182,31.300000000000182,-34.39999999999998,-37.69999999999999,-38.19999999999999,-36.5,-33.39999999999998,-33.19999999999999,-36.0,-37.099999999999966,-36.19999999999999,-32.799999999999955,1074.1,307.9
6,7,0,0.2,0.98,1,-30.200000000000045,-25.90000000000009,-19.800000000000182,-13.400000000000091,-7.5,6.899999999999864,13.5,20.199999999999818,26.59999999999991,31.09999999999991,-34.400000000000034,-37.700000000000045,-38.200000000000045,-36.60000000000002,-33.5,-33.30000000000001,-36.10000000000002,-37.200000000000045,-36.400000000000034,-33.0,1072.9,307.6
7,8,0,0.233,0.98,1,-30.199999999999818,-26.0,-19.899999999999864,-13.599999999999909,-7.699999999999818,6.400000000000091,12.900000000000091,19.600000000000136,26.0,30.40000000000009,-33.80000000000001,-37.19999999999999,-37.80000000000001,-36.30000000000001,-33.400000000000034,-33.400000000000034,-36.19999999999999,-37.30000000000001,-36.5,-33.10000000000002,1072.1,306.8
8,9,0,0.267,0.93,1,-30.5,-26.299999999999955,-20.299999999999955,-13.899999999999864,-8.0,6.400000000000091,12.900000000000091,19.5,25.90000000000009,30.299999999999955,-33.60000000000002,-37.0,-37.700000000000045,-36.30000000000001,-33.400000000000034,-33.5,-36.30000000000001,-37.5,-36.700000000000045,-33.400000000000034,1071.3,306.1
9,10,0,0.3,0.93,1,-30.299999999999955,-26.09999999999991,-20.09999999999991,-13.799999999999955,-8.0,6.5,13.100000000000136,19.700000000000045,26.100000000000136,30.600000000000136,-33.89999999999998,-37.30000000000001,-37.80000000000001,-36.39999999999998,-33.5,-33.60000000000002,-36.5,-37.69999999999999,-36.89999999999998,-33.60000000000002,1070.3,305.5
10,11,0,0.333,0.98,1,-30.199999999999818,-26.0,-20.0,-13.799999999999955,-8.0,6.400000000000091,13.0,19.600000000000136,26.100000000000136,30.600000000000136,-33.39999999999998,-36.80000000000001,-37.39999999999998,-36.0,-33.19999999999999,-33.30000000000001,-36.19999999999999,-37.39999999999998,-36.599999999999966,-33.19999999999999,1069.6,304.2
