,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-28.600000000000023,-23.899999999999977,-17.800000000000068,-11.5,-5.899999999999977,5.600000000000023,11.399999999999977,17.299999999999955,23.0,26.799999999999955,-26.399999999999977,-30.19999999999999,-31.30000000000001,-30.600000000000023,-28.30000000000001,-28.5,-30.69999999999999,-31.19999999999999,-29.899999999999977,-26.19999999999999,928.6,374.5
1,2,0,0.033,0.98,1,-28.799999999999955,-24.09999999999991,-18.0,-11.799999999999955,-6.199999999999932,5.7000000000000455,11.600000000000023,17.40000000000009,23.0,26.800000000000068,-26.19999999999999,-29.799999999999955,-30.899999999999977,-30.19999999999999,-28.099999999999966,-28.299999999999955,-30.399999999999977,-30.899999999999977,-29.69999999999999,-26.099999999999966,928.3,374.4
2,3,0,0.067,0.98,1,-28.600000000000023,-23.90000000000009,-17.90000000000009,-11.700000000000045,-6.0,5.7999999999999545,11.599999999999909,17.5,23.09999999999991,27.0,-26.100000000000023,-29.80000000000001,-30.899999999999977,-30.19999999999999,-28.0,-28.19999999999999,-30.30000000000001,-30.80000000000001,-29.600000000000023,-26.0,927.7,374.5
3,4,0,0.1,0.98,1,-28.600000000000023,-23.90000000000009,-17.800000000000068,-11.700000000000045,-6.0,5.699999999999932,11.599999999999909,17.399999999999977,23.09999999999991,27.0,-26.100000000000023,-29.80000000000001,-30.80000000000001,-30.100000000000023,-27.900000000000034,-28.100000000000023,-30.30000000000001,-30.80000000000001,-29.600000000000023,-26.100000000000023,927.2,374.6
4,5,0,0.133,0.98,1,-28.700000000000045,-23.899999999999977,-17.800000000000068,-11.600000000000023,-6.0,5.7999999999999545,11.699999999999932,17.5,23.100000000000023,27.100000000000023,-26.30000000000001,-29.900000000000034,-30.900000000000034,-30.100000000000023,-27.900000000000034,-28.100000000000023,-30.19999999999999,-30.69999999999999,-29.600000000000023,-26.0,927.1,374.8
5,6,0,0.167,0.98,1,-28.40000000000009,-23.700000000000045,-17.600000000000023,-11.5,-5.900000000000091,5.899999999999977,11.799999999999955,17.59999999999991,23.199999999999932,27.09999999999991,-26.399999999999977,-30.0,-31.0,-30.19999999999999,-28.100000000000023,-28.19999999999999,-30.30000000000001,-30.899999999999977,-29.600000000000023,-26.100000000000023,926.7,375.0
6,7,0,0.2,0.98,1,-28.300000000000068,-23.600000000000023,-17.5,-11.399999999999977,-5.800000000000068,5.899999999999977,11.799999999999955,17.600000000000023,23.199999999999932,27.100000000000023,-26.5,-30.0,-31.0,-30.200000000000045,-28.100000000000023,-28.200000000000045,-30.30000000000001,-30.80000000000001,-29.600000000000023,-26.0,926.6,375.1
7,8,0,0.233,0.98,1,-28.300000000000068,-23.5,-17.5,-11.300000000000068,-5.800000000000068,5.899999999999977,11.699999999999932,17.5,23.100000000000023,26.899999999999977,-26.5,-30.0,-30.899999999999977,-30.19999999999999,-28.0,-28.19999999999999,-30.19999999999999,-30.80000000000001,-29.5,-25.899999999999977,926.6,375.2
8,9,0,0.267,0.98,1,-28.300000000000068,-23.5,-17.40000000000009,-11.300000000000068,-5.7000000000000455,5.899999999999977,11.699999999999932,17.5,23.0,26.799999999999955,-26.5,-30.099999999999966,-31.0,-30.299999999999955,-28.099999999999966,-28.19999999999999,-30.299999999999955,-30.69999999999999,-29.399999999999977,-25.799999999999955,926.7,375.4
9,10,0,0.3,0.98,1,-28.200000000000045,-23.40000000000009,-17.300000000000068,-11.200000000000045,-5.600000000000023,6.0,11.899999999999977,17.59999999999991,23.199999999999932,27.0,-26.600000000000023,-30.100000000000023,-31.0,-30.200000000000045,-28.100000000000023,-28.200000000000045,-30.200000000000045,-30.700000000000045,-29.400000000000034,-25.900000000000034,926.7,375.6
