,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.699999999999932,-26.100000000000023,-19.199999999999932,-12.299999999999955,-6.100000000000023,4.7000000000000455,10.0,15.200000000000045,20.100000000000023,23.100000000000023,-27.700000000000045,-31.5,-32.60000000000002,-31.600000000000023,-29.200000000000045,-29.200000000000045,-31.200000000000045,-31.900000000000034,-30.700000000000045,-27.0,935.9,377.1
1,2,0,0.033,0.98,1,-31.700000000000045,-25.899999999999977,-19.200000000000045,-12.600000000000023,-6.5,5.100000000000023,10.299999999999955,15.299999999999955,20.199999999999932,23.299999999999955,-27.80000000000001,-31.30000000000001,-32.30000000000001,-31.30000000000001,-29.100000000000023,-29.100000000000023,-30.899999999999977,-31.600000000000023,-30.600000000000023,-27.19999999999999,936.1,377.0
2,3,0,0.067,0.98,1,-31.699999999999932,-25.899999999999977,-19.199999999999932,-12.600000000000023,-6.5,5.100000000000023,10.300000000000068,15.300000000000068,20.100000000000023,23.200000000000045,-27.69999999999999,-31.19999999999999,-32.19999999999999,-31.19999999999999,-29.0,-29.0,-30.799999999999955,-31.5,-30.5,-27.099999999999966,936.4,376.9
3,4,0,0.1,0.98,1,-31.5,-25.800000000000068,-19.100000000000023,-12.5,-6.399999999999977,5.100000000000023,10.299999999999955,15.299999999999955,20.199999999999932,23.199999999999932,-27.69999999999999,-31.19999999999999,-32.099999999999966,-31.19999999999999,-29.0,-29.0,-30.799999999999955,-31.5,-30.5,-27.19999999999999,936.6,376.9
4,5,0,0.133,0.98,1,-31.399999999999977,-25.699999999999932,-19.0,-12.399999999999977,-6.2999999999999545,5.2000000000000455,10.400000000000091,15.5,20.300000000000068,23.40000000000009,-27.899999999999977,-31.30000000000001,-32.30000000000001,-31.30000000000001,-29.0,-29.100000000000023,-30.899999999999977,-31.600000000000023,-30.600000000000023,-27.30000000000001,936.8,377.0
5,6,0,0.167,0.98,1,-31.5,-25.800000000000068,-19.100000000000023,-12.5,-6.399999999999977,5.100000000000023,10.299999999999955,15.399999999999977,20.299999999999955,23.299999999999955,-27.80000000000001,-31.30000000000001,-32.19999999999999,-31.19999999999999,-29.0,-29.0,-30.899999999999977,-31.5,-30.600000000000023,-27.19999999999999,937.1,377.0
6,7,0,0.2,0.98,1,-31.399999999999977,-25.699999999999932,-19.09999999999991,-12.5,-6.399999999999977,5.100000000000023,10.300000000000068,15.400000000000091,20.300000000000068,23.300000000000068,-27.900000000000034,-31.30000000000001,-32.30000000000001,-31.30000000000001,-29.100000000000023,-29.19999999999999,-31.100000000000023,-31.80000000000001,-30.900000000000034,-27.5,937.3,377.3
7,8,0,0.233,0.98,1,-31.5,-25.799999999999955,-19.100000000000023,-12.5,-6.399999999999977,5.100000000000023,10.399999999999977,15.5,20.5,23.600000000000023,-27.80000000000001,-31.30000000000001,-32.30000000000001,-31.30000000000001,-29.100000000000023,-29.19999999999999,-31.100000000000023,-31.80000000000001,-30.80000000000001,-27.400000000000034,937.5,377.3
8,9,0,0.267,0.98,1,-31.5,-25.800000000000068,-19.200000000000045,-12.5,-6.400000000000091,5.0,10.299999999999955,15.5,20.5,23.699999999999932,-27.69999999999999,-31.19999999999999,-32.19999999999999,-31.19999999999999,-29.0,-29.099999999999966,-31.0,-31.69999999999999,-30.799999999999955,-27.399999999999977,937.7,377.4
9,10,0,0.3,0.98,1,-31.600000000000023,-26.0,-19.299999999999955,-12.600000000000023,-6.399999999999977,5.0,10.299999999999955,15.5,20.600000000000023,23.700000000000045,-27.69999999999999,-31.30000000000001,-32.30000000000001,-31.30000000000001,-29.100000000000023,-29.19999999999999,-31.100000000000023,-31.80000000000001,-30.899999999999977,-27.5,938.0,377.5
