,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-30.90000000000009,-26.90000000000009,-20.799999999999955,-14.299999999999955,-8.400000000000091,5.400000000000091,11.900000000000091,18.5,24.799999999999955,29.299999999999955,-32.5,-36.69999999999999,-38.0,-37.099999999999966,-34.69999999999999,-35.299999999999955,-38.099999999999966,-39.29999999999998,-38.299999999999955,-34.599999999999966,1059.0,294.9
1,2,0,0.033,0.98,1,-31.40000000000009,-27.5,-21.40000000000009,-14.900000000000091,-8.900000000000091,5.599999999999909,12.099999999999909,18.700000000000045,25.0,29.299999999999955,-32.900000000000034,-37.10000000000002,-38.30000000000001,-37.30000000000001,-34.700000000000045,-35.200000000000045,-38.200000000000045,-39.400000000000034,-38.5,-34.700000000000045,1060.0,295.1
2,3,0,0.067,0.98,1,-31.300000000000182,-27.200000000000045,-21.0,-14.5,-8.5,6.0,12.399999999999864,19.0,25.299999999999955,29.699999999999818,-33.30000000000001,-37.39999999999998,-38.5,-37.39999999999998,-34.80000000000001,-35.19999999999999,-38.19999999999999,-39.39999999999998,-38.5,-34.80000000000001,1060.9,295.5
3,4,0,0.1,0.98,1,-31.299999999999955,-27.199999999999818,-21.09999999999991,-14.599999999999909,-8.699999999999818,5.800000000000182,12.200000000000045,18.700000000000045,24.90000000000009,29.200000000000045,-33.30000000000001,-37.400000000000034,-38.400000000000034,-37.400000000000034,-34.80000000000001,-35.30000000000001,-38.19999999999999,-39.400000000000034,-38.60000000000002,-34.900000000000034,1062.1,295.8
4,5,0,0.133,0.98,1,-31.299999999999955,-27.09999999999991,-20.90000000000009,-14.599999999999909,-8.700000000000045,5.7999999999999545,12.200000000000045,18.700000000000045,24.90000000000009,29.299999999999955,-33.10000000000002,-37.10000000000002,-38.10000000000002,-37.0,-34.5,-35.0,-37.80000000000001,-39.10000000000002,-38.30000000000001,-34.700000000000045,1063.0,296.1
5,6,0,0.167,0.98,1,-31.40000000000009,-27.200000000000045,-21.0,-14.5,-8.600000000000136,5.699999999999818,12.099999999999909,18.699999999999818,25.0,29.399999999999864,-33.30000000000001,-37.30000000000001,-38.30000000000001,-37.200000000000045,-34.5,-35.0,-37.900000000000034,-39.200000000000045,-38.400000000000034,-34.80000000000001,1063.9,296.6
6,7,0,0.2,0.98,1,-31.200000000000045,-27.0,-20.700000000000045,-14.299999999999955,-8.299999999999955,6.0,12.400000000000091,19.0,25.299999999999955,29.700000000000045,-33.39999999999998,-37.39999999999998,-38.39999999999998,-37.19999999999999,-34.5,-34.89999999999998,-37.69999999999999,-39.0,-38.19999999999999,-34.5,1064.8,296.7
7,8,0,0.233,0.98,1,-30.899999999999864,-26.799999999999955,-20.5,-14.099999999999909,-8.199999999999818,6.0,12.5,19.0,25.300000000000182,29.600000000000136,-33.30000000000001,-37.30000000000001,-38.30000000000001,-37.19999999999999,-34.5,-34.80000000000001,-37.599999999999966,-38.80000000000001,-37.89999999999998,-34.19999999999999,1065.6,296.7
8,9,0,0.267,0.98,1,-31.40000000000009,-27.100000000000136,-20.800000000000182,-14.300000000000182,-8.300000000000182,6.0,12.5,19.09999999999991,25.399999999999864,29.799999999999955,-33.5,-37.5,-38.39999999999998,-37.19999999999999,-34.5,-34.80000000000001,-37.599999999999966,-38.89999999999998,-38.099999999999966,-34.5,1066.4,296.7
9,10,0,0.3,0.98,1,-31.199999999999818,-26.899999999999864,-20.59999999999991,-14.099999999999909,-8.199999999999818,6.300000000000182,12.800000000000182,19.40000000000009,25.700000000000045,30.0,-33.69999999999999,-37.69999999999999,-38.69999999999999,-37.400000000000034,-34.69999999999999,-34.900000000000034,-37.69999999999999,-38.80000000000001,-38.0,-34.19999999999999,1067.1,296.8
