,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-32.0,-28.100000000000023,-22.100000000000023,-15.800000000000068,-9.800000000000068,2.5,9.0,15.700000000000045,22.59999999999991,28.200000000000045,-23.69999999999999,-28.69999999999999,-30.799999999999983,-31.19999999999999,-30.19999999999999,-32.39999999999998,-35.49999999999997,-36.99999999999997,-36.39999999999998,-32.99999999999997,1030.2,283.4
1,2,0,0.033,0.98,1,-32.40000000000009,-28.40000000000009,-22.600000000000136,-16.40000000000009,-10.500000000000114,2.5,9.0,15.599999999999909,22.299999999999955,27.899999999999864,-23.30000000000001,-28.0,-30.099999999999994,-30.599999999999994,-29.799999999999983,-32.29999999999998,-35.29999999999998,-36.79999999999998,-36.5,-33.39999999999998,1030.9,283.7
2,3,0,0.067,0.98,1,-32.5,-28.700000000000045,-22.899999999999977,-16.600000000000023,-10.600000000000023,2.099999999999909,8.700000000000045,15.200000000000045,22.0,27.59999999999991,-23.099999999999966,-27.799999999999955,-29.99999999999997,-30.49999999999997,-29.69999999999999,-32.29999999999998,-35.29999999999998,-36.99999999999997,-36.69999999999999,-33.599999999999966,1031.5,284.4
3,4,0,0.1,0.98,1,-32.60000000000002,-28.800000000000068,-23.100000000000023,-16.90000000000009,-10.900000000000091,1.7000000000000455,8.200000000000045,14.799999999999955,21.5,27.09999999999991,-23.100000000000023,-27.80000000000001,-30.0,-30.5,-29.700000000000017,-32.400000000000006,-35.60000000000002,-37.30000000000001,-37.10000000000002,-34.10000000000002,1032.2,285.3
4,5,0,0.133,0.98,1,-32.700000000000045,-29.0,-23.299999999999955,-17.100000000000023,-11.100000000000023,1.5,8.0,14.599999999999909,21.299999999999955,27.0,-23.099999999999966,-27.80000000000001,-30.0,-30.5,-29.80000000000001,-32.5,-35.69999999999999,-37.5,-37.29999999999998,-34.39999999999998,1033.0,286.2
5,6,0,0.167,0.98,1,-32.60000000000002,-28.90000000000009,-23.300000000000068,-17.100000000000023,-11.200000000000045,1.2999999999999545,7.7999999999999545,14.399999999999864,21.09999999999991,26.799999999999955,-23.200000000000045,-27.80000000000001,-30.0,-30.5,-29.700000000000045,-32.50000000000003,-35.70000000000002,-37.50000000000003,-37.30000000000001,-34.50000000000003,1033.7,287.1
6,7,0,0.2,0.98,1,-32.500000000000114,-28.90000000000009,-23.200000000000045,-17.100000000000136,-11.100000000000136,1.2999999999999545,7.699999999999818,14.299999999999955,21.09999999999991,26.799999999999955,-23.100000000000023,-27.80000000000001,-29.899999999999977,-30.399999999999977,-29.69999999999999,-32.400000000000006,-35.69999999999999,-37.5,-37.5,-34.69999999999999,1034.4,288.0
7,8,0,0.233,0.98,1,-32.5,-28.899999999999977,-23.200000000000045,-17.100000000000023,-11.200000000000045,1.099999999999909,7.599999999999909,14.200000000000045,20.90000000000009,26.59999999999991,-23.30000000000001,-27.899999999999977,-30.099999999999966,-30.5,-29.80000000000001,-32.5,-35.79999999999998,-37.69999999999999,-37.599999999999994,-34.79999999999998,1035.5,288.7
8,9,0,0.267,0.98,1,-32.200000000000045,-28.600000000000023,-23.0,-17.0,-11.099999999999909,1.2999999999999545,7.7000000000000455,14.299999999999955,21.09999999999991,26.799999999999955,-23.19999999999999,-27.899999999999977,-30.099999999999966,-30.5,-29.799999999999955,-32.5,-35.69999999999999,-37.599999999999966,-37.49999999999997,-34.69999999999999,1036.5,289.4
9,10,0,0.3,0.98,1,-32.30000000000007,-28.700000000000045,-23.0,-17.0,-11.100000000000136,1.2999999999999545,7.7999999999999545,14.399999999999864,21.200000000000045,26.799999999999955,-23.600000000000023,-28.100000000000023,-30.30000000000001,-30.69999999999999,-29.80000000000001,-32.5,-35.80000000000001,-37.70000000000002,-37.60000000000002,-34.80000000000001,1037.7,290.3
10,11,0,0.333,0.98,1,-32.0,-28.399999999999977,-22.799999999999955,-16.799999999999955,-10.899999999999864,1.400000000000091,7.900000000000091,14.5,21.299999999999955,27.0,-23.5,-28.099999999999966,-30.19999999999999,-30.599999999999966,-29.80000000000001,-32.39999999999998,-35.69999999999999,-37.5,-37.39999999999998,-34.599999999999966,1038.8,290.7
11,12,0,0.367,0.98,1,-31.799999999999955,-28.299999999999955,-22.600000000000023,-16.600000000000023,-10.799999999999955,1.5,7.900000000000091,14.5,21.299999999999955,27.0,-23.80000000000001,-28.399999999999977,-30.5,-30.80000000000001,-29.899999999999977,-32.5,-35.69999999999999,-37.5,-37.400000000000006,-34.5,1040.0,291.0
12,13,0,0.4,0.98,1,-31.59999999999991,-27.999999999999886,-22.399999999999864,-16.399999999999864,-10.599999999999909,1.800000000000182,8.300000000000182,15.0,21.800000000000182,27.40000000000009,-23.899999999999977,-28.5,-30.600000000000023,-30.899999999999977,-29.899999999999977,-32.39999999999998,-35.599999999999994,-37.400000000000006,-37.19999999999999,-34.19999999999999,1041.1,291.0
13,14,0,0.433,0.98,1,-31.399999999999977,-27.899999999999977,-22.299999999999955,-16.299999999999955,-10.5,1.7999999999999545,8.400000000000091,15.100000000000136,21.90000000000009,27.5,-24.100000000000023,-28.600000000000023,-30.69999999999999,-30.899999999999977,-30.0,-32.39999999999998,-35.599999999999994,-37.30000000000001,-37.099999999999994,-34.10000000000002,1042.3,291.0
14,15,0,0.467,0.98,1,-31.100000000000136,-27.500000000000114,-21.90000000000009,-15.900000000000091,-10.100000000000136,2.099999999999909,8.699999999999818,15.5,22.299999999999955,27.899999999999864,-24.100000000000023,-28.69999999999999,-30.80000000000001,-31.100000000000023,-30.100000000000023,-32.39999999999998,-35.5,-37.19999999999999,-36.900000000000006,-33.80000000000001,1043.4,290.5
15,16,0,0.5,0.98,1,-31.000000000000114,-27.500000000000114,-21.90000000000009,-15.900000000000091,-10.100000000000136,2.3999999999998636,9.0,15.699999999999818,22.59999999999991,28.199999999999818,-24.100000000000023,-28.600000000000023,-30.69999999999999,-31.0,-30.0,-32.30000000000001,-35.400000000000006,-37.0,-36.70000000000002,-33.60000000000002,1044.4,289.8
16,17,0,0.533,0.98,1,-30.59999999999991,-27.09999999999991,-21.5,-15.5,-9.700000000000045,2.7999999999999545,9.5,16.200000000000045,23.100000000000136,28.600000000000136,-24.30000000000001,-28.80000000000001,-30.900000000000034,-31.100000000000023,-30.0,-32.19999999999999,-35.10000000000002,-36.70000000000002,-36.30000000000001,-33.10000000000002,1045.3,288.8
