,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.899999999999977,-27.399999999999977,-21.100000000000023,-14.600000000000023,-8.700000000000045,3.3999999999999773,8.899999999999977,14.5,19.899999999999977,23.899999999999977,-27.19999999999999,-31.0,-32.30000000000001,-31.69999999999999,-29.69999999999999,-30.899999999999977,-33.89999999999998,-35.30000000000001,-34.80000000000001,-31.599999999999966,940.6,378.2
1,2,0,0.033,0.98,1,-31.899999999999977,-27.5,-21.399999999999977,-15.0,-9.200000000000045,3.6000000000000227,9.0,14.5,19.799999999999955,23.600000000000023,-27.700000000000045,-31.400000000000034,-32.60000000000002,-32.0,-30.100000000000023,-31.400000000000034,-34.30000000000001,-35.700000000000045,-35.200000000000045,-32.200000000000045,941.1,378.6
2,3,0,0.067,0.98,1,-32.10000000000002,-27.699999999999932,-21.600000000000023,-15.100000000000023,-9.199999999999932,3.5,8.899999999999977,14.399999999999977,19.800000000000068,23.600000000000023,-27.399999999999977,-31.100000000000023,-32.39999999999998,-31.899999999999977,-29.899999999999977,-31.19999999999999,-34.19999999999999,-35.60000000000002,-35.10000000000002,-32.10000000000002,941.4,378.5
3,4,0,0.1,0.98,1,-32.5,-28.09999999999991,-21.899999999999977,-15.299999999999955,-9.299999999999955,3.300000000000068,8.800000000000068,14.300000000000068,19.700000000000045,23.5,-27.19999999999999,-31.0,-32.39999999999998,-31.80000000000001,-29.80000000000001,-31.19999999999999,-34.19999999999999,-35.60000000000002,-35.10000000000002,-32.0,941.8,378.5
4,5,0,0.133,0.98,1,-32.39999999999998,-28.100000000000023,-21.899999999999977,-15.399999999999977,-9.399999999999977,3.199999999999932,8.600000000000023,14.100000000000023,19.5,23.199999999999932,-27.19999999999999,-31.0,-32.39999999999998,-31.80000000000001,-29.80000000000001,-31.19999999999999,-34.10000000000002,-35.60000000000002,-35.10000000000002,-32.0,942.1,378.5
5,6,0,0.167,0.98,1,-32.200000000000045,-27.800000000000068,-21.600000000000023,-15.100000000000023,-9.200000000000045,3.5,8.899999999999977,14.299999999999955,19.59999999999991,23.299999999999955,-27.19999999999999,-31.0,-32.39999999999998,-31.80000000000001,-29.80000000000001,-31.100000000000023,-34.0,-35.39999999999998,-35.0,-31.899999999999977,942.2,378.5
6,7,0,0.2,0.98,1,-32.5,-28.100000000000023,-21.90000000000009,-15.400000000000091,-9.400000000000091,3.199999999999932,8.599999999999909,14.0,19.299999999999955,23.0,-27.30000000000001,-31.100000000000023,-32.5,-31.900000000000034,-29.900000000000034,-31.200000000000045,-34.200000000000045,-35.60000000000002,-35.10000000000002,-32.10000000000002,942.7,378.6
7,8,0,0.233,0.98,1,-32.5,-28.09999999999991,-21.799999999999955,-15.299999999999955,-9.299999999999955,3.2000000000000455,8.600000000000023,14.100000000000023,19.40000000000009,23.200000000000045,-27.200000000000045,-31.100000000000023,-32.400000000000034,-31.80000000000001,-29.80000000000001,-31.100000000000023,-34.0,-35.5,-35.0,-31.900000000000034,942.8,378.6
8,9,0,0.267,0.98,1,-32.299999999999955,-27.899999999999977,-21.600000000000023,-15.100000000000023,-9.199999999999932,3.300000000000068,8.800000000000068,14.200000000000045,19.5,23.200000000000045,-27.5,-31.399999999999977,-32.69999999999999,-32.10000000000002,-30.100000000000023,-31.30000000000001,-34.19999999999999,-35.60000000000002,-35.10000000000002,-32.0,942.9,379.0
9,10,0,0.3,0.98,1,-32.19999999999993,-27.799999999999955,-21.5,-15.0,-9.100000000000023,3.3999999999999773,8.899999999999977,14.399999999999977,19.700000000000045,23.399999999999977,-27.600000000000023,-31.400000000000034,-32.700000000000045,-32.10000000000002,-30.100000000000023,-31.30000000000001,-34.200000000000045,-35.60000000000002,-35.10000000000002,-31.900000000000034,942.9,379.1
