,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-31.59999999999991,-26.899999999999977,-20.399999999999977,-13.599999999999909,-7.2999999999999545,5.2999999999999545,11.900000000000091,18.5,25.100000000000136,29.90000000000009,-27.80000000000001,-32.400000000000006,-34.10000000000002,-33.80000000000001,-32.0,-32.80000000000001,-35.20000000000002,-36.0,-34.70000000000002,-30.600000000000023,1035.3,281.8
1,2,0,0.033,0.98,1,-31.90000000000009,-27.200000000000045,-20.800000000000068,-14.100000000000023,-7.7999999999999545,5.399999999999864,12.099999999999909,18.5,24.899999999999864,29.799999999999955,-27.599999999999994,-32.0,-33.599999999999994,-33.19999999999999,-31.69999999999999,-32.5,-34.69999999999999,-35.5,-34.400000000000006,-30.599999999999994,1035.7,281.5
2,3,0,0.067,0.98,1,-31.90000000000009,-27.200000000000045,-20.800000000000068,-14.0,-7.7999999999999545,5.5,12.200000000000045,18.700000000000045,25.09999999999991,29.899999999999864,-27.69999999999999,-32.099999999999994,-33.69999999999999,-33.400000000000006,-31.80000000000001,-32.599999999999994,-34.80000000000001,-35.599999999999994,-34.400000000000006,-30.599999999999994,1035.7,281.5
3,4,0,0.1,0.98,1,-32.0,-27.300000000000068,-20.800000000000068,-14.100000000000023,-7.7999999999999545,5.5,12.200000000000045,18.799999999999955,25.200000000000045,30.0,-27.900000000000034,-32.400000000000034,-34.00000000000003,-33.70000000000002,-32.10000000000002,-32.900000000000034,-35.00000000000003,-35.80000000000001,-34.60000000000002,-30.700000000000017,1035.7,281.6
4,5,0,0.133,0.93,1,-31.899999999999864,-27.199999999999932,-20.699999999999932,-13.999999999999886,-7.699999999999818,5.7000000000000455,12.400000000000091,18.90000000000009,25.40000000000009,30.100000000000136,-28.299999999999983,-32.79999999999998,-34.39999999999998,-34.0,-32.39999999999998,-33.099999999999994,-35.29999999999998,-36.0,-34.69999999999999,-30.899999999999977,1035.6,281.7
5,6,0,0.167,0.93,1,-31.5,-26.800000000000068,-20.300000000000068,-13.600000000000023,-7.400000000000091,6.0,12.799999999999955,19.399999999999864,25.799999999999955,30.59999999999991,-28.69999999999999,-33.19999999999999,-34.80000000000001,-34.400000000000006,-32.80000000000001,-33.5,-35.599999999999994,-36.30000000000001,-35.0,-31.099999999999994,1035.2,282.0
6,7,0,0.2,0.93,1,-31.299999999999955,-26.700000000000045,-20.200000000000045,-13.5,-7.2999999999999545,6.099999999999909,13.0,19.59999999999991,26.0,30.700000000000045,-29.099999999999966,-33.599999999999966,-35.19999999999999,-34.79999999999998,-33.099999999999966,-33.79999999999998,-35.99999999999997,-36.69999999999999,-35.39999999999998,-31.49999999999997,1035.0,282.4
7,8,0,0.233,0.93,1,-31.199999999999932,-26.59999999999991,-20.199999999999932,-13.599999999999909,-7.399999999999864,6.100000000000136,12.900000000000091,19.600000000000136,26.0,30.799999999999955,-29.200000000000017,-33.70000000000002,-35.20000000000002,-34.900000000000006,-33.30000000000001,-34.0,-36.30000000000001,-37.0,-35.80000000000001,-31.900000000000006,1034.8,282.8
8,9,0,0.267,0.93,1,-31.300000000000068,-26.800000000000068,-20.40000000000009,-13.700000000000045,-7.5,5.7999999999999545,12.699999999999818,19.399999999999864,25.899999999999864,30.699999999999818,-29.0,-33.5,-35.099999999999994,-34.79999999999998,-33.19999999999999,-34.099999999999994,-36.39999999999998,-37.19999999999999,-36.0,-32.0,1034.9,283.2
9,10,0,0.3,0.93,1,-31.299999999999955,-26.799999999999955,-20.399999999999977,-13.700000000000045,-7.5,5.7999999999999545,12.700000000000045,19.40000000000009,26.0,30.90000000000009,-29.30000000000001,-33.80000000000001,-35.400000000000006,-35.0,-33.5,-34.30000000000001,-36.60000000000002,-37.5,-36.30000000000001,-32.400000000000006,1035.0,283.8
