,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-29.09999999999991,-24.899999999999864,-18.899999999999864,-12.599999999999909,-6.7999999999999545,5.0,11.5,18.100000000000136,24.700000000000045,29.700000000000045,-27.5,-31.5,-32.80000000000001,-32.10000000000002,-30.200000000000045,-31.100000000000023,-33.700000000000045,-34.80000000000001,-33.900000000000034,-30.30000000000001,1062.3,330.1
1,2,0,0.033,0.98,1,-28.90000000000009,-24.600000000000136,-18.700000000000045,-12.700000000000045,-6.900000000000091,5.699999999999818,12.299999999999955,18.799999999999955,25.299999999999955,30.299999999999955,-27.5,-31.299999999999955,-32.5,-31.899999999999977,-30.19999999999999,-31.0,-33.39999999999998,-34.39999999999998,-33.5,-30.099999999999966,1062.4,329.9
2,3,0,0.067,0.98,1,-29.100000000000136,-24.800000000000182,-18.90000000000009,-12.900000000000091,-7.100000000000136,5.599999999999909,12.199999999999818,18.699999999999818,25.09999999999991,30.09999999999991,-27.399999999999977,-31.19999999999999,-32.39999999999998,-31.899999999999977,-30.19999999999999,-31.100000000000023,-33.5,-34.5,-33.60000000000002,-30.30000000000001,1062.9,330.0
3,4,0,0.1,0.98,1,-29.100000000000136,-24.90000000000009,-19.0,-12.900000000000091,-7.100000000000136,5.5,12.099999999999909,18.59999999999991,25.09999999999991,30.09999999999991,-27.30000000000001,-31.100000000000023,-32.30000000000001,-31.80000000000001,-30.100000000000023,-31.100000000000023,-33.39999999999998,-34.5,-33.60000000000002,-30.30000000000001,1063.2,330.0
4,5,0,0.133,0.98,1,-29.0,-24.799999999999955,-18.90000000000009,-12.799999999999955,-7.099999999999909,5.5,12.200000000000045,18.700000000000045,25.299999999999955,30.299999999999955,-27.19999999999999,-31.100000000000023,-32.30000000000001,-31.80000000000001,-30.19999999999999,-31.100000000000023,-33.39999999999998,-34.5,-33.60000000000002,-30.19999999999999,1063.5,330.0
5,6,0,0.167,0.98,1,-29.100000000000136,-24.90000000000009,-19.0,-12.900000000000091,-7.100000000000136,5.5,12.199999999999818,18.799999999999955,25.299999999999955,30.299999999999955,-27.30000000000001,-31.100000000000023,-32.39999999999998,-31.899999999999977,-30.19999999999999,-31.100000000000023,-33.5,-34.5,-33.60000000000002,-30.19999999999999,1063.9,330.0
6,7,0,0.2,0.98,1,-29.09999999999991,-24.899999999999864,-19.0,-13.0,-7.2000000000000455,5.600000000000136,12.200000000000045,18.799999999999955,25.299999999999955,30.299999999999955,-27.399999999999977,-31.19999999999999,-32.39999999999998,-31.899999999999977,-30.30000000000001,-31.19999999999999,-33.5,-34.60000000000002,-33.69999999999999,-30.399999999999977,1064.3,330.0
7,8,0,0.233,0.98,1,-29.200000000000045,-25.0,-19.100000000000136,-13.0,-7.2000000000000455,5.5,12.200000000000045,18.700000000000045,25.200000000000045,30.299999999999955,-27.399999999999977,-31.19999999999999,-32.39999999999998,-32.0,-30.299999999999955,-31.299999999999955,-33.599999999999966,-34.599999999999966,-33.799999999999955,-30.5,1064.7,329.9
8,9,0,0.267,0.98,1,-29.299999999999955,-25.09999999999991,-19.199999999999818,-13.099999999999909,-7.2999999999999545,5.5,12.100000000000136,18.700000000000045,25.200000000000045,30.300000000000182,-27.5,-31.299999999999955,-32.599999999999966,-32.099999999999966,-30.399999999999977,-31.399999999999977,-33.69999999999999,-34.799999999999955,-34.0,-30.599999999999966,1065.1,329.9
9,10,0,0.3,0.98,1,-29.299999999999955,-25.09999999999991,-19.200000000000045,-13.099999999999909,-7.2999999999999545,5.400000000000091,12.099999999999909,18.59999999999991,25.200000000000045,30.200000000000045,-27.5,-31.399999999999977,-32.599999999999966,-32.099999999999966,-30.5,-31.5,-33.89999999999998,-34.89999999999998,-34.099999999999966,-30.799999999999955,1065.5,329.9
10,11,0,0.333,0.98,1,-29.299999999999955,-25.299999999999955,-19.40000000000009,-13.299999999999955,-7.5,5.2000000000000455,11.900000000000091,18.5,25.09999999999991,30.200000000000045,-27.600000000000023,-31.5,-32.80000000000001,-32.30000000000001,-30.69999999999999,-31.600000000000023,-34.10000000000002,-35.19999999999999,-34.30000000000001,-31.0,1066.0,330.0
11,12,0,0.367,0.98,1,-29.40000000000009,-25.300000000000182,-19.40000000000009,-13.300000000000182,-7.5,5.199999999999818,11.899999999999864,18.5,25.09999999999991,30.199999999999818,-27.80000000000001,-31.69999999999999,-33.0,-32.5,-31.0,-32.0,-34.5,-35.599999999999966,-34.80000000000001,-31.5,1066.4,330.2
12,13,0,0.4,0.98,1,-29.299999999999955,-25.200000000000045,-19.299999999999955,-13.200000000000045,-7.399999999999864,5.2999999999999545,12.0,18.700000000000045,25.299999999999955,30.40000000000009,-28.100000000000023,-32.10000000000002,-33.39999999999998,-32.89999999999998,-31.30000000000001,-32.30000000000001,-34.69999999999999,-35.89999999999998,-35.10000000000002,-31.69999999999999,1066.8,330.5
13,14,0,0.433,0.98,1,-29.5,-25.399999999999864,-19.5,-13.399999999999864,-7.599999999999909,5.100000000000136,11.800000000000182,18.40000000000009,25.0,30.100000000000136,-28.200000000000045,-32.200000000000045,-33.5,-33.0,-31.400000000000034,-32.400000000000034,-34.900000000000034,-36.0,-35.200000000000045,-31.900000000000034,1067.6,330.6
14,15,0,0.467,0.98,1,-29.299999999999955,-25.200000000000045,-19.299999999999955,-13.099999999999909,-7.2999999999999545,5.2999999999999545,12.0,18.700000000000045,25.299999999999955,30.40000000000009,-28.400000000000034,-32.30000000000001,-33.60000000000002,-33.10000000000002,-31.5,-32.5,-34.900000000000034,-36.10000000000002,-35.30000000000001,-31.900000000000034,1068.0,330.6
15,16,0,0.5,0.98,1,-29.09999999999991,-25.0,-19.09999999999991,-13.0,-7.199999999999818,5.300000000000182,12.100000000000136,18.800000000000182,25.40000000000009,30.5,-28.400000000000034,-32.5,-33.80000000000001,-33.30000000000001,-31.700000000000045,-32.700000000000045,-35.200000000000045,-36.30000000000001,-35.400000000000034,-32.0,1068.6,330.6
16,17,0,0.533,0.93,1,-29.100000000000136,-25.0,-19.200000000000045,-13.100000000000136,-7.300000000000182,5.5,12.199999999999818,18.799999999999955,25.5,30.59999999999991,-28.5,-32.60000000000002,-33.89999999999998,-33.39999999999998,-31.69999999999999,-32.69999999999999,-35.10000000000002,-36.19999999999999,-35.39999999999998,-32.0,1069.4,330.5
17,18,0,0.567,0.93,1,-29.09999999999991,-25.0,-19.09999999999991,-12.899999999999864,-7.099999999999909,5.5,12.200000000000045,18.90000000000009,25.5,30.600000000000136,-28.600000000000023,-32.69999999999999,-34.0,-33.5,-31.899999999999977,-32.89999999999998,-35.30000000000001,-36.39999999999998,-35.60000000000002,-32.10000000000002,1070.1,330.5
18,19,0,0.6,0.93,1,-28.700000000000045,-24.700000000000045,-19.0,-12.900000000000091,-7.2000000000000455,5.599999999999909,12.400000000000091,19.0,25.5,30.59999999999991,-28.80000000000001,-32.89999999999998,-34.19999999999999,-33.69999999999999,-32.10000000000002,-33.10000000000002,-35.5,-36.5,-35.69999999999999,-32.19999999999999,1071.0,330.5
19,20,0,0.633,0.93,1,-28.5,-24.600000000000136,-18.90000000000009,-12.800000000000182,-7.100000000000136,5.599999999999909,12.399999999999864,19.0,25.5,30.5,-28.600000000000023,-32.80000000000001,-34.19999999999999,-33.80000000000001,-32.19999999999999,-33.19999999999999,-35.60000000000002,-36.60000000000002,-35.69999999999999,-32.19999999999999,1071.9,330.5
20,21,0,0.667,0.88,1,-28.699999999999818,-24.699999999999818,-19.0,-12.899999999999864,-7.199999999999818,5.7000000000000455,12.5,19.100000000000136,25.600000000000136,30.600000000000136,-28.69999999999999,-32.799999999999955,-34.299999999999955,-33.89999999999998,-32.299999999999955,-33.299999999999955,-35.69999999999999,-36.69999999999999,-35.799999999999955,-32.299999999999955,1073.1,330.4
21,22,0,0.7,0.93,1,-28.600000000000136,-24.600000000000136,-18.90000000000009,-12.799999999999955,-7.100000000000136,5.7999999999999545,12.599999999999909,19.200000000000045,25.799999999999955,30.799999999999955,-29.100000000000023,-33.19999999999999,-34.60000000000002,-34.10000000000002,-32.60000000000002,-33.5,-35.89999999999998,-36.89999999999998,-36.0,-32.5,1074.2,330.5
22,23,0,0.733,0.88,1,-28.799999999999955,-24.799999999999955,-19.0,-12.900000000000091,-7.100000000000136,5.7000000000000455,12.5,19.09999999999991,25.700000000000045,30.799999999999955,-28.799999999999955,-33.0,-34.39999999999998,-34.0,-32.5,-33.5,-35.799999999999955,-36.799999999999955,-35.89999999999998,-32.39999999999998,1075.7,330.4
23,24,0,0.767,0.93,1,-29.0,-25.0,-19.100000000000136,-13.0,-7.2000000000000455,5.5,12.299999999999955,18.899999999999864,25.5,30.59999999999991,-28.599999999999966,-32.80000000000001,-34.19999999999999,-33.80000000000001,-32.30000000000001,-33.30000000000001,-35.69999999999999,-36.69999999999999,-35.80000000000001,-32.19999999999999,1077.4,330.2
24,25,0,0.8,0.88,1,-28.90000000000009,-24.800000000000182,-19.0,-12.900000000000091,-7.2000000000000455,5.5,12.299999999999955,19.0,25.59999999999991,30.699999999999818,-28.69999999999999,-32.80000000000001,-34.19999999999999,-33.89999999999998,-32.39999999999998,-33.39999999999998,-35.80000000000001,-36.80000000000001,-35.89999999999998,-32.30000000000001,1078.9,330.2
25,26,0,0.833,0.88,1,-29.09999999999991,-25.0,-19.200000000000045,-13.099999999999909,-7.399999999999864,5.5,12.299999999999955,19.0,25.600000000000136,30.700000000000045,-28.69999999999999,-32.89999999999998,-34.30000000000001,-33.89999999999998,-32.39999999999998,-33.39999999999998,-35.89999999999998,-36.89999999999998,-36.0,-32.39999999999998,1080.8,330.2
26,27,0,0.867,0.88,1,-28.799999999999955,-24.799999999999955,-19.09999999999991,-13.0,-7.2000000000000455,5.7000000000000455,12.5,19.200000000000045,25.799999999999955,30.90000000000009,-28.80000000000001,-33.0,-34.400000000000034,-34.10000000000002,-32.5,-33.5,-35.900000000000034,-36.900000000000034,-35.900000000000034,-32.400000000000034,1082.5,330.1
27,28,0,0.9,0.88,1,-28.700000000000045,-24.800000000000182,-19.0,-12.900000000000091,-7.2000000000000455,5.599999999999909,12.399999999999864,19.09999999999991,25.799999999999955,30.799999999999955,-28.5,-32.80000000000001,-34.19999999999999,-33.900000000000034,-32.400000000000034,-33.400000000000034,-35.80000000000001,-36.80000000000001,-35.80000000000001,-32.10000000000002,1084.4,329.8
28,29,0,0.933,0.88,1,-28.899999999999864,-24.899999999999864,-19.09999999999991,-13.0,-7.2999999999999545,5.600000000000136,12.400000000000091,19.100000000000136,25.700000000000045,30.90000000000009,-28.0,-32.30000000000001,-33.80000000000001,-33.5,-32.10000000000002,-33.10000000000002,-35.5,-36.400000000000034,-35.400000000000034,-31.80000000000001,1086.6,329.3
29,30,0,0.967,0.88,1,-28.899999999999864,-24.799999999999955,-19.0,-13.0,-7.2999999999999545,5.600000000000136,12.400000000000091,19.0,25.700000000000045,30.90000000000009,-27.30000000000001,-31.700000000000045,-33.200000000000045,-33.0,-31.600000000000023,-32.700000000000045,-35.10000000000002,-36.0,-35.10000000000002,-31.5,1088.6,328.6
30,31,0,1.0,0.93,1,-28.59999999999991,-24.59999999999991,-18.90000000000009,-12.900000000000091,-7.2000000000000455,5.599999999999909,12.400000000000091,19.0,25.700000000000045,30.90000000000009,-26.799999999999955,-31.19999999999999,-32.799999999999955,-32.599999999999966,-31.299999999999955,-32.5,-34.799999999999955,-35.69999999999999,-34.69999999999999,-31.099999999999966,1090.5,327.9
31,32,0,1.033,0.88,1,-28.200000000000045,-24.300000000000182,-18.700000000000045,-12.800000000000182,-7.2000000000000455,5.5,12.199999999999818,18.799999999999955,25.399999999999864,30.59999999999991,-26.19999999999999,-30.69999999999999,-32.400000000000034,-32.30000000000001,-31.0,-32.19999999999999,-34.5,-35.400000000000034,-34.30000000000001,-30.69999999999999,1092.4,327.3
32,33,0,1.067,0.88,1,-28.299999999999955,-24.5,-19.09999999999991,-13.099999999999909,-7.599999999999909,5.2000000000000455,11.900000000000091,18.59999999999991,25.200000000000045,30.299999999999955,-26.0,-30.400000000000034,-32.10000000000002,-32.10000000000002,-30.80000000000001,-32.0,-34.5,-35.400000000000034,-34.30000000000001,-30.80000000000001,1094.5,326.8
33,34,0,1.1,0.88,1,-28.299999999999955,-24.5,-19.09999999999991,-13.200000000000045,-7.7000000000000455,5.2000000000000455,11.900000000000091,18.600000000000136,25.200000000000045,30.40000000000009,-25.5,-29.899999999999977,-31.69999999999999,-31.80000000000001,-30.5,-31.899999999999977,-34.39999999999998,-35.30000000000001,-34.19999999999999,-30.69999999999999,1096.3,326.2
34,35,0,1.133,0.93,1,-28.59999999999991,-24.799999999999955,-19.399999999999864,-13.5,-8.0,5.0,11.700000000000045,18.299999999999955,24.90000000000009,30.100000000000136,-25.19999999999999,-29.600000000000023,-31.399999999999977,-31.5,-30.399999999999977,-31.899999999999977,-34.5,-35.39999999999998,-34.39999999999998,-31.0,1098.3,326.0
35,36,0,1.167,0.93,1,-28.799999999999955,-25.0,-19.59999999999991,-13.700000000000045,-8.200000000000045,4.7000000000000455,11.5,18.100000000000136,24.700000000000045,29.90000000000009,-24.599999999999966,-29.099999999999966,-31.0,-31.30000000000001,-30.19999999999999,-31.899999999999977,-34.5,-35.5,-34.5,-31.099999999999966,1100.3,325.7
36,37,0,1.2,0.93,1,-29.0,-25.299999999999955,-19.899999999999864,-14.0,-8.5,4.300000000000182,11.100000000000136,17.700000000000045,24.40000000000009,29.700000000000045,-24.19999999999999,-28.80000000000001,-30.80000000000001,-31.19999999999999,-30.19999999999999,-32.0,-34.69999999999999,-35.80000000000001,-34.89999999999998,-31.5,1102.1,325.7
37,38,0,1.233,0.93,1,-29.100000000000136,-25.300000000000182,-20.0,-14.100000000000136,-8.600000000000136,4.199999999999818,10.899999999999864,17.59999999999991,24.199999999999818,29.5,-23.700000000000045,-28.400000000000034,-30.5,-31.0,-30.0,-31.900000000000034,-34.60000000000002,-35.60000000000002,-34.80000000000001,-31.400000000000034,1103.9,325.6
38,39,0,1.267,0.93,1,-27.799999999999955,-24.200000000000045,-19.0,-13.299999999999955,-8.0,4.7000000000000455,11.399999999999864,18.0,24.700000000000045,30.299999999999955,-24.600000000000023,-29.100000000000023,-30.80000000000001,-31.100000000000023,-30.100000000000023,-31.900000000000034,-34.60000000000002,-35.80000000000001,-35.10000000000002,-31.900000000000034,1104.7,326.1
39,40,0,1.3,0.93,1,-27.5,-24.0,-18.799999999999955,-13.100000000000136,-7.7999999999999545,4.7999999999999545,11.5,18.09999999999991,24.899999999999864,30.5,-24.69999999999999,-29.19999999999999,-30.799999999999955,-31.099999999999966,-30.19999999999999,-31.899999999999977,-34.69999999999999,-35.799999999999955,-35.099999999999966,-31.899999999999977,1106.2,326.4
40,41,0,1.333,0.93,1,-27.699999999999818,-24.09999999999991,-18.899999999999864,-13.299999999999955,-8.0,4.800000000000182,11.5,18.100000000000136,24.90000000000009,30.600000000000136,-24.600000000000023,-29.0,-30.69999999999999,-31.0,-30.100000000000023,-31.899999999999977,-34.69999999999999,-35.80000000000001,-35.10000000000002,-31.899999999999977,1107.6,326.5
