,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.600000000000023,-26.899999999999977,-20.5,-13.800000000000068,-7.800000000000068,4.600000000000023,10.100000000000023,15.5,20.699999999999932,24.199999999999932,-29.700000000000045,-33.30000000000001,-34.30000000000001,-33.400000000000034,-31.200000000000045,-32.10000000000002,-34.900000000000034,-36.30000000000001,-35.700000000000045,-32.5,937.6,384.6
1,2,0,0.033,0.98,1,-31.600000000000023,-27.0,-20.700000000000045,-14.200000000000045,-8.300000000000068,5.0,10.399999999999977,15.699999999999932,20.699999999999932,24.09999999999991,-29.80000000000001,-33.30000000000001,-34.400000000000034,-33.5,-31.400000000000034,-32.30000000000001,-35.10000000000002,-36.400000000000034,-35.80000000000001,-32.80000000000001,937.7,384.6
2,3,0,0.067,0.98,1,-31.699999999999932,-27.100000000000023,-20.799999999999955,-14.299999999999955,-8.399999999999977,4.899999999999977,10.399999999999977,15.800000000000068,20.800000000000068,24.300000000000068,-29.69999999999999,-33.30000000000001,-34.30000000000001,-33.5,-31.30000000000001,-32.30000000000001,-35.10000000000002,-36.39999999999998,-35.80000000000001,-32.69999999999999,937.9,384.5
3,4,0,0.1,0.98,1,-31.800000000000068,-27.200000000000045,-20.90000000000009,-14.300000000000068,-8.400000000000091,4.899999999999977,10.299999999999955,15.699999999999932,20.799999999999955,24.199999999999932,-29.69999999999999,-33.30000000000001,-34.39999999999998,-33.5,-31.30000000000001,-32.19999999999999,-35.0,-36.39999999999998,-35.80000000000001,-32.69999999999999,938.2,384.5
4,5,0,0.133,0.98,1,-31.800000000000068,-27.200000000000045,-20.800000000000068,-14.300000000000068,-8.300000000000068,4.899999999999977,10.299999999999955,15.699999999999932,20.799999999999955,24.199999999999932,-29.799999999999955,-33.299999999999955,-34.39999999999998,-33.5,-31.299999999999955,-32.19999999999999,-35.0,-36.39999999999998,-35.799999999999955,-32.799999999999955,938.7,384.4
5,6,0,0.167,0.98,1,-31.5,-26.899999999999977,-20.600000000000023,-14.100000000000023,-8.200000000000045,5.100000000000023,10.600000000000023,15.899999999999977,21.0,24.399999999999977,-29.80000000000001,-33.30000000000001,-34.30000000000001,-33.400000000000034,-31.19999999999999,-32.10000000000002,-34.900000000000034,-36.30000000000001,-35.69999999999999,-32.69999999999999,939.0,384.3
6,7,0,0.2,0.98,1,-31.699999999999932,-27.100000000000023,-20.799999999999955,-14.199999999999932,-8.299999999999955,5.0,10.5,15.899999999999977,21.0,24.5,-29.700000000000045,-33.200000000000045,-34.200000000000045,-33.30000000000001,-31.100000000000023,-32.10000000000002,-34.900000000000034,-36.30000000000001,-35.80000000000001,-32.80000000000001,939.4,384.1
7,8,0,0.233,0.98,1,-31.899999999999977,-27.299999999999955,-20.899999999999977,-14.299999999999955,-8.399999999999977,5.100000000000023,10.600000000000023,16.100000000000023,21.200000000000045,24.700000000000045,-29.69999999999999,-33.19999999999999,-34.30000000000001,-33.39999999999998,-31.19999999999999,-32.19999999999999,-35.0,-36.39999999999998,-35.89999999999998,-32.80000000000001,939.9,384.0
8,9,0,0.267,0.98,1,-31.699999999999932,-27.199999999999932,-20.899999999999977,-14.399999999999977,-8.399999999999977,5.0,10.5,15.900000000000091,21.0,24.5,-29.600000000000023,-33.19999999999999,-34.19999999999999,-33.39999999999998,-31.19999999999999,-32.19999999999999,-35.10000000000002,-36.5,-35.89999999999998,-32.80000000000001,940.3,384.0
9,10,0,0.3,0.98,1,-31.899999999999977,-27.5,-21.199999999999932,-14.699999999999932,-8.699999999999932,4.7000000000000455,10.200000000000045,15.5,20.600000000000023,24.0,-29.19999999999999,-32.89999999999998,-34.099999999999966,-33.299999999999955,-31.19999999999999,-32.099999999999966,-35.0,-36.299999999999955,-35.69999999999999,-32.599999999999966,940.9,383.9
10,11,0,0.333,0.98,1,-31.699999999999932,-27.199999999999932,-20.899999999999977,-14.399999999999977,-8.399999999999977,4.900000000000091,10.300000000000068,15.700000000000045,20.800000000000068,24.200000000000045,-29.19999999999999,-32.80000000000001,-34.0,-33.19999999999999,-31.0,-32.0,-34.80000000000001,-36.10000000000002,-35.5,-32.39999999999998,941.3,384.0
11,12,0,0.367,0.98,1,-31.699999999999932,-27.199999999999932,-20.899999999999977,-14.399999999999977,-8.399999999999977,4.900000000000091,10.300000000000068,15.700000000000045,20.800000000000068,24.100000000000023,-29.19999999999999,-32.80000000000001,-33.89999999999998,-33.10000000000002,-30.899999999999977,-31.899999999999977,-34.69999999999999,-36.10000000000002,-35.5,-32.39999999999998,941.8,384.0
