,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-34.200000000000045,-28.700000000000045,-21.5,-14.200000000000045,-7.600000000000136,5.099999999999909,11.399999999999864,17.59999999999991,23.700000000000045,27.899999999999864,-29.80000000000001,-34.10000000000002,-35.30000000000001,-34.60000000000002,-32.5,-33.39999999999998,-36.19999999999999,-37.30000000000001,-36.39999999999998,-32.69999999999999,1057.2,293.5
1,2,0,0.033,0.98,1,-34.30000000000018,-28.800000000000182,-21.800000000000182,-14.600000000000136,-8.100000000000136,5.399999999999864,11.599999999999909,17.59999999999991,23.59999999999991,27.799999999999955,-29.200000000000045,-33.30000000000001,-34.60000000000002,-34.0,-32.200000000000045,-33.200000000000045,-35.900000000000034,-37.0,-36.200000000000045,-32.80000000000001,1058.4,293.6
2,3,0,0.067,0.98,1,-33.90000000000009,-28.5,-21.600000000000136,-14.400000000000091,-7.900000000000091,5.5,11.699999999999818,17.59999999999991,23.5,27.699999999999818,-29.19999999999999,-33.30000000000001,-34.60000000000002,-34.0,-32.10000000000002,-33.0,-35.69999999999999,-36.69999999999999,-35.900000000000034,-32.400000000000034,1059.4,293.8
3,4,0,0.1,0.98,1,-34.299999999999955,-28.899999999999864,-22.0,-14.799999999999955,-8.299999999999955,5.300000000000182,11.5,17.5,23.40000000000009,27.700000000000045,-28.69999999999999,-32.799999999999955,-34.099999999999966,-33.599999999999966,-31.69999999999999,-32.799999999999955,-35.5,-36.599999999999966,-35.799999999999955,-32.5,1059.1,293.9
4,5,0,0.133,0.98,1,-34.09999999999991,-28.700000000000045,-21.899999999999864,-14.799999999999955,-8.200000000000045,5.2999999999999545,11.600000000000136,17.600000000000136,23.600000000000136,27.90000000000009,-28.80000000000001,-32.900000000000034,-34.200000000000045,-33.700000000000045,-31.900000000000034,-33.0,-35.700000000000045,-36.700000000000045,-35.900000000000034,-32.400000000000034,1058.3,294.1
5,6,0,0.167,0.98,1,-34.19999999999993,-28.899999999999864,-22.09999999999991,-15.0,-8.399999999999864,5.300000000000182,11.700000000000045,17.90000000000009,23.90000000000009,28.40000000000009,-28.600000000000023,-32.700000000000045,-34.0,-33.5,-31.700000000000045,-32.80000000000001,-35.5,-36.60000000000002,-35.700000000000045,-32.30000000000001,1057.1,294.1
6,7,0,0.2,0.98,1,-33.89999999999998,-28.700000000000045,-21.90000000000009,-14.900000000000091,-8.400000000000091,5.2999999999999545,11.799999999999955,18.09999999999991,24.299999999999955,28.799999999999955,-28.69999999999999,-32.80000000000001,-34.099999999999966,-33.599999999999966,-31.80000000000001,-32.80000000000001,-35.39999999999998,-36.5,-35.69999999999999,-32.30000000000001,1055.5,294.2
7,8,0,0.233,0.98,1,-33.799999999999955,-28.700000000000045,-21.90000000000009,-14.900000000000091,-8.299999999999955,5.2999999999999545,11.900000000000091,18.299999999999955,24.59999999999991,29.200000000000045,-29.0,-33.10000000000002,-34.30000000000001,-33.80000000000001,-31.900000000000034,-33.0,-35.60000000000002,-36.700000000000045,-35.900000000000034,-32.400000000000034,1054.0,294.6
8,9,0,0.267,0.98,1,-33.39999999999998,-28.40000000000009,-21.700000000000045,-14.799999999999955,-8.400000000000091,5.2000000000000455,11.799999999999955,18.299999999999955,24.59999999999991,29.299999999999955,-28.80000000000001,-32.89999999999998,-34.099999999999966,-33.599999999999966,-31.80000000000001,-32.80000000000001,-35.5,-36.599999999999966,-35.80000000000001,-32.39999999999998,1052.5,294.7
9,10,0,0.3,0.98,1,-33.10000000000002,-28.100000000000023,-21.5,-14.600000000000136,-8.200000000000045,5.399999999999864,12.0,18.5,24.899999999999864,29.59999999999991,-28.900000000000034,-32.900000000000034,-34.200000000000045,-33.60000000000002,-31.700000000000045,-32.700000000000045,-35.400000000000034,-36.5,-35.700000000000045,-32.30000000000001,1051.2,295.1
10,11,0,0.333,0.98,1,-32.999999999999886,-27.999999999999886,-21.399999999999864,-14.5,-8.099999999999909,5.300000000000182,12.100000000000136,18.600000000000136,25.0,29.700000000000045,-29.100000000000023,-33.10000000000002,-34.30000000000001,-33.700000000000045,-31.900000000000034,-32.80000000000001,-35.5,-36.60000000000002,-35.700000000000045,-32.30000000000001,1050.1,295.6
11,12,0,0.367,0.98,1,-32.700000000000045,-27.90000000000009,-21.299999999999955,-14.5,-8.200000000000045,5.399999999999864,12.099999999999909,18.59999999999991,25.0,29.799999999999955,-29.100000000000023,-33.10000000000002,-34.30000000000001,-33.69999999999999,-31.899999999999977,-32.89999999999998,-35.5,-36.60000000000002,-35.80000000000001,-32.39999999999998,1049.2,296.0
12,13,0,0.4,0.98,1,-32.60000000000002,-27.700000000000045,-21.200000000000045,-14.5,-8.200000000000045,5.2999999999999545,12.0,18.59999999999991,25.09999999999991,29.90000000000009,-28.899999999999977,-33.0,-34.19999999999999,-33.69999999999999,-31.899999999999977,-32.89999999999998,-35.5,-36.599999999999966,-35.80000000000001,-32.39999999999998,1048.5,296.2
13,14,0,0.433,0.98,1,-32.60000000000002,-27.799999999999955,-21.299999999999955,-14.599999999999909,-8.299999999999955,5.2000000000000455,11.900000000000091,18.5,25.09999999999991,30.0,-28.900000000000034,-32.900000000000034,-34.200000000000045,-33.60000000000002,-31.80000000000001,-32.900000000000034,-35.5,-36.700000000000045,-35.900000000000034,-32.5,1048.0,296.6
14,15,0,0.467,0.98,1,-32.59999999999991,-27.799999999999955,-21.299999999999955,-14.599999999999909,-8.299999999999955,5.100000000000136,11.900000000000091,18.5,25.0,29.90000000000009,-28.900000000000034,-32.900000000000034,-34.19999999999999,-33.60000000000002,-31.80000000000001,-32.900000000000034,-35.60000000000002,-36.80000000000001,-36.0,-32.5,1047.8,296.8
15,16,0,0.5,0.98,1,-32.39999999999998,-27.600000000000023,-21.200000000000045,-14.5,-8.200000000000045,5.2999999999999545,12.0,18.700000000000045,25.200000000000045,30.09999999999991,-29.0,-33.0,-34.19999999999999,-33.60000000000002,-31.80000000000001,-32.80000000000001,-35.39999999999998,-36.60000000000002,-35.80000000000001,-32.39999999999998,1047.5,297.0
16,17,0,0.533,0.98,1,-32.30000000000007,-27.500000000000114,-21.100000000000136,-14.400000000000091,-8.200000000000045,5.2999999999999545,12.0,18.699999999999818,25.199999999999818,30.09999999999991,-28.899999999999977,-32.80000000000001,-34.0,-33.5,-31.69999999999999,-32.69999999999999,-35.30000000000001,-36.5,-35.60000000000002,-32.19999999999999,1047.4,297.0
17,18,0,0.567,0.98,1,-32.10000000000002,-27.300000000000068,-20.90000000000009,-14.299999999999955,-8.100000000000136,5.399999999999864,12.200000000000045,18.799999999999955,25.399999999999864,30.200000000000045,-28.900000000000034,-32.80000000000001,-34.0,-33.5,-31.700000000000045,-32.700000000000045,-35.30000000000001,-36.400000000000034,-35.60000000000002,-32.200000000000045,1047.2,297.1
18,19,0,0.6,0.98,1,-32.10000000000002,-27.300000000000068,-20.90000000000009,-14.299999999999955,-8.100000000000136,5.399999999999864,12.200000000000045,18.799999999999955,25.399999999999864,30.299999999999955,-29.099999999999966,-33.0,-34.19999999999999,-33.599999999999966,-31.80000000000001,-32.80000000000001,-35.39999999999998,-36.5,-35.69999999999999,-32.19999999999999,1047.2,297.2
19,20,0,0.633,0.98,1,-32.10000000000002,-27.300000000000068,-20.90000000000009,-14.200000000000045,-8.0,5.399999999999864,12.200000000000045,18.899999999999864,25.399999999999864,30.299999999999955,-29.19999999999999,-33.099999999999966,-34.19999999999999,-33.69999999999999,-31.80000000000001,-32.80000000000001,-35.39999999999998,-36.5,-35.69999999999999,-32.19999999999999,1047.2,297.2
20,21,0,0.667,0.98,1,-32.09999999999991,-27.299999999999955,-20.799999999999955,-14.199999999999818,-8.0,5.600000000000136,12.400000000000091,19.0,25.600000000000136,30.5,-29.399999999999977,-33.19999999999999,-34.30000000000001,-33.69999999999999,-31.899999999999977,-32.80000000000001,-35.39999999999998,-36.5,-35.69999999999999,-32.30000000000001,1047.1,297.2
21,22,0,0.7,0.98,1,-31.999999999999886,-27.09999999999991,-20.59999999999991,-13.899999999999864,-7.699999999999818,5.800000000000182,12.700000000000045,19.40000000000009,26.0,30.90000000000009,-29.5,-33.400000000000034,-34.5,-33.80000000000001,-31.900000000000034,-32.69999999999999,-35.19999999999999,-36.30000000000001,-35.30000000000001,-31.80000000000001,1046.6,296.8
22,23,0,0.733,0.98,1,-31.700000000000045,-26.800000000000068,-20.299999999999955,-13.700000000000045,-7.5,6.0,12.799999999999955,19.5,26.09999999999991,30.899999999999864,-29.69999999999999,-33.5,-34.599999999999966,-33.89999999999998,-31.899999999999977,-32.599999999999966,-35.0,-36.0,-35.099999999999966,-31.5,1045.7,296.4
23,24,0,0.767,0.98,1,-31.300000000000068,-26.40000000000009,-20.0,-13.300000000000182,-7.2000000000000455,6.099999999999909,13.0,19.699999999999818,26.199999999999818,31.0,-29.900000000000034,-33.80000000000001,-34.80000000000001,-34.10000000000002,-32.10000000000002,-32.700000000000045,-35.10000000000002,-36.0,-35.0,-31.400000000000034,1044.4,296.1
24,25,0,0.8,0.98,1,-31.200000000000045,-26.300000000000068,-19.90000000000009,-13.300000000000182,-7.2000000000000455,6.199999999999818,13.0,19.699999999999818,26.199999999999818,31.09999999999991,-30.0,-33.80000000000001,-34.80000000000001,-34.10000000000002,-32.10000000000002,-32.69999999999999,-35.10000000000002,-36.10000000000002,-35.10000000000002,-31.5,1042.9,295.8
25,26,0,0.833,0.98,1,-31.200000000000045,-26.300000000000068,-19.90000000000009,-13.300000000000182,-7.2000000000000455,6.2999999999999545,13.099999999999909,19.799999999999955,26.299999999999955,31.199999999999818,-29.899999999999977,-33.69999999999999,-34.69999999999999,-34.0,-32.0,-32.69999999999999,-35.099999999999966,-36.099999999999966,-35.099999999999966,-31.599999999999966,1041.4,295.4
26,27,0,0.867,0.98,1,-31.0,-26.100000000000023,-19.799999999999955,-13.200000000000045,-7.099999999999909,6.2000000000000455,13.0,19.700000000000045,26.299999999999955,31.200000000000045,-29.900000000000034,-33.700000000000045,-34.700000000000045,-34.0,-32.0,-32.700000000000045,-35.10000000000002,-36.10000000000002,-35.10000000000002,-31.5,1040.0,295.1
27,28,0,0.9,0.98,1,-31.0,-26.200000000000045,-19.800000000000068,-13.200000000000045,-7.100000000000136,6.2000000000000455,13.099999999999909,19.799999999999955,26.5,31.399999999999864,-29.80000000000001,-33.60000000000002,-34.69999999999999,-34.0,-32.0,-32.60000000000002,-35.0,-36.0,-35.0,-31.399999999999977,1038.7,295.0
28,29,0,0.933,0.98,1,-31.0,-26.09999999999991,-19.699999999999932,-13.200000000000045,-7.099999999999909,6.2999999999999545,13.200000000000045,19.90000000000009,26.5,31.40000000000009,-29.80000000000001,-33.69999999999999,-34.69999999999999,-34.0,-32.0,-32.69999999999999,-35.10000000000002,-36.0,-35.0,-31.399999999999977,1037.3,295.0
29,30,0,0.967,0.98,1,-31.0,-26.100000000000023,-19.700000000000045,-13.200000000000045,-7.099999999999909,6.2999999999999545,13.200000000000045,19.90000000000009,26.5,31.40000000000009,-29.80000000000001,-33.69999999999999,-34.69999999999999,-34.10000000000002,-32.10000000000002,-32.69999999999999,-35.10000000000002,-36.0,-35.0,-31.30000000000001,1036.0,295.0
30,31,0,1.0,0.98,1,-31.09999999999991,-26.299999999999955,-19.899999999999977,-13.299999999999955,-7.2000000000000455,6.2999999999999545,13.200000000000045,19.90000000000009,26.600000000000136,31.40000000000009,-29.69999999999999,-33.60000000000002,-34.69999999999999,-34.0,-32.10000000000002,-32.69999999999999,-35.19999999999999,-36.10000000000002,-35.0,-31.399999999999977,1034.8,295.0
31,32,0,1.033,0.98,1,-31.199999999999932,-26.399999999999977,-20.0,-13.5,-7.399999999999864,6.100000000000136,12.900000000000091,19.600000000000136,26.299999999999955,31.100000000000136,-29.399999999999977,-33.39999999999998,-34.5,-33.89999999999998,-32.0,-32.69999999999999,-35.099999999999966,-36.099999999999966,-35.0,-31.399999999999977,1033.8,294.9
32,33,0,1.067,0.98,1,-31.59999999999991,-26.699999999999932,-20.299999999999955,-13.699999999999932,-7.5,5.900000000000091,12.799999999999955,19.5,26.100000000000136,31.0,-29.399999999999977,-33.39999999999998,-34.5,-33.89999999999998,-32.0,-32.799999999999955,-35.299999999999955,-36.299999999999955,-35.299999999999955,-31.69999999999999,1032.8,294.9
33,34,0,1.1,0.98,1,-31.5,-26.59999999999991,-20.199999999999932,-13.599999999999909,-7.5,5.900000000000091,12.799999999999955,19.5,26.200000000000045,31.100000000000136,-29.299999999999955,-33.299999999999955,-34.39999999999998,-33.89999999999998,-32.0,-32.799999999999955,-35.299999999999955,-36.299999999999955,-35.299999999999955,-31.69999999999999,1031.8,294.9
34,35,0,1.133,0.98,1,-31.399999999999977,-26.600000000000023,-20.200000000000045,-13.600000000000023,-7.5,5.900000000000091,12.799999999999955,19.5,26.200000000000045,31.09999999999991,-29.299999999999955,-33.299999999999955,-34.39999999999998,-33.89999999999998,-32.0,-32.89999999999998,-35.299999999999955,-36.299999999999955,-35.299999999999955,-31.69999999999999,1031.0,294.9
35,36,0,1.167,0.98,1,-31.300000000000068,-26.5,-20.100000000000023,-13.5,-7.400000000000091,6.099999999999909,13.099999999999909,19.799999999999955,26.5,31.399999999999864,-29.5,-33.5,-34.60000000000002,-34.10000000000002,-32.19999999999999,-32.900000000000034,-35.400000000000034,-36.30000000000001,-35.19999999999999,-31.5,1030.2,294.8
36,37,0,1.2,0.98,1,-30.999999999999886,-26.199999999999932,-19.899999999999864,-13.299999999999955,-7.199999999999932,6.400000000000091,13.400000000000091,20.100000000000136,26.700000000000045,31.5,-29.69999999999999,-33.69999999999999,-34.900000000000034,-34.30000000000001,-32.400000000000034,-33.0,-35.400000000000034,-36.30000000000001,-35.19999999999999,-31.5,1029.1,294.8
37,38,0,1.233,0.98,1,-30.800000000000068,-26.000000000000114,-19.600000000000136,-13.000000000000114,-7.000000000000114,6.699999999999818,13.599999999999909,20.299999999999955,27.0,31.799999999999955,-29.69999999999999,-33.69999999999999,-34.900000000000034,-34.30000000000001,-32.400000000000034,-33.0,-35.400000000000034,-36.19999999999999,-35.10000000000002,-31.30000000000001,1027.9,294.8
38,39,0,1.267,0.98,1,-31.0,-26.100000000000023,-19.700000000000045,-13.100000000000023,-7.0,6.7000000000000455,13.599999999999909,20.299999999999955,26.899999999999864,31.700000000000045,-29.80000000000001,-33.89999999999998,-35.0,-34.5,-32.60000000000002,-33.19999999999999,-35.5,-36.39999999999998,-35.19999999999999,-31.399999999999977,1026.7,295.0
39,40,0,1.3,0.98,1,-31.199999999999932,-26.299999999999955,-19.899999999999977,-13.299999999999955,-7.199999999999932,6.5,13.299999999999955,20.0,26.600000000000136,31.40000000000009,-29.69999999999999,-33.799999999999955,-35.0,-34.39999999999998,-32.599999999999966,-33.299999999999955,-35.599999999999966,-36.5,-35.299999999999955,-31.599999999999966,1025.3,295.4
40,41,0,1.333,0.98,1,-31.600000000000023,-26.600000000000023,-20.200000000000045,-13.600000000000023,-7.600000000000023,6.2000000000000455,13.0,19.700000000000045,26.299999999999955,31.200000000000045,-29.5,-33.60000000000002,-34.80000000000001,-34.30000000000001,-32.5,-33.400000000000034,-35.80000000000001,-36.69999999999999,-35.69999999999999,-32.0,1024.0,295.8
41,42,0,1.367,0.98,1,-31.899999999999977,-27.09999999999991,-20.699999999999932,-14.099999999999909,-8.099999999999909,5.7000000000000455,12.5,19.200000000000045,25.799999999999955,30.700000000000045,-28.899999999999977,-33.10000000000002,-34.39999999999998,-34.10000000000002,-32.39999999999998,-33.39999999999998,-36.0,-37.0,-36.0,-32.30000000000001,1022.8,296.0
42,43,0,1.4,0.98,1,-32.40000000000009,-27.600000000000023,-21.300000000000068,-14.700000000000045,-8.700000000000045,5.099999999999909,11.899999999999864,18.5,25.200000000000045,30.200000000000045,-28.30000000000001,-32.5,-33.900000000000034,-33.700000000000045,-32.200000000000045,-33.5,-36.10000000000002,-37.200000000000045,-36.400000000000034,-32.80000000000001,1022.2,296.1
43,44,0,1.433,0.98,1,-32.39999999999998,-27.700000000000045,-21.399999999999977,-14.899999999999977,-8.799999999999955,5.0,11.700000000000045,18.40000000000009,25.09999999999991,30.200000000000045,-28.0,-32.30000000000001,-33.69999999999999,-33.60000000000002,-32.10000000000002,-33.5,-36.19999999999999,-37.30000000000001,-36.5,-33.0,1022.0,296.0
44,45,0,1.467,0.98,1,-32.39999999999998,-27.800000000000068,-21.5,-15.0,-9.0,4.699999999999932,11.499999999999886,18.100000000000023,24.800000000000068,29.999999999999886,-27.69999999999999,-32.0,-33.5,-33.5,-32.099999999999966,-33.599999999999966,-36.30000000000001,-37.5,-36.69999999999999,-33.19999999999999,1022.6,295.7
45,46,0,1.5,0.98,1,-32.5,-27.799999999999955,-21.600000000000023,-15.0,-9.0,4.7000000000000455,11.5,18.200000000000045,24.90000000000009,30.09999999999991,-27.69999999999999,-32.0,-33.60000000000002,-33.5,-32.10000000000002,-33.60000000000002,-36.30000000000001,-37.5,-36.69999999999999,-33.19999999999999,1024.0,295.3
