,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.59999999999991,-28.5,-22.200000000000045,-15.599999999999909,-9.5,4.2000000000000455,10.5,16.90000000000009,23.299999999999955,27.90000000000009,-31.100000000000023,-35.200000000000045,-36.5,-35.700000000000045,-33.30000000000001,-34.400000000000034,-37.60000000000002,-39.10000000000002,-38.60000000000002,-35.200000000000045,1085.5,336.1
1,2,0,0.033,0.98,1,-32.59999999999991,-28.799999999999955,-22.699999999999818,-16.199999999999818,-10.099999999999909,4.600000000000136,10.800000000000182,17.300000000000182,23.600000000000136,28.0,-31.100000000000023,-35.39999999999998,-36.80000000000001,-36.10000000000002,-33.80000000000001,-35.0,-38.19999999999999,-39.69999999999999,-38.89999999999998,-35.39999999999998,1085.6,335.5
2,3,0,0.067,0.98,1,-32.5,-28.600000000000136,-22.5,-16.0,-9.900000000000091,4.699999999999818,11.0,17.5,23.799999999999955,28.299999999999955,-31.399999999999977,-35.60000000000002,-37.0,-36.19999999999999,-33.80000000000001,-34.89999999999998,-38.0,-39.5,-38.69999999999999,-35.19999999999999,1085.4,334.5
3,4,0,0.1,0.98,1,-32.399999999999864,-28.399999999999864,-22.299999999999955,-15.799999999999955,-9.700000000000045,4.7999999999999545,11.200000000000045,17.799999999999955,24.200000000000045,28.700000000000045,-31.600000000000023,-35.89999999999998,-37.19999999999999,-36.30000000000001,-33.80000000000001,-34.80000000000001,-37.89999999999998,-39.39999999999998,-38.60000000000002,-35.0,1085.3,333.5
4,5,0,0.133,0.98,1,-32.40000000000009,-28.5,-22.300000000000182,-15.700000000000045,-9.600000000000136,4.7999999999999545,11.199999999999818,17.799999999999955,24.199999999999818,28.699999999999818,-31.69999999999999,-35.89999999999998,-37.30000000000001,-36.39999999999998,-33.89999999999998,-34.80000000000001,-38.0,-39.39999999999998,-38.69999999999999,-35.0,1085.4,332.7
5,6,0,0.167,0.98,1,-32.200000000000045,-28.300000000000182,-22.200000000000045,-15.600000000000136,-9.400000000000091,4.5,10.799999999999955,17.299999999999955,23.699999999999818,28.199999999999818,-31.0,-35.30000000000001,-36.80000000000001,-36.0,-33.599999999999966,-34.5,-37.69999999999999,-39.19999999999999,-38.30000000000001,-34.599999999999966,1085.4,331.7
6,7,0,0.2,0.98,1,-32.5,-28.600000000000136,-22.40000000000009,-15.900000000000091,-9.700000000000045,4.399999999999864,10.699999999999818,17.299999999999955,23.699999999999818,28.199999999999818,-31.30000000000001,-35.60000000000002,-37.0,-36.19999999999999,-33.69999999999999,-34.69999999999999,-37.89999999999998,-39.39999999999998,-38.69999999999999,-35.10000000000002,1085.4,331.0
7,8,0,0.233,0.98,1,-32.700000000000045,-28.799999999999955,-22.59999999999991,-16.0,-9.799999999999955,4.5,10.900000000000091,17.40000000000009,23.799999999999955,28.299999999999955,-31.5,-35.69999999999999,-37.10000000000002,-36.19999999999999,-33.80000000000001,-34.80000000000001,-38.0,-39.5,-38.80000000000001,-35.19999999999999,1085.5,330.0
8,9,0,0.267,0.98,1,-32.59999999999991,-28.699999999999818,-22.399999999999864,-15.699999999999818,-9.5,4.400000000000091,10.700000000000045,17.300000000000182,23.800000000000182,28.200000000000045,-31.0,-35.30000000000001,-36.80000000000001,-36.0,-33.5,-34.5,-37.80000000000001,-39.30000000000001,-38.5,-34.80000000000001,1085.6,328.8
9,10,0,0.3,0.98,1,-32.59999999999991,-28.5,-22.199999999999818,-15.599999999999909,-9.399999999999864,4.7000000000000455,11.100000000000136,17.700000000000045,24.100000000000136,28.5,-31.5,-35.80000000000001,-37.10000000000002,-36.19999999999999,-33.69999999999999,-34.60000000000002,-37.80000000000001,-39.19999999999999,-38.5,-34.80000000000001,1085.6,327.5
