,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-27.200000000000045,-22.100000000000023,-15.799999999999955,-9.600000000000023,-4.100000000000023,7.600000000000023,13.5,19.299999999999955,24.799999999999955,28.399999999999977,-29.69999999999999,-33.10000000000002,-33.60000000000002,-32.39999999999998,-29.80000000000001,-29.30000000000001,-31.100000000000023,-31.399999999999977,-30.0,-26.19999999999999,962.0,377.0
1,2,0,0.033,0.98,1,-27.199999999999932,-22.100000000000023,-15.899999999999977,-9.799999999999955,-4.399999999999977,7.899999999999977,13.700000000000045,19.399999999999977,24.800000000000068,28.399999999999977,-29.69999999999999,-32.80000000000001,-33.30000000000001,-32.10000000000002,-29.69999999999999,-29.100000000000023,-30.899999999999977,-31.19999999999999,-29.80000000000001,-26.19999999999999,963.4,377.0
2,3,0,0.067,0.98,1,-27.299999999999955,-22.199999999999932,-16.100000000000023,-10.0,-4.5,7.899999999999977,13.800000000000068,19.5,24.800000000000068,28.399999999999977,-29.700000000000045,-32.80000000000001,-33.30000000000001,-32.10000000000002,-29.700000000000045,-29.200000000000045,-30.900000000000034,-31.200000000000045,-29.80000000000001,-26.100000000000023,964.4,377.1
3,4,0,0.1,0.98,1,-27.5,-22.40000000000009,-16.200000000000045,-10.100000000000023,-4.5,7.699999999999932,13.699999999999932,19.299999999999955,24.699999999999932,28.299999999999955,-29.5,-32.700000000000045,-33.10000000000002,-31.900000000000034,-29.5,-29.0,-30.80000000000001,-31.100000000000023,-29.700000000000045,-26.0,965.2,377.1
4,5,0,0.133,0.98,1,-27.200000000000045,-22.100000000000023,-16.0,-9.899999999999977,-4.5,7.899999999999977,13.799999999999955,19.399999999999977,24.699999999999932,28.299999999999955,-29.600000000000023,-32.700000000000045,-33.200000000000045,-32.0,-29.600000000000023,-29.0,-30.700000000000045,-31.0,-29.700000000000045,-26.0,965.6,377.1
5,6,0,0.167,0.98,1,-27.0,-21.899999999999977,-15.799999999999955,-9.699999999999932,-4.2999999999999545,8.100000000000023,13.900000000000091,19.5,24.800000000000068,28.300000000000068,-29.80000000000001,-32.89999999999998,-33.30000000000001,-32.099999999999966,-29.599999999999966,-29.099999999999966,-30.80000000000001,-31.099999999999966,-29.80000000000001,-26.19999999999999,965.8,377.2
6,7,0,0.2,0.98,1,-27.100000000000023,-22.0,-15.899999999999977,-9.799999999999955,-4.399999999999977,7.899999999999977,13.700000000000045,19.300000000000068,24.600000000000023,28.100000000000023,-29.80000000000001,-32.89999999999998,-33.30000000000001,-32.099999999999966,-29.599999999999966,-29.099999999999966,-30.899999999999977,-31.19999999999999,-29.80000000000001,-26.19999999999999,965.9,377.2
7,8,0,0.233,0.98,1,-27.100000000000023,-22.0,-15.799999999999955,-9.699999999999932,-4.2999999999999545,7.800000000000068,13.600000000000023,19.200000000000045,24.5,27.899999999999977,-29.700000000000045,-32.80000000000001,-33.200000000000045,-32.0,-29.600000000000023,-29.0,-30.80000000000001,-31.100000000000023,-29.700000000000045,-26.100000000000023,965.9,377.1
8,9,0,0.267,0.98,1,-27.299999999999955,-22.199999999999932,-16.0,-9.899999999999977,-4.5,7.600000000000023,13.400000000000091,19.0,24.300000000000068,27.800000000000068,-29.69999999999999,-32.69999999999999,-33.19999999999999,-32.0,-29.600000000000023,-29.100000000000023,-30.899999999999977,-31.30000000000001,-30.0,-26.399999999999977,965.8,377.0
9,10,0,0.3,0.98,1,-27.5,-22.399999999999977,-16.200000000000045,-10.0,-4.5,7.600000000000023,13.399999999999977,19.0,24.299999999999955,27.799999999999955,-29.400000000000034,-32.5,-33.0,-31.80000000000001,-29.400000000000034,-29.0,-30.80000000000001,-31.200000000000045,-29.80000000000001,-26.200000000000045,965.6,376.6
10,11,0,0.333,0.98,1,-27.5,-22.40000000000009,-16.300000000000068,-10.200000000000045,-4.800000000000068,7.399999999999977,13.199999999999932,18.799999999999955,24.0,27.59999999999991,-29.30000000000001,-32.39999999999998,-32.89999999999998,-31.69999999999999,-29.30000000000001,-29.0,-30.80000000000001,-31.19999999999999,-29.899999999999977,-26.399999999999977,965.2,376.5
11,12,0,0.367,0.98,1,-27.40000000000009,-22.40000000000009,-16.300000000000068,-10.300000000000068,-4.900000000000091,7.2999999999999545,13.0,18.5,23.799999999999955,27.399999999999977,-29.19999999999999,-32.30000000000001,-32.80000000000001,-31.600000000000023,-29.30000000000001,-29.0,-30.80000000000001,-31.30000000000001,-30.0,-26.600000000000023,964.7,376.5
12,13,0,0.4,0.98,1,-27.5,-22.399999999999977,-16.399999999999977,-10.399999999999977,-5.100000000000023,7.2000000000000455,12.899999999999977,18.399999999999977,23.600000000000023,27.100000000000023,-29.19999999999999,-32.30000000000001,-32.80000000000001,-31.600000000000023,-29.399999999999977,-29.100000000000023,-30.899999999999977,-31.30000000000001,-30.100000000000023,-26.69999999999999,964.5,376.5
13,14,0,0.433,0.98,1,-27.5,-22.5,-16.399999999999977,-10.399999999999977,-5.0,7.2999999999999545,13.0,18.5,23.700000000000045,27.299999999999955,-29.400000000000034,-32.5,-33.0,-31.80000000000001,-29.5,-29.200000000000045,-31.0,-31.400000000000034,-30.200000000000045,-26.80000000000001,964.0,376.6
14,15,0,0.467,0.98,1,-27.800000000000068,-22.800000000000068,-16.600000000000023,-10.5,-5.0,7.199999999999932,13.0,18.600000000000023,23.899999999999977,27.399999999999977,-29.099999999999966,-32.299999999999955,-32.89999999999998,-31.799999999999955,-29.5,-29.099999999999966,-30.899999999999977,-31.299999999999955,-30.0,-26.399999999999977,963.6,376.4
15,16,0,0.5,0.98,1,-27.700000000000045,-22.700000000000045,-16.600000000000023,-10.5,-5.0,7.199999999999932,13.099999999999909,18.699999999999932,24.0,27.5,-29.100000000000023,-32.30000000000001,-32.900000000000034,-31.80000000000001,-29.5,-29.100000000000023,-30.900000000000034,-31.30000000000001,-29.900000000000034,-26.400000000000034,963.2,376.3
16,17,0,0.533,0.98,1,-27.600000000000023,-22.600000000000023,-16.5,-10.400000000000091,-4.900000000000091,7.2999999999999545,13.099999999999909,18.799999999999955,24.09999999999991,27.699999999999932,-29.0,-32.30000000000001,-32.89999999999998,-31.80000000000001,-29.399999999999977,-29.099999999999966,-30.899999999999977,-31.30000000000001,-30.0,-26.399999999999977,962.7,376.2
17,18,0,0.567,0.98,1,-27.600000000000023,-22.5,-16.399999999999977,-10.399999999999977,-5.0,7.399999999999977,13.200000000000045,18.799999999999955,24.100000000000023,27.700000000000045,-29.30000000000001,-32.400000000000034,-33.0,-31.80000000000001,-29.5,-29.200000000000045,-31.0,-31.400000000000034,-30.200000000000045,-26.700000000000045,962.5,376.1
18,19,0,0.6,0.98,1,-27.5,-22.5,-16.399999999999977,-10.399999999999977,-5.0,7.2999999999999545,13.100000000000023,18.699999999999932,24.100000000000023,27.699999999999932,-29.099999999999966,-32.299999999999955,-32.799999999999955,-31.69999999999999,-29.299999999999955,-29.0,-30.799999999999955,-31.299999999999955,-30.0,-26.5,962.1,375.9
19,20,0,0.633,0.98,1,-27.799999999999955,-22.799999999999955,-16.700000000000045,-10.600000000000023,-5.2000000000000455,7.100000000000023,12.899999999999977,18.5,23.899999999999977,27.600000000000023,-29.0,-32.10000000000002,-32.69999999999999,-31.600000000000023,-29.30000000000001,-29.0,-30.900000000000034,-31.400000000000034,-30.100000000000023,-26.600000000000023,962.0,375.8
20,21,0,0.667,0.98,1,-27.600000000000023,-22.600000000000023,-16.5,-10.5,-5.100000000000023,7.100000000000023,12.899999999999977,18.600000000000023,24.0,27.699999999999932,-29.0,-32.19999999999999,-32.80000000000001,-31.69999999999999,-29.399999999999977,-29.100000000000023,-31.0,-31.399999999999977,-30.100000000000023,-26.600000000000023,961.6,375.5
21,22,0,0.7,0.98,1,-27.300000000000068,-22.300000000000068,-16.300000000000068,-10.300000000000068,-4.899999999999977,7.199999999999932,13.0,18.699999999999932,24.100000000000023,27.799999999999955,-29.0,-32.19999999999999,-32.69999999999999,-31.69999999999999,-29.400000000000034,-29.100000000000023,-30.900000000000034,-31.30000000000001,-30.0,-26.5,961.1,375.3
22,23,0,0.733,0.98,1,-27.399999999999977,-22.399999999999977,-16.399999999999977,-10.399999999999977,-5.0,7.100000000000023,12.900000000000091,18.5,23.90000000000009,27.600000000000023,-28.80000000000001,-32.0,-32.599999999999966,-31.5,-29.30000000000001,-29.0,-30.80000000000001,-31.19999999999999,-29.899999999999977,-26.30000000000001,960.8,374.7
23,24,0,0.767,0.98,1,-27.59999999999991,-22.59999999999991,-16.59999999999991,-10.5,-5.099999999999909,7.0,12.800000000000068,18.5,24.0,27.700000000000045,-28.69999999999999,-31.899999999999977,-32.599999999999966,-31.5,-29.19999999999999,-28.899999999999977,-30.80000000000001,-31.19999999999999,-29.80000000000001,-26.30000000000001,960.3,374.2
