,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.03,1,-55.5,-53.09999999999991,-46.39999999999998,-38.0,-29.09999999999991,-13.200000000000045,-5.899999999999864,2.900000000000091,12.900000000000091,22.600000000000136,-13.600000000000023,-22.899999999999977,-29.5,-33.5,-35.10000000000002,-44.799999999999955,-52.60000000000002,-58.299999999999955,-61.299999999999955,-59.5,1067.8,615.0
1,2,0,0.033,0.98,1,-31.699999999999932,-27.0,-20.399999999999864,-13.599999999999909,-7.2999999999999545,5.100000000000136,11.600000000000136,18.200000000000045,24.700000000000045,29.5,-27.399999999999977,-31.69999999999999,-33.0,-32.5,-30.69999999999999,-31.5,-34.099999999999966,-35.0,-34.0,-30.299999999999955,1052.1,326.9
2,3,0,0.067,0.98,1,-31.799999999999955,-27.09999999999991,-20.700000000000045,-14.0,-7.7000000000000455,5.2000000000000455,11.799999999999955,18.09999999999991,24.5,29.40000000000009,-26.80000000000001,-31.0,-32.400000000000034,-32.0,-30.400000000000034,-31.400000000000034,-33.900000000000034,-34.80000000000001,-33.900000000000034,-30.19999999999999,1055.0,326.3
3,4,0,0.1,0.98,1,-32.0,-27.299999999999955,-20.799999999999955,-14.099999999999909,-7.7999999999999545,5.099999999999909,11.599999999999909,17.90000000000009,24.299999999999955,29.09999999999991,-26.5,-30.80000000000001,-32.19999999999999,-31.80000000000001,-30.30000000000001,-31.30000000000001,-33.80000000000001,-34.69999999999999,-33.80000000000001,-30.19999999999999,1058.0,326.0
4,5,0,0.133,0.98,1,-32.0,-27.299999999999955,-20.799999999999955,-14.099999999999909,-7.7999999999999545,5.0,11.5,17.799999999999955,24.200000000000045,29.0,-26.5,-30.80000000000001,-32.30000000000001,-31.900000000000034,-30.30000000000001,-31.400000000000034,-33.900000000000034,-34.900000000000034,-33.900000000000034,-30.30000000000001,1060.8,326.1
5,6,0,0.167,0.98,1,-32.09999999999991,-27.40000000000009,-21.0,-14.299999999999955,-8.0,4.7999999999999545,11.299999999999955,17.59999999999991,23.90000000000009,28.700000000000045,-26.30000000000001,-30.5,-32.099999999999966,-31.69999999999999,-30.19999999999999,-31.30000000000001,-33.89999999999998,-34.89999999999998,-33.89999999999998,-30.399999999999977,1063.5,326.2
6,7,0,0.2,0.98,1,-32.299999999999955,-27.600000000000136,-21.200000000000045,-14.5,-8.200000000000045,4.7000000000000455,11.099999999999909,17.5,23.799999999999955,28.59999999999991,-26.200000000000045,-30.5,-32.0,-31.700000000000045,-30.200000000000045,-31.400000000000034,-34.0,-35.0,-34.200000000000045,-30.600000000000023,1066.2,326.6
7,8,0,0.233,0.98,1,-32.399999999999864,-27.700000000000045,-21.200000000000045,-14.5,-8.200000000000045,4.600000000000136,11.0,17.40000000000009,23.799999999999955,28.600000000000136,-26.200000000000045,-30.5,-32.0,-31.700000000000045,-30.200000000000045,-31.400000000000034,-34.0,-35.10000000000002,-34.200000000000045,-30.700000000000045,1068.8,327.1
8,9,0,0.267,0.98,1,-32.59999999999991,-28.0,-21.5,-14.799999999999955,-8.5,4.300000000000182,10.900000000000091,17.200000000000045,23.600000000000136,28.600000000000136,-26.100000000000023,-30.30000000000001,-31.900000000000034,-31.600000000000023,-30.19999999999999,-31.5,-34.10000000000002,-35.30000000000001,-34.5,-31.100000000000023,1071.1,327.8
9,10,0,0.3,0.98,1,-32.5,-27.899999999999864,-21.5,-14.899999999999864,-8.599999999999909,4.300000000000182,10.900000000000091,17.300000000000182,23.800000000000182,28.800000000000182,-26.200000000000045,-30.400000000000034,-32.0,-31.700000000000045,-30.200000000000045,-31.600000000000023,-34.30000000000001,-35.5,-34.700000000000045,-31.30000000000001,1073.1,328.6
10,11,0,0.333,0.98,1,-32.0,-27.40000000000009,-21.100000000000136,-14.5,-8.300000000000182,4.599999999999909,11.099999999999909,17.59999999999991,24.09999999999991,29.09999999999991,-26.5,-30.600000000000023,-32.10000000000002,-31.80000000000001,-30.30000000000001,-31.69999999999999,-34.30000000000001,-35.400000000000034,-34.69999999999999,-31.30000000000001,1074.9,329.3
11,12,0,0.367,0.98,1,-31.800000000000182,-27.300000000000182,-21.0,-14.400000000000091,-8.200000000000045,4.5,11.199999999999818,17.699999999999818,24.299999999999955,29.299999999999955,-26.5,-30.69999999999999,-32.19999999999999,-31.80000000000001,-30.30000000000001,-31.69999999999999,-34.30000000000001,-35.39999999999998,-34.69999999999999,-31.30000000000001,1076.9,330.0
12,13,0,0.4,0.98,1,-31.5,-27.0,-20.799999999999955,-14.299999999999955,-8.199999999999818,4.600000000000136,11.200000000000045,17.800000000000182,24.300000000000182,29.40000000000009,-26.5,-30.600000000000023,-32.0,-31.69999999999999,-30.19999999999999,-31.5,-34.10000000000002,-35.30000000000001,-34.5,-31.100000000000023,1079.1,330.5
13,14,0,0.433,0.98,1,-31.399999999999864,-26.899999999999864,-20.699999999999818,-14.299999999999955,-8.199999999999818,4.7000000000000455,11.300000000000182,17.800000000000182,24.300000000000182,29.40000000000009,-26.69999999999999,-30.69999999999999,-32.10000000000002,-31.80000000000001,-30.30000000000001,-31.600000000000023,-34.10000000000002,-35.30000000000001,-34.60000000000002,-31.30000000000001,1081.6,331.0
14,15,0,0.467,0.98,1,-31.200000000000045,-26.90000000000009,-20.59999999999991,-14.200000000000045,-8.099999999999909,4.599999999999909,11.299999999999955,17.90000000000009,24.5,29.700000000000045,-26.400000000000034,-30.5,-32.0,-31.700000000000045,-30.200000000000045,-31.5,-34.0,-35.200000000000045,-34.400000000000034,-31.0,1084.0,331.1
15,16,0,0.5,0.98,1,-31.199999999999818,-26.799999999999955,-20.59999999999991,-14.099999999999909,-8.0,4.7000000000000455,11.400000000000091,18.0,24.600000000000136,29.800000000000182,-26.400000000000034,-30.600000000000023,-32.0,-31.700000000000045,-30.200000000000045,-31.400000000000034,-34.0,-35.10000000000002,-34.30000000000001,-30.900000000000034,1086.6,331.1
16,17,0,0.533,0.98,1,-31.09999999999991,-26.799999999999955,-20.5,-14.099999999999909,-8.0,4.7000000000000455,11.400000000000091,18.0,24.700000000000045,29.799999999999955,-26.400000000000034,-30.5,-32.0,-31.700000000000045,-30.200000000000045,-31.400000000000034,-33.900000000000034,-35.10000000000002,-34.200000000000045,-30.80000000000001,1089.0,331.1
17,18,0,0.567,0.98,1,-30.799999999999955,-26.40000000000009,-20.200000000000045,-13.700000000000045,-7.599999999999909,4.900000000000091,11.599999999999909,18.299999999999955,25.0,30.09999999999991,-26.600000000000023,-30.700000000000045,-32.200000000000045,-31.80000000000001,-30.30000000000001,-31.400000000000034,-33.900000000000034,-35.0,-34.10000000000002,-30.600000000000023,1091.0,331.1
18,19,0,0.6,0.98,1,-30.59999999999991,-26.200000000000045,-20.0,-13.599999999999909,-7.5,5.100000000000136,11.799999999999955,18.5,25.200000000000045,30.299999999999955,-26.80000000000001,-30.899999999999977,-32.30000000000001,-31.899999999999977,-30.19999999999999,-31.30000000000001,-33.80000000000001,-34.80000000000001,-33.89999999999998,-30.399999999999977,1092.8,331.0
19,20,0,0.633,0.98,1,-30.299999999999955,-25.90000000000009,-19.700000000000045,-13.299999999999955,-7.2000000000000455,5.2999999999999545,12.099999999999909,18.799999999999955,25.5,30.59999999999991,-27.0,-31.100000000000023,-32.39999999999998,-32.0,-30.30000000000001,-31.30000000000001,-33.69999999999999,-34.69999999999999,-33.69999999999999,-30.19999999999999,1094.2,331.0
20,21,0,0.667,0.98,1,-30.0,-25.600000000000136,-19.40000000000009,-13.0,-7.0,5.599999999999909,12.399999999999864,19.09999999999991,25.799999999999955,30.899999999999864,-27.200000000000045,-31.30000000000001,-32.60000000000002,-32.10000000000002,-30.400000000000034,-31.30000000000001,-33.60000000000002,-34.60000000000002,-33.60000000000002,-30.0,1095.4,331.1
21,22,0,0.7,0.98,1,-29.59999999999991,-25.09999999999991,-19.0,-12.700000000000045,-6.7000000000000455,5.900000000000091,12.799999999999955,19.5,26.200000000000045,31.200000000000045,-27.399999999999977,-31.399999999999977,-32.69999999999999,-32.19999999999999,-30.399999999999977,-31.19999999999999,-33.39999999999998,-34.30000000000001,-33.19999999999999,-29.599999999999966,1096.3,331.2
22,23,0,0.733,0.98,1,-29.40000000000009,-25.0,-18.799999999999955,-12.5,-6.5,6.2000000000000455,13.0,19.700000000000045,26.299999999999955,31.299999999999955,-27.69999999999999,-31.599999999999966,-32.89999999999998,-32.299999999999955,-30.5,-31.19999999999999,-33.39999999999998,-34.19999999999999,-33.099999999999966,-29.399999999999977,1097.2,331.4
23,24,0,0.767,0.98,1,-29.299999999999955,-24.899999999999864,-18.699999999999818,-12.399999999999864,-6.5,6.300000000000182,13.100000000000136,19.90000000000009,26.5,31.5,-27.599999999999966,-31.599999999999966,-32.89999999999998,-32.299999999999955,-30.399999999999977,-31.099999999999966,-33.299999999999955,-34.099999999999966,-33.0,-29.299999999999955,1097.6,331.4
24,25,0,0.8,0.98,1,-29.299999999999955,-24.799999999999955,-18.700000000000045,-12.400000000000091,-6.400000000000091,6.2999999999999545,13.200000000000045,19.90000000000009,26.5,31.5,-27.899999999999977,-31.80000000000001,-33.0,-32.39999999999998,-30.5,-31.100000000000023,-33.30000000000001,-34.10000000000002,-32.89999999999998,-29.19999999999999,1098.0,331.5
