,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-32.200000000000045,-27.700000000000045,-21.200000000000045,-14.399999999999977,-8.100000000000023,4.699999999999932,11.399999999999977,18.199999999999932,24.899999999999977,29.999999999999886,-28.30000000000001,-32.700000000000045,-34.200000000000045,-33.700000000000045,-31.900000000000034,-33.0,-35.80000000000001,-37.00000000000003,-36.10000000000002,-32.400000000000034,1022.1,291.1
1,2,0,0.033,0.98,1,-32.30000000000007,-27.600000000000023,-21.300000000000068,-14.700000000000045,-8.5,5.099999999999909,11.799999999999955,18.299999999999955,24.899999999999864,30.0,-28.19999999999999,-32.400000000000034,-33.80000000000001,-33.400000000000034,-31.80000000000001,-33.0,-35.60000000000002,-36.70000000000002,-36.0,-32.60000000000002,1022.2,290.8
2,3,0,0.067,0.98,1,-32.30000000000007,-27.600000000000023,-21.300000000000068,-14.700000000000045,-8.5,5.099999999999909,11.799999999999955,18.5,25.09999999999991,30.200000000000045,-28.19999999999999,-32.400000000000034,-33.80000000000001,-33.400000000000034,-31.80000000000001,-33.0,-35.60000000000002,-36.70000000000002,-36.0,-32.60000000000002,1022.2,290.8
3,4,0,0.1,0.98,1,-32.200000000000045,-27.600000000000023,-21.200000000000045,-14.700000000000045,-8.399999999999977,5.100000000000023,11.899999999999977,18.499999999999886,25.100000000000023,30.300000000000068,-28.30000000000001,-32.400000000000034,-33.80000000000001,-33.400000000000034,-31.80000000000001,-33.0,-35.60000000000002,-36.80000000000001,-36.10000000000002,-32.69999999999999,1022.6,290.8
4,5,0,0.133,0.98,1,-32.40000000000009,-27.700000000000045,-21.300000000000068,-14.700000000000045,-8.400000000000091,5.2000000000000455,12.0,18.59999999999991,25.299999999999955,30.399999999999864,-28.399999999999977,-32.5,-33.89999999999998,-33.5,-31.799999999999955,-33.099999999999966,-35.599999999999966,-36.79999999999998,-36.099999999999966,-32.69999999999999,1023.2,290.9
5,6,0,0.167,0.98,1,-32.09999999999991,-27.399999999999977,-21.0,-14.399999999999977,-8.199999999999932,5.400000000000091,12.200000000000045,18.799999999999955,25.40000000000009,30.5,-28.5,-32.599999999999966,-34.0,-33.5,-31.899999999999977,-33.099999999999966,-35.599999999999966,-36.69999999999999,-35.89999999999998,-32.5,1023.8,290.9
6,7,0,0.2,0.98,1,-31.90000000000009,-27.200000000000045,-20.90000000000009,-14.300000000000068,-8.100000000000136,5.399999999999864,12.199999999999818,18.799999999999955,25.5,30.5,-28.5,-32.599999999999966,-34.0,-33.5,-31.799999999999955,-33.0,-35.49999999999997,-36.599999999999966,-35.79999999999998,-32.299999999999955,1024.4,290.9
7,8,0,0.233,0.98,1,-32.10000000000002,-27.5,-21.100000000000023,-14.5,-8.200000000000045,5.2999999999999545,12.099999999999909,18.799999999999955,25.5,30.5,-28.600000000000023,-32.69999999999999,-34.10000000000002,-33.60000000000002,-31.899999999999977,-33.0,-35.5,-36.69999999999999,-35.900000000000006,-32.39999999999998,1025.2,291.0
8,9,0,0.267,0.98,1,-32.10000000000002,-27.399999999999977,-21.0,-14.399999999999977,-8.200000000000045,5.2999999999999545,12.200000000000045,18.799999999999955,25.5,30.5,-28.69999999999999,-32.80000000000001,-34.19999999999999,-33.69999999999999,-32.0,-33.10000000000002,-35.599999999999994,-36.69999999999999,-35.900000000000006,-32.5,1026.0,291.0
9,10,0,0.3,0.98,1,-31.899999999999977,-27.299999999999955,-20.899999999999977,-14.299999999999955,-8.099999999999909,5.5,12.299999999999955,19.0,25.600000000000136,30.600000000000136,-28.899999999999977,-33.0,-34.299999999999955,-33.799999999999955,-32.099999999999966,-33.099999999999966,-35.599999999999966,-36.69999999999999,-35.89999999999998,-32.5,1026.8,290.9
10,11,0,0.333,0.98,1,-31.700000000000045,-27.100000000000023,-20.700000000000045,-14.100000000000023,-7.900000000000091,5.7000000000000455,12.5,19.09999999999991,25.700000000000045,30.799999999999955,-29.100000000000023,-33.10000000000002,-34.5,-33.900000000000034,-32.10000000000002,-33.10000000000002,-35.50000000000003,-36.60000000000002,-35.70000000000002,-32.200000000000045,1027.7,290.6
11,12,0,0.367,0.98,1,-31.5,-26.799999999999955,-20.399999999999977,-13.899999999999977,-7.7000000000000455,5.900000000000091,12.700000000000045,19.40000000000009,26.0,31.09999999999991,-29.19999999999999,-33.19999999999999,-34.5,-33.900000000000034,-32.10000000000002,-33.10000000000002,-35.5,-36.5,-35.70000000000002,-32.10000000000002,1028.5,290.3
12,13,0,0.4,0.98,1,-31.399999999999977,-26.799999999999955,-20.399999999999977,-13.899999999999977,-7.7999999999999545,5.900000000000091,12.700000000000045,19.299999999999955,25.90000000000009,30.90000000000009,-29.200000000000045,-33.30000000000001,-34.60000000000002,-34.0,-32.200000000000045,-33.200000000000045,-35.50000000000003,-36.60000000000002,-35.60000000000002,-32.10000000000002,1029.5,290.1
13,14,0,0.433,0.98,1,-31.5,-26.799999999999955,-20.399999999999977,-13.899999999999977,-7.7999999999999545,5.900000000000091,12.799999999999955,19.40000000000009,26.0,31.0,-29.299999999999955,-33.299999999999955,-34.599999999999966,-34.099999999999966,-32.299999999999955,-33.19999999999999,-35.599999999999966,-36.599999999999966,-35.69999999999999,-32.099999999999966,1030.3,289.9
14,15,0,0.467,0.98,1,-31.59999999999991,-26.899999999999864,-20.499999999999886,-13.999999999999886,-7.7999999999999545,5.800000000000182,12.600000000000136,19.300000000000182,25.800000000000182,30.800000000000182,-29.30000000000001,-33.400000000000034,-34.70000000000002,-34.20000000000002,-32.400000000000034,-33.30000000000001,-35.70000000000002,-36.70000000000002,-35.80000000000001,-32.19999999999999,1031.1,289.8
15,16,0,0.5,0.98,1,-31.5,-26.90000000000009,-20.5,-14.0,-7.800000000000068,5.7999999999999545,12.599999999999909,19.299999999999955,25.899999999999864,30.899999999999864,-29.19999999999999,-33.39999999999998,-34.79999999999998,-34.19999999999999,-32.5,-33.5,-35.79999999999998,-36.89999999999998,-36.0,-32.39999999999998,1031.7,289.7
16,17,0,0.533,0.98,1,-31.399999999999977,-26.699999999999932,-20.399999999999977,-13.899999999999977,-7.7999999999999545,5.900000000000091,12.799999999999955,19.40000000000009,26.0,31.0,-29.69999999999999,-33.80000000000001,-35.20000000000002,-34.70000000000002,-33.0,-33.900000000000006,-36.30000000000001,-37.30000000000001,-36.400000000000006,-32.80000000000001,1032.3,289.8
17,18,0,0.567,0.98,1,-31.299999999999955,-26.59999999999991,-20.199999999999932,-13.699999999999932,-7.599999999999909,6.100000000000136,12.900000000000091,19.600000000000136,26.200000000000045,31.299999999999955,-30.0,-34.10000000000002,-35.50000000000003,-34.900000000000034,-33.200000000000045,-34.10000000000002,-36.400000000000034,-37.400000000000034,-36.50000000000003,-32.900000000000034,1032.8,289.6
18,19,0,0.6,0.98,1,-31.09999999999991,-26.5,-20.09999999999991,-13.599999999999909,-7.399999999999864,6.2999999999999545,13.299999999999955,20.0,26.600000000000136,31.600000000000136,-30.19999999999999,-34.39999999999998,-35.79999999999998,-35.19999999999999,-33.39999999999998,-34.19999999999999,-36.49999999999997,-37.39999999999998,-36.39999999999998,-32.69999999999999,1033.3,289.4
