,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.93,1,-30.0,-26.0,-19.90000000000009,-13.600000000000136,-7.7000000000000455,5.0,11.200000000000045,17.59999999999991,23.799999999999955,28.200000000000045,-31.0,-35.0,-36.19999999999999,-35.30000000000001,-33.10000000000002,-33.80000000000001,-36.5,-37.80000000000001,-36.80000000000001,-33.19999999999999,1071.2,341.3
1,2,0,0.033,0.93,1,-30.100000000000136,-26.300000000000182,-20.300000000000182,-14.100000000000136,-8.300000000000182,5.5,11.799999999999955,18.09999999999991,24.199999999999818,28.5,-31.600000000000023,-35.5,-36.60000000000002,-35.69999999999999,-33.39999999999998,-34.0,-36.80000000000001,-38.10000000000002,-37.19999999999999,-33.60000000000002,1071.4,341.5
2,3,0,0.067,0.93,1,-30.600000000000136,-26.600000000000136,-20.5,-14.200000000000045,-8.400000000000091,5.599999999999909,11.899999999999864,18.200000000000045,24.399999999999864,28.799999999999955,-32.0,-35.89999999999998,-36.80000000000001,-35.80000000000001,-33.39999999999998,-34.0,-36.89999999999998,-38.19999999999999,-37.5,-34.0,1071.7,341.5
3,4,0,0.1,0.93,1,-30.5,-26.40000000000009,-20.40000000000009,-14.099999999999909,-8.400000000000091,5.7000000000000455,11.900000000000091,18.200000000000045,24.299999999999955,28.700000000000045,-32.299999999999955,-36.0,-36.89999999999998,-35.799999999999955,-33.299999999999955,-33.89999999999998,-36.69999999999999,-38.0,-37.299999999999955,-33.89999999999998,1072.0,341.4
4,5,0,0.133,0.93,1,-30.799999999999955,-26.700000000000045,-20.600000000000136,-14.299999999999955,-8.5,5.399999999999864,11.599999999999909,17.899999999999864,24.0,28.399999999999864,-32.19999999999999,-36.0,-36.89999999999998,-35.69999999999999,-33.30000000000001,-33.89999999999998,-36.80000000000001,-38.099999999999966,-37.5,-34.099999999999966,1072.2,341.2
5,6,0,0.167,0.93,1,-30.899999999999864,-26.799999999999955,-20.699999999999818,-14.399999999999864,-8.599999999999909,5.2000000000000455,11.400000000000091,17.600000000000136,23.800000000000182,28.200000000000045,-32.0,-35.80000000000001,-36.69999999999999,-35.60000000000002,-33.30000000000001,-33.89999999999998,-36.80000000000001,-38.19999999999999,-37.5,-34.10000000000002,1072.6,341.0
6,7,0,0.2,0.98,1,-30.90000000000009,-26.799999999999955,-20.700000000000045,-14.299999999999955,-8.5,5.099999999999909,11.299999999999955,17.59999999999991,23.799999999999955,28.200000000000045,-32.10000000000002,-35.89999999999998,-36.80000000000001,-35.69999999999999,-33.19999999999999,-33.89999999999998,-36.80000000000001,-38.19999999999999,-37.60000000000002,-34.19999999999999,1072.7,341.0
7,8,0,0.233,0.93,1,-30.799999999999955,-26.700000000000045,-20.5,-14.100000000000136,-8.299999999999955,5.2000000000000455,11.5,17.799999999999955,24.0,28.5,-32.299999999999955,-36.0,-36.799999999999955,-35.599999999999966,-33.099999999999966,-33.69999999999999,-36.599999999999966,-38.0,-37.5,-34.099999999999966,1072.7,340.9
8,9,0,0.267,0.93,1,-30.59999999999991,-26.5,-20.299999999999955,-13.900000000000091,-8.099999999999909,5.2000000000000455,11.5,17.90000000000009,24.09999999999991,28.5,-32.19999999999999,-36.0,-36.80000000000001,-35.69999999999999,-33.19999999999999,-33.69999999999999,-36.60000000000002,-38.0,-37.30000000000001,-33.900000000000034,1073.0,340.8
9,10,0,0.3,0.93,1,-30.40000000000009,-26.299999999999955,-20.09999999999991,-13.799999999999955,-8.0,5.2999999999999545,11.599999999999909,18.0,24.200000000000045,28.59999999999991,-32.19999999999999,-35.89999999999998,-36.80000000000001,-35.599999999999966,-33.099999999999966,-33.599999999999966,-36.5,-37.80000000000001,-37.19999999999999,-33.69999999999999,1073.0,340.7
