,frame,face_id,timestamp,confidence,success,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,x_33,y_33
0,1,0,0.0,0.98,1,-31.600000000000023,-27.899999999999977,-21.899999999999977,-15.5,-9.299999999999955,3.400000000000091,10.299999999999955,17.59999999999991,24.90000000000009,30.59999999999991,-28.900000000000006,-33.70000000000002,-35.5,-35.10000000000002,-33.10000000000002,-34.70000000000002,-37.900000000000006,-39.5,-38.900000000000006,-35.20000000000002,1023.5,278.3
1,2,0,0.033,0.98,1,-31.0,-27.600000000000023,-21.799999999999955,-15.600000000000023,-9.600000000000023,3.300000000000068,10.199999999999932,17.500000000000114,24.899999999999977,30.899999999999977,-28.799999999999983,-33.39999999999998,-34.99999999999997,-34.69999999999999,-32.99999999999997,-34.69999999999999,-37.99999999999997,-39.69999999999999,-39.19999999999999,-35.79999999999998,1022.9,277.9
2,3,0,0.067,0.98,1,-30.899999999999977,-27.399999999999977,-21.600000000000023,-15.399999999999977,-9.5,3.5000000000001137,10.500000000000114,17.699999999999932,25.100000000000023,31.199999999999932,-29.0,-33.599999999999994,-35.19999999999999,-34.79999999999998,-33.099999999999994,-34.79999999999998,-38.099999999999994,-39.69999999999999,-39.19999999999999,-35.79999999999998,1022.4,277.7
3,4,0,0.1,0.98,1,-30.800000000000068,-27.300000000000068,-21.5,-15.300000000000068,-9.399999999999977,3.6000000000000227,10.600000000000023,17.899999999999977,25.199999999999932,31.199999999999932,-29.299999999999983,-33.79999999999998,-35.39999999999998,-34.99999999999997,-33.19999999999999,-34.79999999999998,-37.99999999999997,-39.599999999999966,-38.99999999999997,-35.49999999999997,1022.1,277.4
4,5,0,0.133,0.98,1,-30.800000000000068,-27.300000000000068,-21.5,-15.300000000000068,-9.400000000000091,3.5,10.5,17.700000000000045,25.09999999999991,31.200000000000045,-29.399999999999977,-33.89999999999998,-35.5,-35.0,-33.19999999999999,-34.79999999999998,-38.0,-39.69999999999999,-39.099999999999994,-35.69999999999999,1021.7,277.2
5,6,0,0.167,0.98,1,-31.100000000000023,-27.600000000000023,-21.799999999999955,-15.600000000000023,-9.600000000000023,3.2999999999999545,10.299999999999955,17.59999999999991,25.0,31.0,-29.30000000000001,-33.900000000000006,-35.599999999999994,-35.19999999999999,-33.30000000000001,-34.900000000000006,-38.19999999999999,-39.900000000000006,-39.30000000000001,-35.80000000000001,1021.5,277.0
6,7,0,0.2,0.98,1,-31.0,-27.5,-21.699999999999932,-15.5,-9.5,3.2999999999999545,10.200000000000045,17.5,24.90000000000009,31.0,-29.399999999999977,-33.99999999999997,-35.69999999999999,-35.29999999999998,-33.49999999999997,-35.19999999999999,-38.39999999999998,-39.99999999999997,-39.39999999999998,-35.89999999999998,1021.3,276.9
7,8,0,0.233,0.98,1,-30.899999999999977,-27.399999999999977,-21.600000000000023,-15.300000000000068,-9.399999999999977,3.3999999999999773,10.300000000000068,17.699999999999932,25.100000000000023,31.100000000000023,-29.299999999999983,-33.89999999999998,-35.599999999999994,-35.29999999999998,-33.5,-35.099999999999994,-38.39999999999998,-39.89999999999998,-39.29999999999998,-35.79999999999998,1021.1,276.7
8,9,0,0.267,0.98,1,-30.799999999999955,-27.399999999999977,-21.600000000000023,-15.299999999999955,-9.299999999999955,3.2999999999999545,10.299999999999955,17.700000000000045,25.09999999999991,31.200000000000045,-29.299999999999983,-34.0,-35.599999999999994,-35.29999999999998,-33.39999999999998,-35.0,-38.29999999999998,-39.89999999999998,-39.29999999999998,-35.69999999999999,1021.0,276.7
9,10,0,0.3,0.98,1,-30.699999999999932,-27.199999999999932,-21.399999999999977,-15.100000000000023,-9.100000000000023,3.5000000000001137,10.500000000000114,17.800000000000068,25.300000000000068,31.399999999999977,-29.5,-34.099999999999994,-35.69999999999999,-35.19999999999999,-33.39999999999998,-35.0,-38.29999999999998,-39.79999999999998,-39.19999999999999,-35.599999999999994,1020.9,276.7
