t,eyebrows_interp,pitch
0.0,-2.5857428096792607,
0.002,-2.588327932258,
0.004,-2.590913054836739,
0.006,-2.5934981774154786,
0.008,-2.5960832999942176,
0.01,-2.598668422572957,
0.012,-2.601253545151696,
0.014,-2.6038386677304355,
0.016,-2.606423790309175,
0.018,-2.609008912887914,
0.02,-2.6115940354666534,
0.022,-2.6141791580453924,
0.024,-2.616764280624132,
0.026,-2.6193494032028712,
0.028,-2.6219345257816102,
0.03,-2.6245196483603497,
0.032,-2.6271047709390887,
0.034,-2.624519648360358,
0.036,-2.6115940354666876,
0.038,-2.598668422573017,
0.04,-2.5857428096793464,
0.042,-2.5728171967856754,
0.044,-2.559891583892005,
0.046,-2.5469659709983343,
0.048,-2.5340403581046638,
0.05,-2.521114745210993,
0.052,-2.5081891323173227,
0.054,-2.495263519423652,
0.056,-2.4823379065299815,
0.058,-2.469412293636311,
0.06,-2.45648668074264,
0.062,-2.4435610678489694,
0.064,-2.430635454955299,
0.066,-2.4177098420616283,
0.068,-2.4108161818516702,
0.07,-2.406938497983569,
0.072,-2.4030608141154675,
0.074,-2.3991831302473656,
0.076,-2.3953054463792642,
0.078,-2.391427762511163,
0.08,-2.387550078643061,
0.082,-2.3836723947749596,
0.084,-2.3797947109068582,
0.086,-2.3759170270387564,
0.088,-2.372039343170655,
0.09,-2.3681616593025536,
0.092,-2.364283975434452,
0.094,-2.3604062915663504,
0.096,-2.356528607698249,
0.098,-2.352650923830147,
0.1,-2.348773239962046,
0.102,-2.3397253109364766,
0.104,-2.330677381910908,
0.106,-2.3216294528853387,
0.108,-2.3125815238597696,
0.11,-2.3035335948342004,
0.112,-2.2944856658086312,
0.114,-2.2854377367830625,
0.116,-2.2763898077574933,
0.118,-2.267341878731924,
0.12,-2.258293949706355,
0.122,-2.249246020680786,
0.124,-2.240198091655217,
0.126,-2.231150162629648,
0.128,-2.2221022336040788,
0.13,-2.2130543045785096,
0.132,-2.2040063755529404,
0.134,-2.1932350314748774,
0.136,-2.1790168572918263,
0.138,-2.164798683108775,
0.14,-2.1505805089257235,
0.142,-2.1363623347426723,
0.144,-2.122144160559621,
0.146,-2.10792598637657,
0.148,-2.093707812193519,
0.15,-2.0794896380104673,
0.152,-2.065271463827416,
0.154,-2.051053289644365,
0.156,-2.0368351154613134,
0.158,-2.022616941278262,
0.16,-2.008398767095211,
0.162,-1.9941805929121597,
0.164,-1.9799624187291083,
0.166,-1.9657442445460571,
0.168,-1.9489409477842836,
0.17,-1.9308450897331493,
0.172,-1.912749231682015,
0.174,-1.8946533736308806,
0.176,-1.876557515579746,
0.178,-1.8584616575286117,
0.18,-1.8403657994774771,
0.182,-1.8222699414263428,
0.184,-1.8041740833752082,
0.186,-1.786078225324074,
0.188,-1.7679823672729393,
0.19,-1.749886509221805,
0.192,-1.7317906511706704,
0.194,-1.713694793119536,
0.196,-1.6955989350684015,
0.198,-1.677503077017267,
0.2,-1.6594072189661326,
0.202,-1.6684551479917054,
0.204,-1.677503077017278,
0.206,-1.6865510060428508,
0.208,-1.6955989350684235,
0.21,-1.7046468640939962,
0.212,-1.713694793119569,
0.214,-1.7227427221451417,
0.216,-1.7317906511707144,
0.218,-1.7408385801962871,
0.22,-1.7498865092218598,
0.222,-1.7589344382474328,
0.224,-1.7679823672730055,
0.226,-1.7770302962985782,
0.228,-1.786078225324151,
